Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.006826,7.318246,[ 5 30] ; [13 16],[ 9.84375 25.15625] ; [ 8.15625 20.84375],0
u1,1,0.044901,4.02235,[ 5 30] ; [11 20],[ 8.48484848 26.51515152] ; [ 7.51515152 23.48484848],0
v1,1,0.060677,3.518782,[14 21] ; [19 11],[17.76923077 17.23076923] ; [15.23076923 14.76923077],0
p2,1,0.090157,2.871572,[33  2] ; [25  6],[30.75757576  4.24242424] ; [27.24242424  3.75757576],0
d4,1,0.118792,2.43318,[30  5] ; [30  1],[31.81818182  3.18181818] ; [28.18181818  2.81818182],0
n1,1,0.143235,2.142857,[6 4] ; [1 4],[4.66666667 5.33333333] ; [2.33333333 2.66666667],0
b5,1,0.16321,1.944229,[19 16] ; [22  9],[21.74242424 13.25757576] ; [19.25757576 11.74242424],0
n2,1,0.170904,1.875,[9 1] ; [3 2],[8. 2.] ; [4. 1.],0
a7,1,0.17199,1.865512,[21 13] ; [24  7],[23.53846154 10.46153846] ; [21.46153846  9.53846154],0
d2,1,0.178531,1.809807,[18 17] ; [21 10],[20.68181818 14.31818182] ; [18.31818182 12.68181818],0
p10,1,0.184119,1.764055,[29  6] ; [29  2],[30.75757576  4.24242424] ; [27.24242424  3.75757576],0
s6,1,0.20405,1.613149,[26  7] ; [28  3],[27.84375  5.15625] ; [26.15625  4.84375],0
a2,1,0.255729,1.291732,[ 7 28] ; [10 21],[ 9.01515152 25.98484848] ; [ 7.98484848 23.01515152],0
r2,1,0.259001,1.274089,[33  1] ; [28  3],[31.90769231  2.09230769] ; [29.09230769  1.90769231],0
d1,1,0.262947,1.253175,[24 11] ; [25  6],[25.98484848  9.01515152] ; [23.01515152  7.98484848],0
b4,1,0.26417,1.246771,[19 16] ; [21 10],[21.21212121 13.78787879] ; [18.78787879 12.21212121],0
u2,1,0.284117,1.14729,[8 5] ; [3 5],[6.80952381 6.19047619] ; [4.19047619 3.80952381],0
a3,1,0.323722,0.973851,[22 13] ; [23  8],[23.86363636 11.13636364] ; [21.13636364  9.86363636],0
a6,1,0.350682,0.870987,[21 14] ; [22  9],[22.8030303 12.1969697] ; [20.1969697 10.8030303],0
p7,1,0.352795,0.863378,[28  6] ; [28  3],[29.29230769  4.70769231] ; [26.70769231  4.29230769],0
p5,1,0.370084,0.803384,[ 4 31] ; [ 6 25],[ 5.3030303 29.6969697] ; [ 4.6969697 26.3030303],0
u3,1,0.378175,0.776627,[9 4] ; [4 4],[8.04761905 4.95238095] ; [4.95238095 3.04761905],0
s3,1,0.388729,0.742913,[26  9] ; [20 11],[24.39393939 10.60606061] ; [21.60606061  9.39393939],0
d5,1,0.409184,0.681171,[27  7] ; [27  4],[28.24615385  5.75384615] ; [25.75384615  5.24615385],0
p3,1,0.420525,0.648848,[24 11] ; [24  7],[25.45454545  9.54545455] ; [22.54545455  8.45454545],0
a8,1,0.427355,0.63,[ 1 34] ; [ 2 26],[ 1.66666667 33.33333333] ; [ 1.33333333 26.66666667],0
s5,1,0.432554,0.615956,[20 11] ; [20  7],[21.37931034  9.62068966] ; [18.62068966  8.37931034],0
n3,1,0.438578,0.6,[6 4] ; [4 1],[6.66666667 3.33333333] ; [3.33333333 1.66666667],0
p1,1,0.440059,0.596129,[ 7 28] ; [ 4 27],[ 5.83333333 29.16666667] ; [ 5.16666667 25.83333333],0
r3,1,0.459826,0.546318,[30  4] ; [29  2],[30.86153846  3.13846154] ; [28.13846154  2.86153846],0
p9,1,0.482717,0.492719,[31  4] ; [29  2],[31.81818182  3.18181818] ; [28.18181818  2.81818182],0
s7,1,0.558634,0.342075,[26  8] ; [21  9],[24.96875  9.03125] ; [22.03125  7.96875],0
p11,1,0.566953,0.327807,[27  8] ; [22  9],[25.98484848  9.01515152] ; [23.01515152  7.98484848],0
s2,1,0.566953,0.327807,[27  8] ; [22  9],[25.98484848  9.01515152] ; [23.01515152  7.98484848],0
p4,1,0.56699,0.327745,[30  5] ; [28  3],[30.75757576  4.24242424] ; [27.24242424  3.75757576],0
