Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,2.6e-05,17.67682,[2 1] ; [ 5 96],[0.20192308 2.79807692] ; [ 6.79807692 94.20192308],1
p1,1,0.000721,11.435584,[2 1] ; [ 8 92],[0.29126214 2.70873786] ; [ 9.70873786 90.29126214],1
u1,1,0.019099,5.492443,[1 2] ; [ 4 97],[0.14423077 2.85576923] ; [ 4.85576923 96.14423077],0
a1,1,0.037727,4.317281,[1 2] ; [ 5 96],[0.17307692 2.82692308] ; [ 5.82692308 95.17307692],0
p8,1,0.254722,1.297221,[2 1] ; [34 64],[1.06930693 1.93069307] ; [34.93069307 63.06930693],0
p10,1,0.358748,0.842272,[1 2] ; [58 39],[1.77 1.23] ; [57.23 39.77],0
p7,1,0.3672,0.813118,[2 1] ; [39 57],[1.24242424 1.75757576] ; [39.75757576 56.24242424],0
v4,1,0.399591,0.709556,[2 1] ; [83 15],[2.52475248 0.47524752] ; [82.47524752 15.52475248],0
p6,1,0.399591,0.709556,[1 2] ; [15 83],[0.47524752 2.52475248] ; [15.52475248 82.47524752],0
n3,1,0.451946,0.565767,[1 1] ; [26  9],[1.45945946 0.54054054] ; [25.54054054  9.45945946],0
n2,1,0.48192,0.494516,[1 1] ; [27 10],[1.43589744 0.56410256] ; [26.56410256 10.43589744],0
s4,1,0.529403,0.395537,[1 2] ; [19 82],[0.57692308 2.42307692] ; [19.42307692 81.57692308],0
p3,1,0.529403,0.395537,[1 2] ; [19 82],[0.57692308 2.42307692] ; [19.42307692 81.57692308],0
b4,1,0.580836,0.304886,[2 1] ; [51 50],[1.52884615 1.47115385] ; [51.47115385 49.52884615],0
a7,1,0.581177,0.304336,[2 1] ; [50 49],[1.52941176 1.47058824] ; [50.47058824 48.52941176],0
s6,1,0.664282,0.188364,[1 2] ; [46 54],[1.36893204 1.63106796] ; [45.63106796 54.36893204],0
r1,1,0.702573,0.145809,[2 1] ; [55 44],[1.67647059 1.32352941] ; [55.32352941 43.67647059],0
r3,1,0.718371,0.130059,[2 1] ; [75 24],[2.26470588 0.73529412] ; [74.73529412 24.26470588],0
b5,1,0.774893,0.081785,[2 1] ; [59 42],[1.75961538 1.24038462] ; [59.24038462 41.75961538],0
s7,1,0.810829,0.057292,[1 2] ; [26 70],[0.81818182 2.18181818] ; [26.18181818 69.81818182],0
p2,1,0.842709,0.039374,[2 1] ; [61 39],[1.83495146 1.16504854] ; [61.16504854 38.83495146],0
n6,1,0.901295,0.015382,[2 1] ; [70 30],[2.09708738 0.90291262] ; [69.90291262 30.09708738],0
r4,1,0.922215,0.009534,[2 1] ; [70 31],[2.07692308 0.92307692] ; [69.92307692 31.07692308],0
s2,1,0.961106,0.002378,[1 2] ; [32 68],[0.96116505 2.03883495] ; [32.03883495 67.96116505],0
p9,1,0.969698,0.001443,[2 1] ; [65 31],[2.03030303 0.96969697] ; [64.96969697 31.03030303],0
p11,1,0.990488,0.000142,[2 1] ; [67 34],[1.99038462 1.00961538] ; [67.00961538 33.99038462],0
