Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,43.044764,[190  95] ; [ 9 42],[168.79464286 116.20535714] ; [30.20535714 20.79464286],1
p7,1,0.0,38.452373,[216  66] ; [16 33],[197.65558912  84.34441088] ; [34.34441088 14.65558912],1
p4,1,4e-06,21.434059,[208  80] ; [20 31],[193.69911504  94.30088496] ; [34.30088496 16.69911504],1
p10,1,0.001234,10.438167,[258  28] ; [37 13],[251.10119048  34.89880952] ; [43.89880952  6.10119048],0
p3,1,0.001645,9.908635,[176 113] ; [19 32],[165.75 123.25] ; [29.25 21.75],0
p11,1,0.00306,8.771626,[239  50] ; [33 18],[231.2  57.8] ; [40.8 10.2],0
b1,1,0.006366,7.443601,[111 178] ; [30 21],[119.85 169.15] ; [21.15 29.85],0
p6,1,0.006754,7.33719,[138 150] ; [14 37],[129.13274336 158.86725664] ; [22.86725664 28.13274336],0
a7,1,0.01278,6.19931,[213  75] ; [29 22],[205.59292035  82.40707965] ; [36.40707965 14.59292035],0
p9,1,0.020145,5.39929,[264  22] ; [41  9],[259.61309524  26.38690476] ; [45.38690476  4.61309524],0
b3,1,0.104724,2.632079,[ 89 100] ; [14 28],[ 84.27272727 104.72727273] ; [18.72727273 23.27272727],0
b2,1,0.104724,2.632079,[ 89 100] ; [14 28],[ 84.27272727 104.72727273] ; [18.72727273 23.27272727],0
a3,1,0.118319,2.439431,[236  52] ; [37 14],[231.92920354  56.07079646] ; [41.07079646  9.92920354],0
d3,1,0.15104,2.061711,[215  74] ; [33 18],[210.8  78.2] ; [37.2 13.8],0
p1,1,0.160335,1.971061,[ 29 259] ; [ 2 49],[ 26.33628319 261.66371681] ; [ 4.66371681 46.33628319],0
r3,1,0.17753,1.818182,[282   7] ; [48  3],[280.5   8.5] ; [49.5  1.5],0
v1,1,0.195065,1.678943,[182  99] ; [27 22],[177.96666667 103.03333333] ; [31.03333333 17.96666667],0
p5,1,0.228629,1.449369,[ 50 238] ; [ 5 43],[ 47.14285714 240.85714286] ; [ 7.85714286 40.14285714],0
u3,1,0.232501,1.425497,[37 16] ; [12  2],[38.76119403 14.23880597] ; [10.23880597  3.76119403],0
s3,1,0.234772,1.411714,[212  72] ; [34 17],[208.54925373  75.45074627] ; [37.45074627 13.54925373],0
d2,1,0.252465,1.309609,[168 121] ; [34 17],[171.7 117.3] ; [30.3 20.7],0
a4,1,0.267536,1.229339,[140 149] ; [29 22],[143.65 145.35] ; [25.35 25.65],0
n1,1,0.281225,1.161161,[23 33] ; [9 7],[24.88888889 31.11111111] ; [7.11111111 8.88888889],0
u2,1,0.287085,1.133242,[33 19] ; [11  3],[34.66666667 17.33333333] ; [9.33333333 4.66666667],0
s2,1,0.295874,1.092697,[205  80] ; [33 18],[201.875  83.125] ; [36.125 14.875],0
s7,1,0.298689,1.080039,[210  66] ; [39  8],[212.76780186  63.23219814] ; [36.23219814 10.76780186],0
s4,1,0.299023,1.078547,[ 50 237] ; [12 39],[ 52.64497041 234.35502959] ; [ 9.35502959 41.64497041],0
n3,1,0.300195,1.073327,[37 19] ; [12  3],[38.64788732 17.35211268] ; [10.35211268  4.64788732],0
d4,1,0.318023,0.997059,[252  36] ; [42  9],[249.7699115  38.2300885] ; [44.2300885  6.7699115],0
n5,1,0.33043,0.947211,[236  51] ; [39 12],[233.50591716  53.49408284] ; [41.49408284  9.50591716],0
a1,1,0.377892,0.777548,[ 14 275] ; [ 4 47],[ 15.3 273.7] ; [ 2.7 48.3],0
b5,1,0.403667,0.697374,[169 120] ; [33 18],[171.7 117.3] ; [30.3 20.7],0
v4,1,0.422782,0.64257,[283   6] ; [49  2],[282.2   6.8] ; [49.8  1.2],0
n2,1,0.431806,0.61796,[40 16] ; [13  3],[41.22222222 14.77777778] ; [11.77777778  4.22222222],0
s5,1,0.432181,0.616954,[130 149] ; [19 28],[127.51840491 151.48159509] ; [21.48159509 25.51840491],0
n4,1,0.436065,0.606614,[244  44] ; [41 10],[242.12389381  45.87610619] ; [42.87610619  8.12389381],0
a8,1,0.481723,0.494961,[ 49 211] ; [ 7 41],[ 47.27272727 212.72727273] ; [ 8.72727273 39.27272727],0
u4,1,0.491487,0.473269,[ 11 278] ; [ 3 48],[ 11.9 277.1] ; [ 2.1 48.9],0
v2,1,0.494658,0.466379,[176 103] ; [29 21],[173.8449848 105.1550152] ; [31.1550152 18.8449848],0
r4,1,0.538567,0.378203,[282   7] ; [49  2],[281.35   7.65] ; [49.65  1.35],0
s1,1,0.567223,0.327351,[ 10 275] ; [ 1 50],[  9.33035714 275.66964286] ; [ 1.66964286 49.33035714],0
n6,1,0.595748,0.281457,[255  32] ; [44  7],[253.88461538  33.11538462] ; [45.11538462  5.88461538],0
d1,1,0.718342,0.130087,[200  89] ; [34 17],[198.9  90.1] ; [35.1 15.9],0
d5,1,0.730297,0.118839,[249  39] ; [45  6],[249.7699115  38.2300885] ; [44.2300885  6.7699115],0
a6,1,0.844817,0.038313,[196  92] ; [34 17],[195.39823009  92.60176991] ; [34.60176991 16.39823009],0
b4,1,0.865625,0.028635,[168 121] ; [29 22],[167.45 121.55] ; [29.55 21.45],0
a5,1,0.876492,0.024155,[235  54] ; [41 10],[234.6  54.4] ; [41.4  9.6],0
s6,1,0.90655,0.013781,[245  42] ; [43  7],[245.27002967  41.72997033] ; [42.72997033  7.27002967],0
v3,1,0.96516,0.001908,[137 141] ; [23 24],[136.86153846 141.13846154] ; [23.13846154 23.86153846],0
p12,1,0.96893,0.001517,[ 35 252] ; [ 6 44],[ 34.91691395 252.08308605] ; [ 6.08308605 43.91691395],0
u1,1,0.986115,0.000303,[ 74 215] ; [13 38],[ 73.95 215.05] ; [13.05 37.95],0
a2,1,1.0,0.0,[ 85 204] ; [15 36],[ 85. 204.] ; [15. 36.],0
