Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,30.31032,[50 13] ; [ 4 21],[38.65909091 24.34090909] ; [15.34090909  9.65909091],1
s3,1,0.000191,13.917709,[48 15] ; [ 8 16],[40.55172414 22.44827586] ; [15.44827586  8.55172414],1
s6,1,0.000381,12.623341,[56  6] ; [11  9],[50.65853659 11.34146341] ; [16.34146341  3.65853659],1
s2,1,0.005723,7.635375,[44 19] ; [ 9 15],[38.37931034 24.62068966] ; [14.62068966  9.37931034],0
a3,1,0.022762,5.186612,[54  9] ; [16  9],[50.11363636 12.88636364] ; [19.88636364  5.11363636],0
p3,1,0.057664,3.603323,[54  9] ; [17  8],[50.82954545 12.17045455] ; [20.17045455  4.82954545],0
p6,1,0.069272,3.300191,[42 19] ; [12 13],[38.30232558 22.69767442] ; [15.69767442  9.30232558],0
b1,1,0.069711,3.289822,[22 41] ; [14 11],[25.77272727 37.22727273] ; [10.22727273 14.77272727],0
p12,1,0.070202,3.278289,[19 43] ; [ 3 22],[15.67816092 46.32183908] ; [ 6.32183908 18.67816092],0
r2,1,0.071975,3.237395,[59  3] ; [20  4],[56.95348837  5.04651163] ; [22.04651163  1.95348837],0
b5,1,0.094815,2.79066,[23 40] ; [14 11],[26.48863636 36.51136364] ; [10.51136364 14.48863636],0
p7,1,0.098569,2.728542,[53  8] ; [18  7],[50.36046512 10.63953488] ; [20.63953488  4.36046512],0
n4,1,0.107818,2.585918,[58  5] ; [20  5],[55.84090909  7.15909091] ; [22.15909091  2.84090909],0
r1,1,0.109307,2.564213,[54  9] ; [17  7],[51.4137931 11.5862069] ; [19.5862069  4.4137931],0
p8,1,0.132509,2.262857,[54  9] ; [18  7],[51.54545455 11.45454545] ; [20.45454545  4.54545455],0
r4,1,0.155545,2.017016,[59  4] ; [21  4],[57.27272727  5.72727273] ; [22.72727273  2.27272727],0
d3,1,0.175709,1.83355,[47 16] ; [15 10],[44.38636364 18.61363636] ; [17.61363636  7.38636364],0
n5,1,0.180207,1.795918,[57  6] ; [20  5],[55.125  7.875] ; [21.875  3.125],0
n6,1,0.224423,1.475865,[60  3] ; [22  3],[58.70454545  4.29545455] ; [23.29545455  1.70454545],0
p4,1,0.260241,1.267477,[58  5] ; [21  4],[56.55681818  6.44318182] ; [22.44318182  2.55681818],0
d2,1,0.261839,1.259005,[32 31] ; [16  9],[34.36363636 28.63636364] ; [13.63636364 11.36363636],0
a6,1,0.284264,1.146591,[35 28] ; [17  8],[37.22727273 25.77272727] ; [14.77272727 10.22727273],0
r3,1,0.304489,1.054432,[61  2] ; [22  2],[60.10344828  2.89655172] ; [22.89655172  1.10344828],0
v4,1,0.304489,1.054432,[61  2] ; [22  2],[60.10344828  2.89655172] ; [22.89655172  1.10344828],0
v1,1,0.323387,0.975198,[41 20] ; [18  5],[42.8452381 18.1547619] ; [16.1547619  6.8452381],0
