Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,57.158333,[79  5] ; [16 33],[60. 24.] ; [35. 14.],1
r1,1,0.0,38.921212,[72 12] ; [16 33],[55.57894737 28.42105263] ; [32.42105263 16.57894737],1
s6,1,0.0,35.836977,[56 26] ; [ 7 42],[39.4351145 42.5648855] ; [23.5648855 25.4351145],1
v4,1,0.0,33.60331,[79  5] ; [25 24],[65.68421053 18.31578947] ; [38.31578947 10.68421053],1
s2,1,2e-06,22.849552,[47 36] ; [ 7 42],[33.95454545 49.04545455] ; [20.04545455 28.95454545],1
s8,1,0.000113,14.905229,[35 48] ; [ 5 44],[25.15151515 57.84848485] ; [14.84848485 34.15151515],1
a7,1,0.000785,11.276196,[65 19] ; [24 25],[56.21052632 27.78947368] ; [32.78947368 16.21052632],1
n3,1,0.000869,11.087831,[24 11] ; [ 7 20],[17.5 17.5] ; [13.5 13.5],1
a1,1,0.001243,10.424988,[ 2 82] ; [ 9 40],[ 6.94736842 77.05263158] ; [ 4.05263158 44.94736842],0
p2,1,0.001293,10.352564,[50 34] ; [15 34],[41.05263158 42.94736842] ; [23.94736842 25.05263158],0
s7,1,0.001397,10.209586,[38 38] ; [ 9 35],[29.76666667 46.23333333] ; [17.23333333 26.76666667],0
s3,1,0.001793,9.750594,[44 39] ; [12 36],[35.48091603 47.51908397] ; [20.51908397 27.48091603],0
p4,1,0.002263,9.323047,[37 46] ; [ 9 40],[28.92424242 54.07575758] ; [17.07575758 31.92424242],0
n6,1,0.003324,8.620408,[57 27] ; [20 28],[49. 35.] ; [28. 20.],0
b2,1,0.003843,8.356342,[11 33] ; [17 12],[16.87671233 27.12328767] ; [11.12328767 17.87671233],0
b3,1,0.003843,8.356342,[11 33] ; [17 12],[16.87671233 27.12328767] ; [11.12328767 17.87671233],0
p9,1,0.004207,8.192142,[49 31] ; [16 30],[41.26984127 38.73015873] ; [23.73015873 22.26984127],0
