Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.008164,6.997169,[10  2] ; [4 9],[6.72 5.28] ; [7.28 5.72],0
d3,1,0.009427,6.740015,[9 3] ; [ 3 10],[5.76 6.24] ; [6.24 6.76],0
v2,1,0.018583,5.540293,[6 6] ; [ 1 12],[3.36 8.64] ; [3.64 9.36],0
a3,1,0.022136,5.235043,[10  2] ; [5 8],[7.2 4.8] ; [7.8 5.2],0
d4,1,0.035366,4.427401,[11  1] ; [7 6],[8.64 3.36] ; [9.36 3.64],0
r4,1,0.046906,3.948774,[5 7] ; [ 1 12],[2.88 9.12] ; [3.12 9.88],0
r3,1,0.053005,3.743768,[10  2] ; [6 7],[7.68 4.32] ; [8.32 4.68],0
d2,1,0.07222,3.231838,[7 5] ; [ 3 10],[4.8 7.2] ; [5.2 7.8],0
s5,1,0.109315,2.564103,[4 8] ; [ 1 12],[2.4 9.6] ; [ 2.6 10.4],0
n1,1,0.133614,2.25,[2 1] ; [1 5],[1. 2.] ; [2. 4.],0
p7,1,0.141326,2.163462,[3 9] ; [7 6],[4.8 7.2] ; [5.2 7.8],0
p11,1,0.158464,1.988823,[8 4] ; [5 8],[6.24 5.76] ; [6.76 6.24],0
a7,1,0.158464,1.988823,[8 4] ; [5 8],[6.24 5.76] ; [6.76 6.24],0
a5,1,0.158464,1.988823,[8 4] ; [5 8],[6.24 5.76] ; [6.76 6.24],0
a4,1,0.161178,1.963141,[6 6] ; [ 3 10],[4.32 7.68] ; [4.68 8.32],0
n6,1,0.161178,1.963141,[6 6] ; [ 3 10],[4.32 7.68] ; [4.68 8.32],0
p9,1,0.165403,1.924118,[7 5] ; [4 9],[5.28 6.72] ; [5.72 7.28],0
n5,1,0.2253,1.470289,[ 2 10] ; [5 8],[3.36 8.64] ; [3.64 9.36],0
p8,1,0.264589,1.244589,[3 8] ; [6 6],[4.30434783 6.69565217] ; [4.69565217 7.30434783],0
b4,1,0.270948,1.211939,[9 3] ; [7 6],[7.68 4.32] ; [8.32 4.68],0
s4,1,0.293803,1.102114,[4 8] ; [ 2 11],[2.88 9.12] ; [3.12 9.88],0
p6,1,0.315086,1.009234,[ 1 11] ; [ 3 10],[ 1.92 10.08] ; [ 2.08 10.92],0
b5,1,0.320423,0.987221,[5 7] ; [8 5],[6.24 5.76] ; [6.76 6.24],0
r1,1,0.3268,0.961538,[6 6] ; [4 9],[4.8 7.2] ; [5.2 7.8],0
a6,1,0.3268,0.961538,[6 6] ; [4 9],[4.8 7.2] ; [5.2 7.8],0
s6,1,0.3268,0.961538,[6 6] ; [4 9],[4.8 7.2] ; [5.2 7.8],0
v3,1,0.359637,0.839161,[ 1 10] ; [ 3 10],[1.83333333 9.16666667] ; [ 2.16666667 10.83333333],0
s2,1,0.409454,0.680387,[ 2 10] ; [4 9],[2.88 9.12] ; [3.12 9.88],0
b3,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
b2,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
p2,1,0.561471,0.337163,[6 6] ; [5 8],[5.28 6.72] ; [5.72 7.28],0
p3,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
v1,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
p10,1,0.570632,0.321626,[5 7] ; [4 9],[4.32 7.68] ; [4.68 8.32],0
p1,1,0.587793,0.293803,[ 1 11] ; [ 2 11],[ 1.44 10.56] ; [ 1.56 11.44],0
n3,1,0.67329,0.177778,[1 1] ; [4 2],[1.25 0.75] ; [3.75 2.25],0
p4,1,0.789561,0.071225,[4 8] ; [5 8],[4.32 7.68] ; [4.68 8.32],0
b1,1,0.847501,0.036982,[6 6] ; [6 7],[5.76 6.24] ; [6.24 6.76],0
s3,1,0.87018,0.026709,[5 7] ; [5 8],[4.8 7.2] ; [5.2 7.8],0
s8,1,0.952933,0.003484,[ 1 11] ; [ 1 12],[ 0.96 11.04] ; [ 1.04 11.96],0
n2,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
