Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.010566,6.536905,[1 6] ; [9 3],[3.68421053 3.31578947] ; [6.31578947 5.68421053],0
p5,1,0.013753,6.069565,[ 3 11] ; [ 1 43],[ 0.96551724 13.03448276] ; [ 3.03448276 40.96551724],0
r3,1,0.01656,5.742439,[9 5] ; [40  4],[11.82758621  2.17241379] ; [37.17241379  6.82758621],0
d3,1,0.040558,4.194395,[6 8] ; [32 12],[9.17241379 4.82758621] ; [28.82758621 15.17241379],0
b1,1,0.065608,3.38961,[10  4] ; [19 25],[7. 7.] ; [22. 22.],0
u3,1,0.081277,3.039183,[2 5] ; [9 4],[3.85 3.15] ; [7.15 5.85],0
n5,1,0.081828,3.028218,[11  3] ; [23 21],[8.20689655 5.79310345] ; [25.79310345 18.20689655],0
s7,1,0.087504,2.919704,[ 3 11] ; [19 21],[5.7037037 8.2962963] ; [16.2962963 23.7037037],0
d5,1,0.095448,2.780006,[8 6] ; [35  9],[10.37931034  3.62068966] ; [32.62068966 11.37931034],0
s2,1,0.132322,2.265046,[ 3 10] ; [20 23],[5.33928571 7.66071429] ; [17.66071429 25.33928571],0
v2,1,0.158122,1.992095,[6 8] ; [27 15],[8.25 5.75] ; [24.75 17.25],0
a4,1,0.160253,1.971841,[ 4 10] ; [22 22],[6.27586207 7.72413793] ; [19.72413793 24.27586207],0
a3,1,0.160781,1.966866,[7 7] ; [31 13],[9.17241379 4.82758621] ; [28.82758621 15.17241379],0
a6,1,0.160781,1.966866,[7 7] ; [31 13],[9.17241379 4.82758621] ; [28.82758621 15.17241379],0
a7,1,0.160781,1.966866,[7 7] ; [31 13],[9.17241379 4.82758621] ; [28.82758621 15.17241379],0
a2,1,0.201113,1.634276,[ 2 12] ; [14 30],[ 3.86206897 10.13793103] ; [12.13793103 31.86206897],0
d2,1,0.219675,1.506494,[5 9] ; [24 20],[7. 7.] ; [22. 22.],0
p9,1,0.254014,1.301091,[ 3 11] ; [16 26],[4.75 9.25] ; [14.25 27.75],0
p3,1,0.272286,1.205195,[6 8] ; [12 32],[4.34482759 9.65517241] ; [13.65517241 30.34482759],0
p4,1,0.318693,0.994304,[8 6] ; [18 25],[6.38596491 7.61403509] ; [19.61403509 23.38596491],0
a8,1,0.354738,0.856437,[ 3 10] ; [ 5 35],[ 1.96226415 11.03773585] ; [ 6.03773585 33.96226415],0
a1,1,0.385899,0.751826,[ 2 12] ; [ 3 41],[ 1.20689655 12.79310345] ; [ 3.79310345 40.20689655],0
s6,1,0.39684,0.717882,[7 7] ; [27 16],[8.35087719 5.64912281] ; [25.64912281 17.35087719],0
p7,1,0.43297,0.614844,[7 7] ; [16 26],[5.75 8.25] ; [17.25 24.75],0
n6,1,0.434663,0.610332,[9 5] ; [33 11],[10.13793103  3.86206897] ; [31.86206897 12.13793103],0
s3,1,0.466502,0.530249,[8 5] ; [21 21],[6.85454545 6.14545455] ; [22.14545455 19.85454545],0
s4,1,0.500085,0.454756,[ 1 13] ; [ 6 37],[ 1.71929825 12.28070175] ; [ 5.28070175 37.71929825],0
p8,1,0.519536,0.414815,[6 8] ; [14 28],[5. 9.] ; [15. 27.],0
p11,1,0.539416,0.376623,[6 8] ; [23 21],[7. 7.] ; [22. 22.],0
r1,1,0.553953,0.350282,[11  3] ; [31 13],[10.13793103  3.86206897] ; [31.86206897 12.13793103],0
b5,1,0.593157,0.285441,[10  4] ; [28 16],[9.17241379 4.82758621] ; [28.82758621 15.17241379],0
a5,1,0.662739,0.190214,[8 6] ; [28 16],[8.68965517 5.31034483] ; [27.31034483 16.68965517],0
r2,1,0.702306,0.146084,[13  1] ; [42  2],[13.27586207  0.72413793] ; [41.72413793  2.27586207],0
s1,1,0.716876,0.131506,[ 1 13] ; [ 2 41],[ 0.73684211 13.26315789] ; [ 2.26315789 40.73684211],0
b2,1,0.740947,0.109296,[2 9] ; [ 6 20],[2.37837838 8.62162162] ; [ 5.62162162 20.37837838],0
b3,1,0.740947,0.109296,[2 9] ; [ 6 20],[2.37837838 8.62162162] ; [ 5.62162162 20.37837838],0
b4,1,0.819093,0.052309,[10  4] ; [30 14],[9.65517241 4.34482759] ; [30.34482759 13.65517241],0
s5,1,0.82182,0.050717,[ 3 11] ; [10 31],[ 3.30909091 10.69090909] ; [ 9.69090909 31.30909091],0
p2,1,0.864846,0.028971,[8 6] ; [24 20],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
s8,1,0.919772,0.010145,[5 9] ; [16 27],[5.15789474 8.84210526] ; [15.84210526 27.15789474],0
v1,1,0.930645,0.007575,[8 6] ; [24 19],[7.85964912 6.14035088] ; [24.14035088 18.85964912],0
r4,1,0.93754,0.006141,[11  3] ; [35  9],[11.10344828  2.89655172] ; [34.89655172  9.10344828],0
v4,1,0.951065,0.003766,[12  2] ; [38  6],[12.06896552  1.93103448] ; [37.93103448  6.06896552],0
p6,1,0.967391,0.001671,[ 3 11] ; [ 9 32],[ 3.05454545 10.94545455] ; [ 8.94545455 32.05454545],0
