Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,102.737873,[266  38] ; [56 80],[222.47272727  81.52727273] ; [99.52727273 36.47272727],1
n6,1,0.0,33.728015,[263  40] ; [85 51],[240.19134396  62.80865604] ; [107.80865604  28.19134396],1
p10,1,2e-06,22.969546,[237  62] ; [77 58],[216.32718894  82.67281106] ; [97.67281106 37.32718894],1
v1,1,0.000313,12.989014,[159 139] ; [46 87],[141.74013921 156.25986079] ; [63.25986079 69.74013921],1
p9,1,0.000483,12.181168,[243  56] ; [89 46],[228.7281106  70.2718894] ; [103.2718894  31.7281106],1
a5,1,0.000487,12.163632,[225  79] ; [78 58],[209.34545455  94.65454545] ; [93.65454545 42.34545455],1
u1,1,0.001,10.826935,[ 47 257] ; [  6 130],[ 36.61818182 267.38181818] ; [ 16.38181818 119.61818182],0
p4,1,0.001946,9.600216,[167 135] ; [53 82],[152.03661327 149.96338673] ; [67.96338673 67.03661327],0
a2,1,0.002587,9.078149,[ 71 233] ; [ 15 121],[ 59.41818182 244.58181818] ; [ 26.58181818 109.41818182],0
s6,1,0.003721,8.415136,[147 151] ; [46 88],[133.13425926 164.86574074] ; [59.86574074 74.13425926],0
a6,1,0.003783,8.385377,[225  79] ; [82 54],[212.10909091  91.89090909] ; [94.89090909 41.10909091],0
n1,1,0.013967,6.042287,[33 37] ; [10 32],[26.875 43.125] ; [16.125 25.875],0
p5,1,0.021364,5.296827,[ 34 268] ; [  6 130],[ 27.57990868 274.42009132] ; [ 12.42009132 123.57990868],0
p8,1,0.0634,3.446142,[153 142] ; [57 78],[144.06976744 150.93023256] ; [65.93023256 69.06976744],0
p3,1,0.065804,3.384701,[144 158] ; [52 84],[135.14155251 166.85844749] ; [60.85844749 75.14155251],0
s8,1,0.066037,3.378881,[ 78 224] ; [ 24 111],[ 70.48970252 231.51029748] ; [ 31.51029748 103.48970252],0
a8,1,0.070473,3.271968,[ 33 237] ; [  8 119],[ 27.88413098 242.11586902] ; [ 13.11586902 113.88413098],0
d2,1,0.078683,3.091896,[140 161] ; [51 85],[131.5583524 169.4416476] ; [59.4416476 76.5583524],0
p11,1,0.080696,3.050828,[236  68] ; [95 41],[228.69090909  75.30909091] ; [102.30909091  33.69090909],0
p12,1,0.101388,2.683574,[ 14 285] ; [  2 133],[ 11.02304147 287.97695853] ; [  4.97695853 130.02304147],0
v3,1,0.107991,2.583373,[111 187] ; [37 90],[103.77411765 194.22588235] ; [44.22588235 82.77411765],0
a1,1,0.144848,2.125684,[ 16 288] ; [  3 133],[ 13.12727273 290.87272727] ; [  5.87272727 130.12727273],0
