Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,6.9e-05,15.851017,[47  6] ; [51 39],[36.32167832 16.67832168] ; [61.67832168 28.32167832],1
p7,1,0.000549,11.939714,[36 14] ; [36 51],[26.27737226 23.72262774] ; [45.72262774 41.27737226],1
d4,1,0.008828,6.857295,[37 16] ; [78 11],[42.92253521 10.07746479] ; [72.07746479 16.92253521],0
p11,1,0.012095,6.296847,[45  8] ; [59 31],[38.54545455 14.45454545] ; [65.45454545 24.54545455],0
p9,1,0.014008,6.037149,[49  4] ; [67 21],[43.60283688  9.39716312] ; [72.39716312 15.60283688],0
p10,1,0.015174,5.896195,[47  5] ; [66 24],[41.38028169 10.61971831] ; [71.61971831 18.38028169],0
v4,1,0.042125,4.130181,[52  1] ; [78 10],[48.86524823  4.13475177] ; [81.13475177  6.86524823],0
p5,1,0.060027,3.53664,[ 6 47] ; [ 3 86],[ 3.35915493 49.64084507] ; [ 5.64084507 83.35915493],0
n6,1,0.062269,3.475887,[47  6] ; [66 21],[42.77857143 10.22142857] ; [70.22142857 16.77857143],0
d5,1,0.092092,2.837427,[37 16] ; [73 16],[41.05633803 11.94366197] ; [68.94366197 20.05633803],0
d2,1,0.106967,2.598464,[20 33] ; [46 43],[24.63380282 28.36619718] ; [41.36619718 47.63380282],0
r4,1,0.130154,2.290671,[48  5] ; [73 17],[44.84615385  8.15384615] ; [76.15384615 13.84615385],0
d1,1,0.148137,2.091326,[24 29] ; [52 38],[28.16783217 24.83216783] ; [47.83216783 42.16783217],0
a4,1,0.164463,1.932705,[19 34] ; [43 47],[22.97902098 30.02097902] ; [39.02097902 50.97902098],0
a7,1,0.164615,1.931307,[39 14] ; [56 34],[35.20979021 17.79020979] ; [59.79020979 30.20979021],0
p1,1,0.188821,1.726792,[ 7 46] ; [ 6 84],[ 4.81818182 48.18181818] ; [ 8.18181818 81.81818182],0
b4,1,0.219082,1.510372,[25 28] ; [52 38],[28.53846154 24.46153846] ; [48.46153846 41.53846154],0
n2,1,0.259367,1.27213,[12  1] ; [25  7],[10.68888889  2.31111111] ; [26.31111111  5.68888889],0
s8,1,0.306281,1.046643,[38 15] ; [57 33],[35.20979021 17.79020979] ; [59.79020979 30.20979021],0
s6,1,0.35036,0.872152,[44  9] ; [68 21],[41.8028169 11.1971831] ; [70.1971831 18.8028169],0
v2,1,0.3889,0.742377,[27 24] ; [52 34],[29.40875912 21.59124088] ; [49.59124088 36.40875912],0
s4,1,0.393143,0.729198,[14 39] ; [18 71],[11.94366197 41.05633803] ; [20.05633803 68.94366197],0
p3,1,0.401514,0.703787,[17 36] ; [23 67],[14.82517483 38.17482517] ; [25.17482517 64.82517483],0
b5,1,0.425875,0.634046,[30 23] ; [57 33],[32.24475524 20.75524476] ; [54.75524476 35.24475524],0
v1,1,0.452342,0.564777,[28 23] ; [42 45],[25.86956522 25.13043478] ; [44.13043478 42.86956522],0
p12,1,0.482517,0.493169,[ 2 50] ; [ 6 84],[ 2.92957746 49.07042254] ; [ 5.07042254 84.92957746],0
n3,1,0.540089,0.375375,[8 5] ; [22  9],[8.86363636 4.13636364] ; [21.13636364  9.86363636],0
r1,1,0.547773,0.361322,[44  9] ; [71 19],[42.62237762 10.37762238] ; [72.37762238 17.62237762],0
s5,1,0.549752,0.357762,[21 30] ; [31 55],[19.35766423 31.64233577] ; [32.64233577 53.35766423],0
u3,1,0.61174,0.257649,[8 4] ; [15  5],[8.625 3.375] ; [14.375  5.625],0
p6,1,0.612167,0.257032,[14 37] ; [21 68],[12.75 38.25] ; [22.25 66.75],0
r2,1,0.619953,0.245933,[50  2] ; [82  5],[49.38129496  2.61870504] ; [82.61870504  4.38129496],0
s2,1,0.622169,0.24283,[35 18] ; [63 27],[36.32167832 16.67832168] ; [61.67832168 28.32167832],0
v3,1,0.651113,0.204499,[21 32] ; [37 48],[22.27536232 30.72463768] ; [35.72463768 49.27536232],0
a8,1,0.679885,0.170255,[10 37] ; [15 67],[ 9.10852713 37.89147287] ; [15.89147287 66.10852713],0
a2,1,0.72084,0.127689,[11 42] ; [21 69],[11.86013986 41.13986014] ; [20.13986014 69.86013986],0
n4,1,0.722877,0.125753,[43 10] ; [70 19],[42.17605634 10.82394366] ; [70.82394366 18.17605634],0
u2,1,0.765087,0.089286,[6 6] ; [10  8],[6.4 5.6] ; [9.6 8.4],0
r3,1,0.798135,0.065414,[50  3] ; [83  6],[49.64084507  3.35915493] ; [83.35915493  5.64084507],0
s3,1,0.827443,0.047516,[39 13] ; [66 24],[38.45070423 13.54929577] ; [66.54929577 23.45070423],0
s1,1,0.841947,0.039762,[ 4 49] ; [ 6 84],[ 3.70629371 49.29370629] ; [ 6.29370629 83.70629371],0
b1,1,0.859077,0.031524,[22 31] ; [36 54],[21.4965035 31.5034965] ; [36.5034965 53.4965035],0
a3,1,0.881969,0.022044,[41 11] ; [70 20],[40.64788732 11.35211268] ; [70.35211268 19.64788732],0
u1,1,0.913672,0.011752,[11 42] ; [18 72],[10.74825175 42.25174825] ; [18.25174825 71.74825175],0
a6,1,0.944543,0.004839,[33 19] ; [57 32],[33.19148936 18.80851064] ; [56.80851064 32.19148936],0
b2,1,0.950799,0.003807,[14 19] ; [28 37],[14.14285714 18.85714286] ; [27.85714286 37.14285714],0
b3,1,0.950799,0.003807,[14 19] ; [28 37],[14.14285714 18.85714286] ; [27.85714286 37.14285714],0
n5,1,0.950878,0.003795,[37 16] ; [61 27],[36.83687943 16.16312057] ; [61.16312057 26.83687943],0
n1,1,0.964944,0.001932,[6 7] ; [15 17],[6.06666667 6.93333333] ; [14.93333333 17.06666667],0
d3,1,0.972078,0.001225,[32 21] ; [54 35],[32.09859155 20.90140845] ; [53.90140845 35.09859155],0
a5,1,0.97376,0.001082,[39 14] ; [66 24],[38.91608392 14.08391608] ; [66.08391608 23.91608392],0
