Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.006705,7.35041,[15 12] ; [56 12],[20.17894737  6.82105263] ; [50.82105263 17.17894737],0
r4,1,0.006802,7.324611,[18  9] ; [61  7],[22.45263158  4.54736842] ; [56.54736842 11.45263158],0
a3,1,0.026435,4.927369,[11 16] ; [44 23],[15.79787234 11.20212766] ; [39.20212766 27.79787234],0
n5,1,0.04423,4.047775,[16 11] ; [54 14],[19.89473684  7.10526316] ; [50.10526316 17.89473684],0
d1,1,0.062683,3.464928,[ 6 21] ; [29 39],[ 9.94736842 17.05263158] ; [25.05263158 42.94736842],0
n6,1,0.064302,3.422794,[18  9] ; [57 11],[21.31578947  5.68421053] ; [53.68421053 14.31578947],0
d5,1,0.065464,3.393257,[16 11] ; [53 15],[19.61052632  7.38947368] ; [49.38947368 18.61052632],0
s4,1,0.093434,2.814184,[11 16] ; [16 52],[ 7.67368421 19.32631579] ; [19.32631579 48.67368421],0
n3,1,0.149173,2.080688,[6 2] ; [ 8 10],[4.30769231 3.69230769] ; [9.69230769 8.30769231],0
a4,1,0.219403,1.508273,[ 3 24] ; [15 53],[ 5.11578947 21.88421053] ; [12.88421053 55.11578947],0
b3,1,0.224759,1.473724,[ 9 12] ; [11 29],[ 6.8852459 14.1147541] ; [13.1147541 26.8852459],0
b2,1,0.224759,1.473724,[ 9 12] ; [11 29],[ 6.8852459 14.1147541] ; [13.1147541 26.8852459],0
s2,1,0.226075,1.465386,[16 11] ; [49 19],[18.47368421  8.52631579] ; [46.52631579 21.47368421],0
r3,1,0.233872,1.417157,[24  3] ; [64  3],[25.27659574  1.72340426] ; [62.72340426  4.27659574],0
s8,1,0.246522,1.342905,[14 13] ; [44 24],[16.48421053 10.51578947] ; [41.51578947 26.48421053],0
d4,1,0.26542,1.240265,[19  8] ; [55 13],[21.03157895  5.96842105] ; [52.96842105 15.03157895],0
b1,1,0.295392,1.094884,[ 8 19] ; [28 40],[10.23157895 16.76842105] ; [25.76842105 42.23157895],0
s6,1,0.297022,1.087515,[18  8] ; [54 14],[19.91489362  6.08510638] ; [52.08510638 15.91489362],0
n4,1,0.308274,1.038058,[17 10] ; [50 18],[19.04210526  7.95789474] ; [47.95789474 20.04210526],0
p5,1,0.319346,0.991625,[ 3 24] ; [13 53],[ 4.64516129 22.35483871] ; [11.35483871 54.64516129],0
d2,1,0.34736,0.883079,[ 4 23] ; [16 52],[ 5.68421053 21.31578947] ; [14.31578947 53.68421053],0
p10,1,0.428268,0.627516,[19  7] ; [54 13],[20.40860215  5.59139785] ; [52.59139785 14.40860215],0
p4,1,0.45223,0.565056,[14 13] ; [41 27],[15.63157895 11.36842105] ; [39.36842105 28.63157895],0
d3,1,0.488714,0.479357,[15 12] ; [43 25],[16.48421053 10.51578947] ; [41.51578947 26.48421053],0
u3,1,0.504985,0.444444,[9 7] ; [16  8],[10.  6.] ; [15.  9.],0
v2,1,0.510367,0.433314,[13 13] ; [28 38],[11.58695652 14.41304348] ; [29.41304348 36.58695652],0
a8,1,0.516418,0.421041,[ 2 23] ; [ 8 54],[ 2.87356322 22.12643678] ; [ 7.12643678 54.87356322],0
v4,1,0.526098,0.401922,[24  2] ; [65  3],[24.61702128  1.38297872] ; [64.38297872  3.61702128],0
p12,1,0.555346,0.347827,[ 2 25] ; [ 3 65],[ 1.42105263 25.57894737] ; [ 3.57894737 64.42105263],0
u2,1,0.571257,0.320584,[9 7] ; [15  8],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
p8,1,0.580946,0.304708,[16 10] ; [37 30],[14.8172043 11.1827957] ; [38.1827957 28.8172043],0
u1,1,0.667979,0.183975,[ 1 26] ; [ 4 64],[ 1.42105263 25.57894737] ; [ 3.57894737 64.42105263],0
b4,1,0.710296,0.137981,[17 10] ; [40 28],[16.2 10.8] ; [40.8 27.2],0
v1,1,0.719606,0.128871,[14 13] ; [32 35],[13.21276596 13.78723404] ; [32.78723404 34.21276596],0
p11,1,0.734039,0.115435,[20  7] ; [48 20],[19.32631579  7.67368421] ; [48.67368421 19.32631579],0
n1,1,0.793117,0.068783,[4 4] ; [ 8 10],[3.69230769 4.30769231] ; [8.30769231 9.69230769],0
