Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,8.4e-05,15.471146,[ 8 69] ; [17 24],[16.31355932 60.68644068] ; [ 8.68644068 32.31355932],1
p2,1,0.000325,12.918494,[34 44] ; [32  9],[43.2605042 34.7394958] ; [22.7394958 18.2605042],1
p6,1,0.003207,8.685534,[ 7 69] ; [12 27],[12.55652174 63.44347826] ; [ 6.44347826 32.55652174],0
v4,1,0.004881,7.923187,[52 26] ; [37  4],[58.33613445 19.66386555] ; [30.66386555 10.33613445],0
p8,1,0.006215,7.486885,[14 63] ; [17 24],[20.22881356 56.77118644] ; [10.77118644 30.22881356],0
s6,1,0.008043,7.023799,[23 54] ; [22 18],[29.61538462 47.38461538] ; [15.38461538 24.61538462],0
r4,1,0.014034,6.033839,[31 47] ; [26 15],[37.36134454 40.63865546] ; [19.63865546 21.36134454],0
s8,1,0.015909,5.812852,[ 9 69] ; [12 29],[13.76470588 64.23529412] ; [ 7.23529412 33.76470588],0
b3,1,0.022103,5.237649,[21 20] ; [ 6 20],[16.52238806 24.47761194] ; [10.47761194 15.52238806],0
b2,1,0.022103,5.237649,[21 20] ; [ 6 20],[16.52238806 24.47761194] ; [10.47761194 15.52238806],0
r3,1,0.022638,5.196047,[53 24] ; [36  5],[58.07627119 18.92372881] ; [30.92372881 10.07627119],0
n3,1,0.026935,4.894943,[16 16] ; [14  3],[19.59183673 12.40816327] ; [10.40816327  6.59183673],0
v2,1,0.04651,3.963033,[20 55] ; [18 22],[24.7826087 50.2173913] ; [13.2173913 26.7826087],0
d2,1,0.102195,2.670953,[34 42] ; [12 29],[29.88034188 46.11965812] ; [16.11965812 24.88034188],0
a1,1,0.12535,2.349164,[ 8 70] ; [ 1 40],[ 5.89915966 72.10084034] ; [ 3.10084034 37.89915966],0
r2,1,0.160924,1.965517,[55 21] ; [32  6],[58. 18.] ; [29.  9.],0
b4,1,0.173391,1.853375,[50 28] ; [21 20],[46.53781513 31.46218487] ; [24.46218487 16.53781513],0
a4,1,0.175032,1.839309,[24 53] ; [ 8 33],[20.88135593 56.11864407] ; [11.11864407 29.88135593],0
d5,1,0.188541,1.728985,[47 31] ; [29 11],[50.23728814 27.76271186] ; [25.76271186 14.23728814],0
d3,1,0.190658,1.712529,[34 44] ; [22 17],[37.33333333 40.66666667] ; [18.66666667 20.33333333],0
p1,1,0.207647,1.587754,[12 66] ; [ 3 38],[ 9.83193277 68.16806723] ; [ 5.16806723 35.83193277],0
u1,1,0.247107,1.339587,[ 6 72] ; [ 1 40],[ 4.58823529 73.41176471] ; [ 2.41176471 38.58823529],0
n6,1,0.252134,1.31144,[51 27] ; [31 10],[53.74789916 24.25210084] ; [28.25210084 12.74789916],0
p9,1,0.253417,1.304365,[47 25] ; [31 10],[49.69911504 22.30088496] ; [28.30088496 12.69911504],0
a5,1,0.253778,1.302387,[39 39] ; [16 25],[36.05042017 41.94957983] ; [18.94957983 22.05042017],0
s3,1,0.278274,1.175501,[26 51] ; [18 23],[28.71186441 48.28813559] ; [15.28813559 25.71186441],0
n4,1,0.318323,0.995824,[44 34] ; [27 14],[46.53781513 31.46218487] ; [24.46218487 16.53781513],0
b5,1,0.319173,0.992332,[46 32] ; [28 13],[48.50420168 29.49579832] ; [25.49579832 15.50420168],0
n2,1,0.320882,0.98535,[20 12] ; [13  4],[21.55102041 10.44897959] ; [11.44897959  5.55102041],0
s4,1,0.340457,0.908709,[15 63] ; [11 30],[17.04201681 60.95798319] ; [ 8.95798319 32.04201681],0
a7,1,0.369044,0.806882,[42 36] ; [25 15],[44.28813559 33.71186441] ; [22.71186441 17.28813559],0
a6,1,0.375289,0.786077,[39 39] ; [24 17],[41.29411765 36.70588235] ; [21.70588235 19.29411765],0
p10,1,0.379873,0.771112,[43 33] ; [26 14],[45.20689655 30.79310345] ; [23.79310345 16.20689655],0
u2,1,0.38877,0.742785,[12 22] ; [ 9 10],[13.47169811 20.52830189] ; [ 7.52830189 11.47169811],0
s2,1,0.411184,0.675375,[21 57] ; [14 27],[22.94117647 55.05882353] ; [12.05882353 28.94117647],0
u3,1,0.431557,0.618629,[12 22] ; [ 5 15],[10.7037037 23.2962963] ; [ 6.2962963 13.7037037],0
s7,1,0.489926,0.476688,[17 59] ; [11 28],[18.50434783 57.49565217] ; [ 9.49565217 29.50434783],0
s1,1,0.514492,0.42492,[ 2 75] ; [ 2 39],[ 2.61016949 74.38983051] ; [ 1.38983051 39.61016949],0
s5,1,0.569406,0.323678,[12 62] ; [ 8 31],[13.09734513 60.90265487] ; [ 6.90265487 32.09734513],0
a2,1,0.579248,0.307452,[ 7 71] ; [ 5 36],[ 7.86554622 70.13445378] ; [ 4.13445378 36.86554622],0
v3,1,0.617686,0.249133,[19 57] ; [12 29],[20.13675214 55.86324786] ; [10.86324786 30.13675214],0
u4,1,0.640799,0.217699,[ 1 77] ; [ 1 40],[ 1.31092437 76.68907563] ; [ 0.68907563 40.31092437],0
d4,1,0.643077,0.21474,[48 30] ; [27 14],[49.15966387 28.84033613] ; [25.84033613 15.15966387],0
