Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,7.8e-05,15.6,[11  2] ; [ 9 30],[5. 8.] ; [15. 24.],1
p8,1,9.2e-05,15.292307,[9 4] ; [ 5 33],[3.56862745 9.43137255] ; [10.43137255 27.56862745],1
p7,1,0.000249,13.416699,[9 3] ; [ 7 31],[3.84 8.16] ; [12.16 25.84],1
p4,1,0.000262,13.324696,[9 4] ; [ 6 32],[3.82352941 9.17647059] ; [11.17647059 26.82352941],1
p3,1,0.005546,7.692308,[7 6] ; [ 6 33],[3.25 9.75] ; [ 9.75 29.25],0
p9,1,0.008556,6.913195,[9 4] ; [10 26],[5.04081633 7.95918367] ; [13.95918367 22.04081633],0
p6,1,0.0089,6.842876,[5 8] ; [ 3 35],[ 2.03921569 10.96078431] ; [ 5.96078431 32.03921569],0
p5,1,0.017942,5.601807,[ 3 10] ; [ 1 37],[ 1.01960784 11.98039216] ; [ 2.98039216 35.01960784],0
v2,1,0.02257,5.201272,[5 8] ; [ 4 34],[ 2.29411765 10.70588235] ; [ 6.70588235 31.29411765],0
n4,1,0.02328,5.147475,[4 9] ; [26 13],[7.5 5.5] ; [22.5 16.5],0
u3,1,0.031633,4.618254,[4 3] ; [ 2 13],[1.90909091 5.09090909] ; [ 4.09090909 10.90909091],0
b5,1,0.036112,4.391804,[9 4] ; [14 25],[5.75 7.25] ; [17.25 21.75],0
n6,1,0.040198,4.209524,[8 4] ; [13 26],[4.94117647 7.05882353] ; [16.05882353 22.94117647],0
p10,1,0.056159,3.647329,[8 5] ; [12 26],[5.09803922 7.90196078] ; [14.90196078 23.09803922],0
u2,1,0.081481,3.035102,[4 3] ; [ 3 12],[2.22727273 4.77272727] ; [ 4.77272727 10.22727273],0
v1,1,0.128452,2.311111,[5 8] ; [ 7 32],[ 3. 10.] ; [ 9. 30.],0
s7,1,0.147866,2.094124,[4 8] ; [ 5 30],[2.29787234 9.70212766] ; [ 6.70212766 28.29787234],0
v4,1,0.14924,2.08,[9 4] ; [18 21],[6.75 6.25] ; [20.25 18.75],0
n5,1,0.165205,1.925926,[7 6] ; [29 10],[9. 4.] ; [27. 12.],0
s2,1,0.240842,1.375661,[ 3 10] ; [ 4 35],[ 1.75 11.25] ; [ 5.25 33.75],0
d3,1,0.261979,1.258272,[8 5] ; [17 22],[6.25 6.75] ; [18.75 20.25],0
a3,1,0.282239,1.156275,[6 7] ; [24 14],[7.64705882 5.35294118] ; [22.35294118 15.64705882],0
a4,1,0.285585,1.14032,[ 3 10] ; [15 23],[4.58823529 8.41176471] ; [13.41176471 24.58823529],0
s4,1,0.374742,0.787879,[ 3 10] ; [ 5 34],[ 2. 11.] ; [ 6. 33.],0
d1,1,0.393438,0.728291,[ 3 10] ; [14 25],[4.25 8.75] ; [12.75 26.25],0
p12,1,0.405033,0.693333,[ 1 12] ; [ 1 38],[ 0.5 12.5] ; [ 1.5 37.5],0
b2,1,0.438578,0.6,[3 6] ; [13 14],[4. 5.] ; [12. 15.],0
b3,1,0.438578,0.6,[3 6] ; [13 14],[4. 5.] ; [12. 15.],0
d4,1,0.520603,0.412698,[8 5] ; [20 19],[7. 6.] ; [21. 18.],0
d2,1,0.575259,0.313962,[4 9] ; [15 23],[4.84313725 8.15686275] ; [14.15686275 23.84313725],0
p1,1,0.616226,0.251208,[ 2 11] ; [ 4 35],[ 1.5 11.5] ; [ 4.5 34.5],0
a2,1,0.616226,0.251208,[ 1 12] ; [ 5 34],[ 1.5 11.5] ; [ 4.5 34.5],0
s8,1,0.616226,0.251208,[ 2 11] ; [ 4 35],[ 1.5 11.5] ; [ 4.5 34.5],0
v3,1,0.684522,0.165079,[ 2 11] ; [ 8 31],[ 2.5 10.5] ; [ 7.5 31.5],0
r2,1,0.72872,0.120291,[9 4] ; [23 13],[8.48979592 4.51020408] ; [23.51020408 12.48979592],0
r4,1,0.731308,0.117914,[ 1 12] ; [ 2 37],[ 0.75 12.25] ; [ 2.25 36.75],0
u1,1,0.731308,0.117914,[ 1 12] ; [ 2 37],[ 0.75 12.25] ; [ 2.25 36.75],0
r1,1,0.736429,0.11329,[4 9] ; [14 25],[4.5 8.5] ; [13.5 25.5],0
n2,1,0.741854,0.108503,[3 4] ; [11 11],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
a7,1,0.745851,0.105051,[6 7] ; [16 23],[5.5 7.5] ; [16.5 22.5],0
s5,1,0.747977,0.103239,[ 1 12] ; [ 2 36],[ 0.76470588 12.23529412] ; [ 2.23529412 35.76470588],0
s1,1,0.78594,0.073759,[ 1 12] ; [ 4 35],[ 1.25 11.75] ; [ 3.75 35.25],0
a6,1,0.872687,0.025679,[6 7] ; [19 20],[6.25 6.75] ; [18.75 20.25],0
a5,1,0.872687,0.025679,[7 6] ; [20 19],[6.75 6.25] ; [20.25 18.75],0
n1,1,0.904201,0.014486,[3 4] ; [10 12],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
s3,1,0.927818,0.008207,[3 9] ; [10 28],[3.12 8.88] ; [ 9.88 28.12],0
n3,1,1.0,0.0,[3 4] ; [ 9 12],[3. 4.] ; [ 9. 12.],0
d5,1,1.0,0.0,[7 6] ; [21 18],[7. 6.] ; [21. 18.],0
b4,1,1.0,0.0,[7 6] ; [21 18],[7. 6.] ; [21. 18.],0
b1,1,1.0,0.0,[8 5] ; [24 15],[8. 5.] ; [24. 15.],0
