Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000543,11.960366,[58 23] ; [ 6 14],[51.32673267 29.67326733] ; [12.67326733  7.32673267],1
p9,1,0.004194,8.197832,[70 10] ; [12  8],[65.6 14.4] ; [16.4  3.6],0
p8,1,0.007112,7.244522,[48 34] ; [ 5 15],[42.60784314 39.39215686] ; [10.39215686  9.60784314],0
p10,1,0.016202,5.780815,[71 11] ; [12  7],[67.38613861 14.61386139] ; [15.61386139  3.38613861],0
d5,1,0.035946,4.399644,[70 12] ; [13  7],[66.7254902 15.2745098] ; [16.2745098  3.7254902],0
u3,1,0.04674,3.954737,[18 12] ; [2 7],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
v4,1,0.055634,3.662973,[78  3] ; [17  3],[76.18811881  4.81188119] ; [18.81188119  1.18811881],0
p11,1,0.075443,3.160434,[68 14] ; [13  7],[65.11764706 16.88235294] ; [15.88235294  4.11764706],0
d1,1,0.085308,2.960761,[54 28] ; [ 9 11],[50.64705882 31.35294118] ; [12.35294118  7.64705882],0
u2,1,0.10819,2.580456,[13 17] ; [1 7],[11.05263158 18.94736842] ; [2.94736842 5.05263158],0
a1,1,0.108412,2.577216,[ 4 78] ; [ 3 17],[ 5.62745098 76.37254902] ; [ 1.37254902 18.62745098],0
n3,1,0.136641,2.215385,[10  3] ; [2 3],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
p3,1,0.161871,1.956659,[43 39] ; [ 7 13],[40.19607843 41.80392157] ; [ 9.80392157 10.19607843],0
d4,1,0.190521,1.713584,[76  5] ; [17  3],[74.58415842  6.41584158] ; [18.41584158  1.58415842],0
p6,1,0.19836,1.654412,[28 52] ; [ 4 16],[25.6 54.4] ; [ 6.4 13.6],0
v2,1,0.219775,1.505842,[38 42] ; [12  7],[40.4040404 39.5959596] ; [9.5959596 9.4040404],0
a2,1,0.269035,1.221659,[17 65] ; [ 2 18],[15.2745098 66.7254902] ; [ 3.7254902 16.2745098],0
b2,1,0.276209,1.185649,[19 26] ; [3 9],[17.36842105 27.63157895] ; [4.63157895 7.36842105],0
b3,1,0.276209,1.185649,[19 26] ; [3 9],[17.36842105 27.63157895] ; [4.63157895 7.36842105],0
s1,1,0.279061,1.171658,[ 1 80] ; [ 1 19],[ 1.6039604 79.3960396] ; [ 0.3960396 19.6039604],0
r3,1,0.285829,1.139164,[75  6] ; [17  3],[73.78217822  7.21782178] ; [18.21782178  1.78217822],0
p12,1,0.285829,1.139164,[ 6 75] ; [ 3 17],[ 7.21782178 73.78217822] ; [ 1.78217822 18.21782178],0
s4,1,0.306494,1.045724,[13 67] ; [ 5 14],[14.54545455 65.45454545] ; [ 3.45454545 15.54545455],0
b4,1,0.365364,0.819372,[54 28] ; [11  9],[52.25490196 29.74509804] ; [12.74509804  7.25490196],0
s6,1,0.372998,0.793651,[56 24] ; [16  4],[57.6 22.4] ; [14.4  5.6],0
v1,1,0.382863,0.76149,[48 31] ; [10 10],[46.28282828 32.71717172] ; [11.71717172  8.28282828],0
a7,1,0.385855,0.751966,[53 28] ; [11  9],[51.32673267 29.67326733] ; [12.67326733  7.32673267],0
r2,1,0.391119,0.73546,[77  4] ; [18  2],[76.18811881  4.81188119] ; [18.81188119  1.18811881],0
a6,1,0.424283,0.638421,[53 29] ; [11  9],[51.45098039 30.54901961] ; [12.54901961  7.45098039],0
a3,1,0.447031,0.578169,[52 29] ; [11  9],[50.52475248 30.47524752] ; [12.47524752  7.52475248],0
n4,1,0.480574,0.497561,[56 26] ; [12  8],[54.66666667 27.33333333] ; [13.33333333  6.66666667],0
p4,1,0.491186,0.473927,[46 36] ; [ 9 10],[44.65346535 37.34653465] ; [10.34653465  8.65346535],0
r4,1,0.497841,0.459536,[74  8] ; [17  3],[73.15686275  8.84313725] ; [17.84313725  2.15686275],0
u1,1,0.507496,0.439226,[13 69] ; [ 2 18],[12.05882353 69.94117647] ; [ 2.94117647 17.05882353],0
r1,1,0.514801,0.424297,[66 15] ; [15  5],[64.96039604 16.03960396] ; [16.03960396  3.96039604],0
d3,1,0.550241,0.356886,[55 27] ; [12  8],[53.8627451 28.1372549] ; [13.1372549  6.8627451],0
s2,1,0.584285,0.299358,[35 46] ; [10 10],[36.08910891 44.91089109] ; [ 8.91089109 11.08910891],0
n1,1,0.622252,0.242716,[5 8] ; [1 3],[4.58823529 8.41176471] ; [1.41176471 2.58823529],0
p1,1,0.63027,0.231695,[ 9 72] ; [ 3 17],[ 9.62376238 71.37623762] ; [ 2.37623762 17.62376238],0
b1,1,0.650405,0.20539,[29 53] ; [ 6 14],[28.1372549 53.8627451] ; [ 6.8627451 13.1372549],0
b5,1,0.688379,0.160846,[41 41] ; [11  9],[41.80392157 40.19607843] ; [10.19607843  9.80392157],0
n5,1,0.696589,0.152045,[57 25] ; [13  7],[56.2745098 25.7254902] ; [13.7254902  6.2745098],0
a4,1,0.768828,0.086382,[38 44] ; [10 10],[38.58823529 43.41176471] ; [ 9.41176471 10.58823529],0
s3,1,0.800139,0.064094,[37 42] ; [10 10],[37.50505051 41.49494949] ; [ 9.49494949 10.50505051],0
p5,1,0.823488,0.049756,[14 68] ; [ 3 17],[13.66666667 68.33333333] ; [ 3.33333333 16.66666667],0
n6,1,0.853438,0.034127,[71 11] ; [17  3],[70.74509804 11.25490196] ; [17.25490196  2.74509804],0
a5,1,0.862714,0.029902,[63 19] ; [15  5],[62.70588235 19.29411765] ; [15.29411765  4.70588235],0
n2,1,0.888153,0.01978,[10  3] ; [4 1],[10.11111111  2.88888889] ; [3.88888889 1.11111111],0
v3,1,0.951656,0.003676,[25 56] ; [ 6 13],[25.11 55.89] ; [ 5.89 13.11],0
s8,1,0.954672,0.003231,[20 62] ; [ 5 15],[20.09803922 61.90196078] ; [ 4.90196078 15.09803922],0
a8,1,0.958783,0.002671,[ 8 71] ; [ 2 17],[ 8.06122449 70.93877551] ; [ 1.93877551 17.06122449],0
d2,1,1.0,0.0,[40 40] ; [10 10],[40. 40.] ; [10. 10.],0
