Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,68.949754,[ 8 56] ; [97 31],[35. 29.] ; [70. 58.],1
d5,1,0.0,49.2705,[39 25] ; [125   2],[54.95287958  9.04712042] ; [109.04712042  17.95287958],1
d4,1,0.0,47.856666,[41 23] ; [126   1],[55.95811518  8.04188482] ; [111.04188482  15.95811518],1
d3,1,0.0,42.611886,[30 34] ; [115  13],[48.33333333 15.66666667] ; [96.66666667 31.33333333],1
a4,1,4e-06,21.09375,[17 47] ; [79 49],[32. 32.] ; [64. 64.],1
a2,1,1.1e-05,19.325312,[ 5 59] ; [49 80],[17.90673575 46.09326425] ; [36.09326425 92.90673575],1
u1,1,3.7e-05,17.032583,[ 4 60] ; [43 86],[15.58549223 48.41450777] ; [31.41450777 97.58549223],1
a7,1,0.003918,8.321426,[35 29] ; [97 32],[43.77202073 20.22797927] ; [88.22797927 40.77202073],0
a5,1,0.004443,8.093358,[44 20] ; [111  18],[51.39896373 12.60103627] ; [103.60103627  25.39896373],0
a3,1,0.01963,5.444495,[48 16] ; [112  15],[53.61256545 10.38743455] ; [106.38743455  20.61256545],0
n1,1,0.036767,4.361185,[10  7] ; [ 5 15],[ 6.89189189 10.10810811] ; [ 8.10810811 11.89189189],0
n4,1,0.047503,3.927487,[53 11] ; [119  10],[57.03626943  6.96373057] ; [114.96373057  14.03626943],0
p12,1,0.048691,3.885988,[ 4 60] ; [ 21 107],[ 8.33333333 55.66666667] ; [ 16.66666667 111.33333333],0
a1,1,0.049736,3.85035,[ 2 62] ; [ 15 114],[ 5.6373057 58.3626943] ; [ 11.3626943 117.6373057],0
r2,1,0.073834,3.195652,[59  5] ; [125   3],[61.33333333  2.66666667] ; [122.66666667   5.33333333],0
b3,1,0.077412,3.118414,[25 19] ; [37 54],[20.20740741 23.79259259] ; [41.79259259 49.20740741],0
b2,1,0.077412,3.118414,[25 19] ; [37 54],[20.20740741 23.79259259] ; [41.79259259 49.20740741],0
p9,1,0.090761,2.860819,[53 10] ; [117  10],[56.36842105  6.63157895] ; [113.63157895  13.36842105],0
v1,1,0.093686,2.809873,[41 22] ; [98 30],[45.84816754 17.15183246] ; [93.15183246 34.84816754],0
p4,1,0.12491,2.354649,[39 25] ; [92 36],[43.66666667 20.33333333] ; [87.33333333 40.66666667],0
s8,1,0.138103,2.198971,[44 20] ; [99 27],[48.16842105 15.83157895] ; [94.83157895 31.16842105],0
n3,1,0.13821,2.197779,[14  3] ; [12  8],[11.94594595  5.05405405] ; [14.05405405  5.94594595],0
v2,1,0.14249,2.150866,[46 17] ; [106  23],[49.875 13.125] ; [102.125  26.875],0
r3,1,0.169789,1.884806,[60  4] ; [126   3],[61.67875648  2.32124352] ; [124.32124352   4.67875648],0
r4,1,0.200733,1.637031,[58  6] ; [123   6],[60.02072539  3.97927461] ; [120.97927461   8.02072539],0
a6,1,0.204674,1.608706,[39 25] ; [89 38],[42.89005236 21.10994764] ; [85.10994764 41.89005236],0
r1,1,0.247391,1.337979,[52 12] ; [112  16],[54.66666667  9.33333333] ; [109.33333333  18.66666667],0
p11,1,0.25734,1.283008,[51 13] ; [111  18],[53.72020725 10.27979275] ; [108.27979275  20.72020725],0
u4,1,0.279915,1.1675,[ 1 63] ; [  6 123],[ 2.32124352 61.67875648] ; [  4.67875648 124.32124352],0
n6,1,0.324337,0.971377,[58  6] ; [119   7],[59.62105263  4.37894737] ; [117.37894737   8.62105263],0
s4,1,0.342463,0.90119,[ 8 56] ; [ 23 106],[10.27979275 53.72020725] ; [ 20.72020725 108.27979275],0
p8,1,0.354241,0.858207,[36 28] ; [79 46],[38.94179894 25.05820106] ; [76.05820106 48.94179894],0
s1,1,0.36771,0.811389,[ 3 60] ; [  3 125],[ 1.97905759 61.02094241] ; [  4.02094241 123.97905759],0
v4,1,0.378923,0.774194,[61  3] ; [125   3],[62.  2.] ; [124.   4.],0
p5,1,0.39306,0.729456,[11 53] ; [ 29 100],[13.2642487 50.7357513] ; [ 26.7357513 102.2642487],0
p10,1,0.423092,0.641711,[55  9] ; [115  13],[56.66666667  7.33333333] ; [113.33333333  14.66666667],0
s2,1,0.424246,0.638523,[44 20] ; [95 33],[46.33333333 17.66666667] ; [92.66666667 35.33333333],0
s6,1,0.441609,0.592098,[51 11] ; [109  17],[52.76595745  9.23404255] ; [107.23404255  18.76595745],0
s5,1,0.503477,0.447599,[29 34] ; [64 61],[31.16489362 31.83510638] ; [61.83510638 63.16489362],0
b4,1,0.507351,0.439526,[35 29] ; [77 52],[37.13989637 26.86010363] ; [74.86010363 54.13989637],0
b5,1,0.508281,0.437605,[34 30] ; [75 54],[36.14507772 27.85492228] ; [72.85492228 56.14507772],0
s3,1,0.586549,0.295766,[44 19] ; [92 33],[45.57446809 17.42553191] ; [90.42553191 34.57446809],0
p3,1,0.596027,0.28103,[39 25] ; [83 45],[40.66666667 23.33333333] ; [81.33333333 46.66666667],0
n5,1,0.76168,0.091976,[55  9] ; [112  16],[55.66666667  8.33333333] ; [111.33333333  16.66666667],0
p1,1,0.765489,0.088971,[ 8 56] ; [ 18 110],[ 8.66666667 55.33333333] ; [ 17.33333333 110.66666667],0
n2,1,0.794944,0.067546,[13  4] ; [16  4],[13.32432432  3.67567568] ; [15.67567568  4.32432432],0
u3,1,0.805453,0.060662,[11  5] ; [11  6],[10.66666667  5.33333333] ; [11.33333333  5.66666667],0
u2,1,0.828975,0.046663,[10  6] ; [10  7],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
p7,1,0.82903,0.046633,[48 16] ; [94 29],[48.59893048 15.40106952] ; [93.40106952 29.59893048],0
p2,1,0.869683,0.026916,[54 10] ; [110  19],[54.38341969  9.61658031] ; [109.61658031  19.38341969],0
b1,1,0.884237,0.021199,[26 38] ; [51 78],[25.53367876 38.46632124] ; [51.46632124 77.53367876],0
