Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,54.559473,[ 34 113] ; [146  90],[69.08616188 77.91383812] ; [110.91383812 125.08616188],1
v1,1,0.0,37.400929,[61 85] ; [172  63],[89.28608924 56.71391076] ; [143.71391076  91.28608924],1
a3,1,0.005555,7.68922,[101  48] ; [191  47],[112.42377261  36.57622739] ; [179.57622739  58.42377261],0
s4,1,0.007156,7.233312,[ 36 112] ; [ 32 204],[ 26.20833333 121.79166667] ; [ 41.79166667 194.20833333],0
a5,1,0.007235,7.21357,[107  43] ; [198  41],[117.6092545  32.3907455] ; [187.3907455  51.6092545],0
p10,1,0.012934,6.178121,[124  25] ; [217  20],[131.62953368  17.37046632] ; [209.37046632  27.62953368],0
n2,1,0.014083,6.027764,[17 11] ; [29  4],[21.1147541  6.8852459] ; [24.8852459  8.1147541],0
r2,1,0.022789,5.184486,[137  11] ; [231   6],[141.46493506   6.53506494] ; [226.53506494  10.46493506],0
p7,1,0.031881,4.604884,[106  43] ; [191  46],[114.64507772  34.35492228] ; [182.35492228  54.64507772],0
a2,1,0.032155,4.590226,[ 31 119] ; [ 73 166],[ 40.10282776 109.89717224] ; [ 63.89717224 175.10282776],0
r1,1,0.032889,4.551539,[113  37] ; [201  38],[121.07969152  28.92030848] ; [192.92030848  46.07969152],0
p9,1,0.040917,4.179443,[129  20] ; [221  17],[134.75452196  14.24547804] ; [215.24547804  22.75452196],0
p11,1,0.043547,4.074032,[119  31] ; [208  31],[126.09254499  23.90745501] ; [200.90745501  38.09254499],0
d2,1,0.050881,3.812202,[69 80] ; [135 104],[78.34020619 70.65979381] ; [125.65979381 113.34020619],0
a8,1,0.053526,3.727414,[ 12 125] ; [ 34 180],[ 17.95441595 119.04558405] ; [ 28.04558405 185.95441595],0
p12,1,0.065277,3.397974,[ 12 137] ; [ 34 204],[ 17.71059432 131.28940568] ; [ 28.28940568 209.71059432],0
s8,1,0.06559,3.390075,[69 80] ; [132 104],[77.78961039 71.21038961] ; [123.21038961 112.78961039],0
d4,1,0.070859,3.263012,[118  31] ; [206  33],[124.42268041  24.57731959] ; [199.57731959  39.42268041],0
a7,1,0.082189,3.021074,[102  48] ; [181  57],[109.40721649  40.59278351] ; [173.59278351  64.40721649],0
b4,1,0.08545,2.958073,[79 71] ; [147  92],[87.14652956 62.85347044] ; [138.85347044 100.14652956],0
d1,1,0.098264,2.73349,[88 62] ; [160  79],[95.62982005 54.37017995] ; [152.37017995  86.62982005],0
n5,1,0.102658,2.663765,[122  27] ; [210  29],[127.49484536  21.50515464] ; [204.50515464  34.49484536],0
n4,1,0.129833,2.294503,[125  25] ; [212  27],[129.94858612  20.05141388] ; [207.05141388  31.94858612],0
s5,1,0.130697,2.284211,[53 91] ; [102 126],[60. 84.] ; [ 95. 133.],0
u1,1,0.179511,1.801671,[ 30 120] ; [ 62 177],[ 35.47557841 114.52442159] ; [ 56.52442159 182.47557841],0
r4,1,0.180247,1.79559,[135  15] ; [224  15],[138.43187661  11.56812339] ; [220.56812339  18.43187661],0
n3,1,0.202155,1.626734,[20  8] ; [28  5],[22.03278689  5.96721311] ; [25.96721311  7.03278689],0
u4,1,0.221839,1.492436,[  2 148] ; [  8 231],[  3.85604113 146.14395887] ; [  6.14395887 232.85604113],0
r3,1,0.228554,1.449839,[141   8] ; [231   7],[143.2248062   5.7751938] ; [228.7751938   9.2248062],0
b1,1,0.242417,1.366483,[68 82] ; [ 94 145],[62.46786632 87.53213368] ; [ 99.53213368 139.46786632],0
