Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,23.643929,[ 2 27] ; [39 25],[12.78494624 16.21505376] ; [28.21505376 35.78494624],1
a6,1,9.5e-05,15.236181,[10 19] ; [49 15],[18.39784946 10.60215054] ; [40.60215054 23.39784946],1
v2,1,0.000269,13.27257,[ 4 23] ; [33 25],[11.75294118 15.24705882] ; [25.24705882 32.75294118],1
a7,1,0.000938,10.945901,[12 17] ; [49 15],[19.02150538  9.97849462] ; [41.97849462 22.02150538],1
v4,1,0.002163,9.405898,[18 10] ; [58  6],[23.13043478  4.86956522] ; [52.86956522 11.13043478],0
r2,1,0.002271,9.316369,[18 11] ; [57  7],[23.38709677  5.61290323] ; [51.61290323 12.38709677],0
d3,1,0.003731,8.410503,[11 18] ; [44 19],[17.33695652 11.66304348] ; [37.66304348 25.33695652],0
d4,1,0.004838,7.939054,[16 12] ; [54 10],[21.30434783  6.69565217] ; [48.69565217 15.30434783],0
r4,1,0.006867,7.307381,[14 15] ; [49 15],[19.64516129  9.35483871] ; [43.35483871 20.64516129],0
a5,1,0.011333,6.412403,[ 9 20] ; [38 26],[14.65591398 14.34408602] ; [32.34408602 31.65591398],0
r3,1,0.019161,5.486792,[20  9] ; [56  7],[23.95652174  5.04347826] ; [52.04347826 10.95652174],0
s7,1,0.023199,5.153535,[ 3 23] ; [21 38],[ 7.34117647 18.65882353] ; [16.65882353 42.34117647],0
s6,1,0.028703,4.785325,[ 9 20] ; [35 28],[13.86956522 15.13043478] ; [30.13043478 32.86956522],0
r1,1,0.03146,4.627688,[14 15] ; [45 18],[18.59782609 10.40217391] ; [40.40217391 22.59782609],0
p7,1,0.037077,4.346865,[17  9] ; [25 36],[12.55172414 13.44827586] ; [29.44827586 31.55172414],0
a2,1,0.067119,3.352116,[ 1 28] ; [11 53],[ 3.74193548 25.25806452] ; [ 8.25806452 55.74193548],0
s8,1,0.068647,3.315069,[ 5 24] ; [23 41],[ 8.7311828 20.2688172] ; [19.2688172 44.7311828],0
v3,1,0.072238,3.231423,[ 3 26] ; [16 43],[ 6.26136364 22.73863636] ; [12.73863636 46.26136364],0
s5,1,0.084407,2.977936,[ 3 26] ; [16 45],[ 6.12222222 22.87777778] ; [12.87777778 48.12222222],0
u3,1,0.123197,2.3762,[7 7] ; [20  7],[9.2195122 4.7804878] ; [17.7804878  9.2195122],0
s1,1,0.129033,2.304094,[ 4 25] ; [ 3 60],[ 2.20652174 26.79347826] ; [ 4.79347826 58.20652174],0
s3,1,0.174389,1.844801,[18 11] ; [30 34],[14.96774194 14.03225806] ; [33.03225806 30.96774194],0
a8,1,0.174578,1.843188,[ 2 25] ; [ 1 59],[ 0.93103448 26.06896552] ; [ 2.06896552 57.93103448],0
d2,1,0.205415,1.603448,[ 7 22] ; [24 40],[ 9.66666667 19.33333333] ; [21.33333333 42.66666667],0
p4,1,0.270184,1.215813,[ 9 19] ; [28 35],[11.38461538 16.61538462] ; [25.61538462 37.38461538],0
n3,1,0.292584,1.107692,[10  2] ; [16  8],[8.66666667 3.33333333] ; [17.33333333  6.66666667],0
p11,1,0.29395,1.101444,[17 12] ; [30 34],[14.65591398 14.34408602] ; [32.34408602 31.65591398],0
n5,1,0.314869,1.010141,[ 9 19] ; [14 49],[ 7.07692308 20.92307692] ; [15.92307692 47.07692308],0
u1,1,0.315587,1.007149,[ 1 28] ; [ 6 58],[ 2.1827957 26.8172043] ; [ 4.8172043 59.1827957],0
s2,1,0.326871,0.961255,[10 19] ; [29 35],[12.16129032 16.83870968] ; [26.83870968 37.16129032],0
p3,1,0.348564,0.878677,[ 7 22] ; [21 41],[ 8.92307692 20.07692308] ; [19.07692308 42.92307692],0
