Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000911,11.0,[2 7] ; [20  4],[6. 3.] ; [16.  8.],1
p10,1,0.005378,7.747826,[3 6] ; [20  4],[6.27272727 2.72727273] ; [16.72727273  7.27272727],0
p11,1,0.016605,5.737654,[5 4] ; [22  2],[7.36363636 1.63636364] ; [19.63636364  4.36363636],0
s8,1,0.025827,4.967575,[1 8] ; [13 11],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
p4,1,0.026691,4.910714,[3 6] ; [18  6],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
r3,1,0.045593,3.996566,[5 4] ; [21  3],[7.09090909 1.90909091] ; [18.90909091  5.09090909],0
p7,1,0.049589,3.855288,[3 6] ; [17  7],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
a5,1,0.133975,2.245833,[3 6] ; [15  9],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
s5,1,0.141815,2.158152,[1 8] ; [ 9 15],[2.72727273 6.27272727] ; [ 7.27272727 16.72727273],0
d5,1,0.160475,1.969742,[4 5] ; [17  7],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
p6,1,0.201754,1.62963,[1 8] ; [ 8 16],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
s7,1,0.228041,1.453039,[2 7] ; [10 12],[3.48387097 5.51612903] ; [ 8.51612903 13.48387097],0
n4,1,0.279044,1.171739,[5 4] ; [18  6],[6.27272727 2.72727273] ; [16.72727273  7.27272727],0
p3,1,0.301071,1.069444,[2 7] ; [10 14],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
a6,1,0.349963,0.87359,[4 5] ; [15  9],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
p8,1,0.391805,0.733333,[3 6] ; [12 12],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
b1,1,0.391805,0.733333,[6 3] ; [12 12],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
b4,1,0.391805,0.733333,[6 3] ; [12 12],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
n6,1,0.407016,0.6875,[7 2] ; [15  9],[6. 3.] ; [16.  8.],0
v4,1,0.407016,0.6875,[5 4] ; [17  7],[6. 3.] ; [16.  8.],0
d1,1,0.407016,0.6875,[2 7] ; [ 9 15],[3. 6.] ; [ 8. 16.],0
a8,1,0.428363,0.627258,[2 6] ; [ 3 20],[1.29032258 6.70967742] ; [ 3.70967742 19.29032258],0
d4,1,0.455522,0.556875,[6 3] ; [19  5],[6.81818182 2.18181818] ; [18.18181818  5.81818182],0
s1,1,0.456511,0.554435,[1 8] ; [ 1 23],[0.54545455 8.45454545] ; [ 1.45454545 22.54545455],0
p1,1,0.456511,0.554435,[1 8] ; [ 1 23],[0.54545455 8.45454545] ; [ 1.45454545 22.54545455],0
s3,1,0.47546,0.509259,[5 4] ; [10 14],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
d3,1,0.554563,0.349206,[5 4] ; [16  8],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
a3,1,0.618698,0.247702,[5 4] ; [11 13],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
a7,1,0.618698,0.247702,[4 5] ; [13 11],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
s2,1,0.618698,0.247702,[5 4] ; [11 13],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
u2,1,0.659118,0.194597,[3 1] ; [11  2],[3.29411765 0.70588235] ; [10.70588235  2.29411765],0
v1,1,0.662597,0.190385,[3 6] ; [10 14],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
u3,1,0.681777,0.168132,[2 2] ; [8 5],[2.35294118 1.64705882] ; [7.64705882 5.35294118],0
a4,1,0.71249,0.135802,[2 7] ; [ 4 20],[1.63636364 7.36363636] ; [ 4.36363636 19.63636364],0
r4,1,0.71615,0.132212,[4 5] ; [ 9 15],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
v2,1,0.776105,0.080882,[4 5] ; [12 12],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
a1,1,0.804748,0.061111,[1 8] ; [ 2 22],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
r1,1,0.824624,0.049107,[3 6] ; [ 9 15],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
d2,1,0.824624,0.049107,[3 6] ; [ 9 15],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
n5,1,0.824624,0.049107,[6 3] ; [15  9],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
v3,1,0.824624,0.049107,[3 6] ; [ 9 15],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
p5,1,0.86829,0.0275,[2 7] ; [ 6 18],[2.18181818 6.81818182] ; [ 5.81818182 18.18181818],0
s4,1,0.86829,0.0275,[2 7] ; [ 6 18],[2.18181818 6.81818182] ; [ 5.81818182 18.18181818],0
b2,1,0.904552,0.014379,[1 4] ; [ 3 14],[0.90909091 4.09090909] ; [ 3.09090909 13.90909091],0
b3,1,0.904552,0.014379,[1 4] ; [ 3 14],[0.90909091 4.09090909] ; [ 3.09090909 13.90909091],0
