Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,60.331814,[161  69] ; [25 78],[128.46846847 101.53153153] ; [57.53153153 45.46846847],1
p2,1,0.0,32.58266,[214  18] ; [70 33],[196.68059701  35.31940299] ; [87.31940299 15.68059701],1
p6,1,1e-06,23.848854,[129 101] ; [28 75],[108.43843844 121.56156156] ; [48.56156156 54.43843844],1
p11,1,9e-06,19.738473,[200  32] ; [67 36],[184.90746269  47.09253731] ; [82.09253731 20.90746269],1
p10,1,2.8e-05,17.532203,[212  17] ; [76 24],[200.46200608  28.53799392] ; [87.53799392 12.46200608],1
p3,1,0.000184,13.985904,[154  78] ; [46 57],[138.50746269  93.49253731] ; [61.49253731 41.50746269],1
p4,1,0.000244,13.456523,[173  59] ; [56 47],[158.59104478  73.40895522] ; [70.40895522 32.59104478],1
r3,1,0.001938,9.607534,[230   2] ; [96  7],[225.76716418   6.23283582] ; [100.23283582   2.76716418],0
v1,1,0.002945,8.84114,[153  75] ; [47 48],[141.17647059  86.82352941] ; [58.82352941 36.17647059],0
u3,1,0.004549,8.050581,[25 15] ; [21  1],[29.67741935 10.32258065] ; [16.32258065  5.67741935],0
s5,1,0.009062,6.810591,[113 111] ; [32 61],[102.46056782 121.53943218] ; [42.53943218 50.46056782],0
d2,1,0.011625,6.367191,[133  99] ; [74 29],[143.35522388  88.64477612] ; [63.64477612 39.35522388],0
a8,1,0.011986,6.312932,[ 45 169] ; [ 8 81],[ 37.43234323 176.56765677] ; [15.56765677 73.43234323],0
b5,1,0.016669,5.730884,[130 102] ; [72 31],[139.89253731  92.10746269] ; [62.10746269 40.89253731],0
n4,1,0.017377,5.657846,[202  28] ; [80 23],[194.77477477  35.22522523] ; [87.22522523 15.77477477],0
p5,1,0.017538,5.641756,[ 42 189] ; [ 8 92],[ 34.89425982 196.10574018] ; [15.10574018 84.89425982],0
p9,1,0.020615,5.359086,[215  16] ; [85 15],[209.36555891  21.63444109] ; [90.63444109  9.36555891],0
d3,1,0.050286,3.831898,[177  55] ; [68 35],[169.67164179  62.32835821] ; [75.32835821 27.67164179],0
a5,1,0.055373,3.670816,[196  36] ; [78 25],[189.75522388  42.24477612] ; [84.24477612 18.75522388],0
n2,1,0.097222,2.750541,[35  8] ; [22 12],[31.83116883 11.16883117] ; [25.16883117  8.83116883],0
v2,1,0.141713,2.159257,[148  80] ; [54 42],[142.14814815  85.85185185] ; [59.85185185 36.14814815],0
r4,1,0.154273,2.029485,[221  11] ; [94  9],[218.14925373  13.85074627] ; [96.85074627  6.14925373],0
b2,1,0.166285,1.916121,[72 87] ; [26 47],[67.1637931 91.8362069] ; [30.8362069 42.1637931],0
b3,1,0.166285,1.916121,[72 87] ; [26 47],[67.1637931 91.8362069] ; [30.8362069 42.1637931],0
n5,1,0.190871,1.710883,[190  40] ; [78 24],[185.6626506  44.3373494] ; [82.3373494 19.6626506],0
u2,1,0.206045,1.599002,[24 16] ; [16  5],[26.2295082 13.7704918] ; [13.7704918  7.2295082],0
a1,1,0.230135,1.440026,[ 17 215] ; [ 4 99],[ 14.54328358 217.45671642] ; [ 6.45671642 96.54328358],0
v3,1,0.239703,1.382337,[116 110] ; [41 52],[111.22884013 114.77115987] ; [45.77115987 47.22884013],0
r1,1,0.244637,1.353675,[200  29] ; [85 18],[196.5813253  32.4186747] ; [88.4186747 14.5813253],0
a3,1,0.328171,0.956101,[192  39] ; [81 22],[188.81137725  42.18862275] ; [84.18862275 18.81137725],0
n1,1,0.340461,0.908695,[17 25] ; [17 16],[19.04 22.96] ; [14.96 18.04],0
a7,1,0.345304,0.89064,[161  70] ; [77 26],[164.60479042  66.39520958] ; [73.39520958 29.60479042],0
u1,1,0.386054,0.751334,[ 55 177] ; [29 74],[ 58.17313433 173.82686567] ; [25.82686567 77.17313433],0
n6,1,0.410949,0.676052,[203  26] ; [88 15],[200.71987952  28.28012048] ; [90.28012048 12.71987952],0
a4,1,0.493701,0.468449,[119 113] ; [57 46],[121.88656716 110.11343284] ; [54.11343284 48.88656716],0
s4,1,0.508668,0.436807,[ 48 183] ; [18 84],[ 45.78378378 185.21621622] ; [20.21621622 81.78378378],0
s2,1,0.50889,0.436349,[165  65] ; [76 25],[167.46223565  62.53776435] ; [73.53776435 27.46223565],0
n3,1,0.513658,0.426607,[32 11] ; [23 11],[30.71428571 12.28571429] ; [24.28571429  9.71428571],0
a6,1,0.524011,0.405992,[151  80] ; [71 32],[153.53892216  77.46107784] ; [68.46107784 34.53892216],0
p1,1,0.559437,0.340681,[ 18 213] ; [10 93],[ 19.36526946 211.63473054] ; [ 8.63473054 94.36526946],0
a2,1,0.569978,0.32272,[ 65 167] ; [32 71],[ 67.1761194 164.8238806] ; [29.8238806 73.1761194],0
s3,1,0.643397,0.214327,[166  62] ; [76 25],[167.70820669  60.29179331] ; [74.29179331 26.70820669],0
b4,1,0.676319,0.174299,[134  98] ; [62 41],[135.73731343  96.26268657] ; [60.26268657 42.73731343],0
v4,1,0.686578,0.162815,[224   7] ; [99  4],[223.39221557   7.60778443] ; [99.60778443  3.39221557],0
r2,1,0.690509,0.158535,[221   7] ; [98  4],[220.4   7.6] ; [98.6  3.4],0
s7,1,0.70974,0.138536,[171  52] ; [71 24],[169.70440252  53.29559748] ; [72.29559748 22.70440252],0
b1,1,0.715941,0.132415,[ 95 137] ; [40 63],[ 93.49253731 138.50746269] ; [41.50746269 61.49253731],0
p12,1,0.719182,0.129278,[ 24 206] ; [12 90],[ 24.93975904 205.06024096] ; [11.06024096 90.93975904],0
d1,1,0.868317,0.027488,[176  56] ; [79 24],[176.59701493  55.40298507] ; [78.40298507 24.59701493],0
s6,1,0.883927,0.021314,[195  32] ; [87 15],[194.57142857  32.42857143] ; [87.42857143 14.57142857],0
d4,1,0.948228,0.004216,[210  22] ; [93 10],[209.83880597  22.16119403] ; [93.16119403  9.83880597],0
s1,1,0.991117,0.000124,[  9 219] ; [ 4 98],[  8.98181818 219.01818182] ; [ 4.01818182 97.98181818],0
u4,1,0.99854,3e-06,[  9 223] ; [ 4 99],[  9.00298507 222.99701493] ; [ 3.99701493 99.00298507],0
