Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,36.884658,[18 31] ; [65  8],[33.33606557 15.66393443] ; [49.66393443 23.33606557],1
r2,1,4.1e-05,16.802329,[30 19] ; [67  6],[38.95901639 10.04098361] ; [58.04098361 14.95901639],1
r3,1,0.00029,13.131318,[29 20] ; [64  9],[37.35245902 11.64754098] ; [55.64754098 17.35245902],1
a5,1,0.005929,7.571708,[12 37] ; [36 37],[19.27868852 29.72131148] ; [28.72131148 44.27868852],0
s8,1,0.01003,6.629491,[ 3 46] ; [17 54],[ 8.16666667 40.83333333] ; [11.83333333 59.16666667],0
v1,1,0.013914,6.049031,[10 38] ; [31 42],[16.26446281 31.73553719] ; [24.73553719 48.26446281],0
a7,1,0.019836,5.426265,[19 30] ; [44 29],[25.30327869 23.69672131] ; [37.69672131 35.30327869],0
p11,1,0.029146,4.758943,[17 32] ; [40 33],[22.89344262 26.10655738] ; [34.10655738 38.89344262],0
u3,1,0.032016,4.59762,[ 8 23] ; [19 18],[12.30882353 18.69117647] ; [14.69117647 22.30882353],0
v4,1,0.039851,4.224214,[34 15] ; [62 11],[38.55737705 10.44262295] ; [57.44262295 15.55737705],0
d5,1,0.04182,4.142462,[17 32] ; [39 34],[22.49180328 26.50819672] ; [33.50819672 39.49180328],0
d2,1,0.06449,3.417979,[15 34] ; [12 61],[10.8442623 38.1557377] ; [16.1557377 56.8442623],0
a8,1,0.074248,3.186527,[ 4 43] ; [14 53],[ 7.42105263 39.57894737] ; [10.57894737 56.42105263],0
a1,1,0.091949,2.839919,[ 6 43] ; [ 3 70],[ 3.6147541 45.3852459] ; [ 5.3852459 67.6147541],0
s1,1,0.098708,2.7263,[ 1 48] ; [ 7 66],[ 3.21311475 45.78688525] ; [ 4.78688525 68.21311475],0
s3,1,0.099747,2.709586,[17 31] ; [36 35],[21.37815126 26.62184874] ; [31.62184874 39.37815126],0
d4,1,0.111764,2.529105,[21 28] ; [42 31],[25.30327869 23.69672131] ; [37.69672131 35.30327869],0
s2,1,0.120489,2.410951,[10 39] ; [24 48],[13.76859504 35.23140496] ; [20.23140496 51.76859504],0
s6,1,0.129888,2.293837,[16 33] ; [33 38],[20.00833333 28.99166667] ; [28.99166667 42.00833333],0
a3,1,0.155804,2.014491,[18 30] ; [36 35],[21.78151261 26.21848739] ; [32.21848739 38.78151261],0
n4,1,0.15948,1.979154,[26 23] ; [48 25],[29.72131148 19.27868852] ; [44.27868852 28.72131148],0
v2,1,0.160309,1.971307,[12 37] ; [26 45],[15.51666667 33.48333333] ; [22.48333333 48.51666667],0
v3,1,0.182075,1.780603,[10 39] ; [22 48],[13.17647059 35.82352941] ; [18.82352941 51.17647059],0
b4,1,0.187963,1.733512,[25 24] ; [46 27],[28.51639344 20.48360656] ; [42.48360656 30.51639344],0
