Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.1e-05,18.101852,[5 9] ; [73 12],[11.03030303  2.96969697] ; [66.96969697 18.03030303],1
p7,1,0.000627,11.693233,[5 7] ; [71 13],[9.5 2.5] ; [66.5 17.5],1
r3,1,0.000707,11.471888,[10  4] ; [82  3],[13.01010101  0.98989899] ; [78.98989899  6.01010101],1
r4,1,0.000707,11.471888,[10  4] ; [82  3],[13.01010101  0.98989899] ; [78.98989899  6.01010101],1
p2,1,0.001571,9.993592,[9 5] ; [79  6],[12.44444444  1.55555556] ; [75.55555556  9.44444444],0
p6,1,0.002734,8.976921,[ 3 10] ; [56 28],[7.90721649 5.09278351] ; [51.09278351 32.90721649],0
s2,1,0.017799,5.615859,[ 4 10] ; [53 32],[8.06060606 5.93939394] ; [48.93939394 36.06060606],0
v2,1,0.018743,5.52532,[ 4 10] ; [51 31],[8.02083333 5.97916667] ; [46.97916667 35.02083333],0
n5,1,0.024866,5.033193,[10  4] ; [78  7],[12.44444444  1.55555556] ; [75.55555556  9.44444444],0
b5,1,0.035169,4.436975,[10  4] ; [35 50],[6.36363636 7.63636364] ; [38.63636364 46.36363636],0
s1,1,0.047968,3.911113,[ 3 11] ; [ 5 80],[ 1.13131313 12.86868687] ; [ 6.86868687 78.13131313],0
u3,1,0.050694,3.818346,[1 4] ; [13  6],[2.91666667 2.08333333] ; [11.08333333  7.91666667],0
s3,1,0.057516,3.607593,[5 8] ; [56 29],[8.09183673 4.90816327] ; [52.90816327 32.09183673],0
p8,1,0.061779,3.488957,[8 5] ; [71 14],[10.47959184  2.52040816] ; [68.52040816 16.47959184],0
p1,1,0.067977,3.331197,[ 1 13] ; [26 59],[ 3.81818182 10.18181818] ; [23.18181818 61.81818182],0
s8,1,0.0705,3.271334,[5 8] ; [55 30],[7.95918367 5.04081633] ; [52.04081633 32.95918367],0
v3,1,0.077397,3.118737,[5 9] ; [50 32],[8.02083333 5.97916667] ; [46.97916667 35.02083333],0
a5,1,0.092339,2.833113,[13  1] ; [61 24],[10.46464646  3.53535354] ; [63.53535354 21.46464646],0
p12,1,0.09855,2.728855,[ 1 12] ; [25 60],[3.44897959 9.55102041] ; [22.55102041 62.44897959],0
b4,1,0.10134,2.68433,[11  3] ; [47 38],[8.2020202 5.7979798] ; [49.7979798 35.2020202],0
d1,1,0.119324,2.426172,[6 8] ; [55 30],[8.62626263 5.37373737] ; [52.37373737 32.62626263],0
s6,1,0.162349,1.95221,[9 4] ; [68 12],[10.76344086  2.23655914] ; [66.23655914 13.76344086],0
u2,1,0.242809,1.364211,[2 3] ; [13  6],[3.125 1.875] ; [11.875  7.125],0
n6,1,0.255713,1.291821,[12  2] ; [80  5],[13.01010101  0.98989899] ; [78.98989899  6.01010101],0
d4,1,0.276707,1.183193,[10  4] ; [71 14],[11.45454545  2.54545455] ; [69.54545455 15.45454545],0
a3,1,0.27972,1.16845,[9 5] ; [66 19],[10.60606061  3.39393939] ; [64.39393939 20.60606061],0
d2,1,0.302148,1.06469,[5 9] ; [43 42],[6.78787879 7.21212121] ; [41.21212121 43.78787879],0
r1,1,0.336171,0.924978,[10  4] ; [70 15],[11.31313131  2.68686869] ; [68.68686869 16.31313131],0
s7,1,0.362863,0.827959,[8 5] ; [59 21],[9.3655914 3.6344086] ; [57.6344086 22.3655914],0
d3,1,0.363106,0.827121,[8 6] ; [59 26],[9.47474747 4.52525253] ; [57.52525253 27.47474747],0
s5,1,0.370103,0.803319,[7 6] ; [52 26],[8.42857143 4.57142857] ; [50.57142857 27.42857143],0
b3,1,0.397474,0.715954,[3 6] ; [30 32],[4.18309859 4.81690141] ; [28.81690141 33.18309859],0
b2,1,0.397474,0.715954,[3 6] ; [30 32],[4.18309859 4.81690141] ; [28.81690141 33.18309859],0
p10,1,0.40582,0.691012,[11  2] ; [78  7],[11.80612245  1.19387755] ; [77.19387755  7.80612245],0
n1,1,0.422489,0.643382,[3 1] ; [9 8],[2.28571429 1.71428571] ; [9.71428571 7.28571429],0
n3,1,0.422489,0.643382,[3 1] ; [9 8],[2.28571429 1.71428571] ; [9.71428571 7.28571429],0
a6,1,0.462525,0.539777,[10  4] ; [52 33],[8.76767677 5.23232323] ; [53.23232323 31.76767677],0
d5,1,0.467274,0.528414,[10  4] ; [68 17],[11.03030303  2.96969697] ; [66.96969697 18.03030303],0
v1,1,0.48581,0.485793,[8 5] ; [59 24],[9.07291667 3.92708333] ; [57.92708333 25.07291667],0
a8,1,0.527107,0.399965,[ 1 11] ; [12 67],[ 1.71428571 10.28571429] ; [11.28571429 67.71428571],0
p9,1,0.648575,0.207701,[12  1] ; [81  4],[12.33673469  0.66326531] ; [80.66326531  4.33673469],0
a2,1,0.683343,0.166387,[ 2 12] ; [16 69],[ 2.54545455 11.45454545] ; [15.45454545 69.54545455],0
n4,1,0.788851,0.071718,[12  2] ; [75 10],[12.3030303  1.6969697] ; [74.6969697 10.3030303],0
r2,1,0.934173,0.006822,[12  1] ; [79  6],[12.07142857  0.92857143] ; [78.92857143  6.07142857],0
a4,1,0.962495,0.002211,[6 8] ; [37 48],[6.08080808 7.91919192] ; [36.91919192 48.08080808],0
b1,1,0.962495,0.002211,[6 8] ; [37 48],[6.08080808 7.91919192] ; [36.91919192 48.08080808],0
a7,1,0.979356,0.00067,[10  4] ; [61 24],[10.04040404  3.95959596] ; [60.95959596 24.04040404],0
p11,1,0.986658,0.00028,[12  2] ; [73 12],[12.02020202  1.97979798] ; [72.97979798 12.02020202],0
