Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,56.474206,[120   1] ; [25 20],[105.69277108  15.30722892] ; [39.30722892  5.69277108],1
r2,1,0.0,37.011556,[116   6] ; [25 19],[103.62650602  18.37349398] ; [37.37349398  6.62650602],1
r1,1,0.0,34.547469,[97 25] ; [14 31],[81.08982036 40.91017964] ; [29.91017964 15.08982036],1
v4,1,0.0,34.094145,[118   3] ; [28 15],[107.7195122  13.2804878] ; [38.2804878  4.7195122],1
a6,1,0.000401,12.52589,[83 39] ; [17 28],[73.05389222 48.94610778] ; [26.94610778 18.05389222],1
p9,1,0.000831,11.17149,[91 27] ; [22 22],[82.30864198 35.69135802] ; [30.69135802 13.30864198],1
s6,1,0.000985,10.855756,[66 53] ; [12 33],[56.59756098 62.40243902] ; [21.40243902 23.59756098],1
n6,1,0.001327,10.304871,[84 37] ; [19 26],[75.07831325 45.92168675] ; [27.92168675 17.07831325],0
n2,1,0.003133,8.728299,[39 12] ; [10 14],[33.32 17.68] ; [15.68  8.32],0
b1,1,0.004411,8.106336,[36 86] ; [24 21],[43.83233533 78.16766467] ; [16.16766467 28.83233533],0
s2,1,0.00641,7.431159,[55 66] ; [10 35],[47.37951807 73.62048193] ; [17.62048193 27.37951807],0
p11,1,0.007418,7.168869,[82 40] ; [20 25],[74.51497006 47.48502994] ; [27.48502994 17.51497006],0
d5,1,0.023868,5.10419,[87 34] ; [24 21],[80.90963855 40.09036145] ; [30.09036145 14.90963855],0
d4,1,0.024137,5.084767,[96 25] ; [28 17],[90.38554217 30.61445783] ; [33.61445783 11.38554217],0
s8,1,0.027585,4.853801,[33 88] ; [ 5 40],[27.69879518 93.30120482] ; [10.30120482 34.69879518],0
d3,1,0.036537,4.371847,[82 39] ; [22 22],[76.26666667 44.73333333] ; [27.73333333 16.26666667],0
v2,1,0.055117,3.67853,[56 59] ; [14 30],[50.62893082 64.37106918] ; [19.37106918 24.62893082],0
d1,1,0.058793,3.571113,[55 67] ; [13 32],[49.67664671 72.32335329] ; [18.32335329 26.67664671],0
a5,1,0.06474,3.411582,[63 59] ; [16 29],[57.71257485 64.28742515] ; [21.28742515 23.71257485],0
s1,1,0.067767,3.336306,[  3 118] ; [ 4 41],[  5.10240964 115.89759036] ; [ 1.89759036 43.10240964],0
p10,1,0.087831,2.913687,[82 37] ; [24 20],[77.38650307 41.61349693] ; [28.61349693 15.38650307],0
v1,1,0.099565,2.712496,[47 74] ; [11 33],[42.53333333 78.46666667] ; [15.46666667 28.53333333],0
s3,1,0.102563,2.665223,[59 63] ; [15 29],[54.38554217 67.61445783] ; [19.61445783 24.38554217],0
a7,1,0.104055,2.64226,[86 35] ; [26 19],[81.63855422 39.36144578] ; [30.36144578 14.63855422],0
p1,1,0.111731,2.52957,[  1 121] ; [ 2 42],[  2.20481928 119.79518072] ; [ 0.79518072 43.20481928],0
u3,1,0.117441,2.451127,[31 20] ; [ 9 13],[27.94520548 23.05479452] ; [12.05479452  9.94520548],0
u1,1,0.131445,2.275353,[ 11 111] ; [ 1 44],[  8.76646707 113.23353293] ; [ 3.23353293 41.76646707],0
p2,1,0.149523,2.077109,[84 38] ; [25 19],[80.10843373 41.89156627] ; [28.89156627 15.10843373],0
v3,1,0.182446,1.777583,[30 86] ; [ 7 37],[26.825 89.175] ; [10.175 33.825],0
s7,1,0.26678,1.23323,[33 86] ; [ 8 34],[30.30434783 88.69565217] ; [10.69565217 31.30434783],0
n3,1,0.286239,1.137229,[36 16] ; [13 10],[33.97333333 18.02666667] ; [15.02666667  7.97333333],0
a1,1,0.292852,1.106466,[  2 120] ; [ 2 43],[  2.92215569 119.07784431] ; [ 1.07784431 43.92215569],0
a8,1,0.332386,0.939579,[  7 107] ; [ 1 42],[  5.8089172 108.1910828] ; [ 2.1910828 40.8089172],0
s5,1,0.341217,0.905853,[29 88] ; [ 8 37],[26.72222222 90.27777778] ; [10.27777778 34.72222222],0
a4,1,0.398628,0.712462,[38 84] ; [11 34],[35.79640719 86.20359281] ; [13.20359281 31.79640719],0
u2,1,0.416617,0.659838,[29 23] ; [10 12],[27.40540541 24.59459459] ; [11.59459459 10.40540541],0
n1,1,0.433234,0.614138,[15 36] ; [ 5 19],[13.6 37.4] ; [ 6.4 17.6],0
p7,1,0.443461,0.587311,[51 65] ; [16 27],[48.88050314 67.11949686] ; [18.11949686 24.88050314],0
p6,1,0.45836,0.549896,[22 99] ; [ 6 39],[ 20.40963855 100.59036145] ; [ 7.59036145 37.40963855],0
