Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000939,10.94352,[33 32] ; [20 62],[23.43537415 41.56462585] ; [29.56462585 52.43537415],1
v3,1,0.002939,8.845162,[29 34] ; [18 62],[20.70629371 42.29370629] ; [26.29370629 53.70629371],0
d4,1,0.03848,4.283669,[52 12] ; [54 28],[46.46575342 17.53424658] ; [59.53424658 22.46575342],0
s8,1,0.111558,2.532016,[20 44] ; [16 65],[15.88965517 48.11034483] ; [20.11034483 60.88965517],0
p8,1,0.114391,2.492479,[28 37] ; [25 57],[23.43537415 41.56462585] ; [29.56462585 52.43537415],0
d3,1,0.137627,2.204291,[42 23] ; [43 39],[37.58503401 27.41496599] ; [47.41496599 34.58503401],0
s4,1,0.140198,2.175782,[ 7 57] ; [16 64],[10.22222222 53.77777778] ; [12.77777778 67.22222222],0
d1,1,0.144687,2.127391,[34 31] ; [33 49],[29.62585034 35.37414966] ; [37.37414966 44.62585034],0
u3,1,0.144864,2.125511,[12 13] ; [24 12],[14.75409836 10.24590164] ; [21.24590164 14.75409836],0
b4,1,0.151878,2.053287,[44 21] ; [46 36],[39.79591837 25.20408163] ; [50.20408163 31.79591837],0
a6,1,0.215367,1.534976,[43 22] ; [46 36],[39.3537415 25.6462585] ; [49.6462585 32.3537415],0
s2,1,0.270185,1.215805,[25 38] ; [25 56],[21.875 41.125] ; [28.125 52.875],0
p7,1,0.303478,1.058846,[35 28] ; [38 43],[31.9375 31.0625] ; [41.0625 39.9375],0
d2,1,0.37003,0.803562,[28 36] ; [42 40],[30.68493151 33.31506849] ; [39.31506849 42.68493151],0
p3,1,0.401562,0.703643,[24 40] ; [25 56],[21.62758621 42.37241379] ; [27.37241379 53.62758621],0
s3,1,0.402748,0.700105,[26 38] ; [39 43],[28.49315068 35.50684932] ; [36.50684932 45.49315068],0
a7,1,0.409763,0.679489,[44 20] ; [51 31],[41.64383562 22.35616438] ; [53.35616438 28.64383562],0
s5,1,0.428937,0.625701,[14 48] ; [14 67],[12.13986014 49.86013986] ; [15.86013986 65.13986014],0
a4,1,0.454523,0.559349,[21 44] ; [31 50],[23.15068493 41.84931507] ; [28.84931507 52.15068493],0
s7,1,0.460814,0.543916,[21 40] ; [22 55],[19.00724638 41.99275362] ; [23.99275362 53.00724638],0
b5,1,0.465942,0.531583,[38 27] ; [43 39],[35.81632653 29.18367347] ; [45.18367347 36.81632653],0
b3,1,0.472367,0.516433,[12 27] ; [13 41],[10.48387097 28.51612903] ; [14.51612903 39.48387097],0
b2,1,0.472367,0.516433,[12 27] ; [13 41],[10.48387097 28.51612903] ; [14.51612903 39.48387097],0
r4,1,0.474736,0.510932,[50 15] ; [67 15],[51.73469388 13.26530612] ; [65.26530612 16.73469388],0
n2,1,0.494963,0.465719,[14  4] ; [22 10],[12.96  5.04] ; [23.04  8.96],0
a3,1,0.506092,0.442138,[40 25] ; [46 36],[38.02721088 26.97278912] ; [47.97278912 34.02721088],0
p4,1,0.55519,0.348101,[30 34] ; [34 47],[28.24827586 35.75172414] ; [35.75172414 45.24827586],0
