Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.074343,[58  8] ; [2 8],[52.10526316 13.89473684] ; [7.89473684 2.10526316],1
d1,1,0.000293,13.114938,[46 20] ; [1 9],[40.81578947 25.18421053] ; [6.18421053 3.81578947],1
d3,1,0.000421,12.436364,[54 12] ; [3 7],[49.5 16.5] ; [7.5 2.5],1
d2,1,0.006633,7.369697,[37 29] ; [1 9],[33. 33.] ; [5. 5.],0
p1,1,0.050265,3.832604,[19 47] ; [6 4],[21.71052632 44.28947368] ; [3.28947368 6.71052632],0
a4,1,0.091369,2.850081,[32 34] ; [2 8],[29.52631579 36.47368421] ; [4.47368421 5.52631579],0
a3,1,0.11477,2.487273,[54 12] ; [6 4],[52.10526316 13.89473684] ; [7.89473684 2.10526316],0
s1,1,0.20547,1.603062,[ 5 61] ; [2 8],[ 6.07894737 59.92105263] ; [0.92105263 9.07894737],0
r3,1,0.220684,1.49992,[59  5] ; [8 2],[57.94594595  6.05405405] ; [9.05405405 0.94594595],0
a2,1,0.239792,1.381818,[18 48] ; [1 9],[16.5 49.5] ; [2.5 7.5],0
p6,1,0.244205,1.356156,[39 25] ; [8 2],[40.64864865 23.35135135] ; [6.35135135 3.64864865],0
s8,1,0.283205,1.151644,[41 24] ; [4 5],[39.52702703 25.47297297] ; [5.47297297 3.52702703],0
s3,1,0.346384,0.886662,[39 25] ; [4 5],[37.69863014 26.30136986] ; [5.30136986 3.69863014],0
s5,1,0.348713,0.878136,[37 20] ; [8 2],[38.28358209 18.71641791] ; [6.71641791 3.28358209],0
u2,1,0.350201,0.872727,[9 3] ; [2 2],[8.25 3.75] ; [2.75 1.25],0
p2,1,0.391568,0.734067,[59  7] ; [8 2],[58.18421053  7.81578947] ; [8.81578947 1.18421053],0
v2,1,0.437334,0.603268,[39 23] ; [5 5],[37.88888889 24.11111111] ; [6.11111111 3.88888889],0
a5,1,0.456425,0.554646,[53 13] ; [7 3],[52.10526316 13.89473684] ; [7.89473684 2.10526316],0
p10,1,0.489618,0.477366,[61  3] ; [9 1],[60.54054054  3.45945946] ; [9.45945946 0.54054054],0
b5,1,0.497341,0.460606,[34 32] ; [4 6],[33. 33.] ; [5. 5.],0
v1,1,0.533712,0.387318,[44 19] ; [6 4],[43.15068493 19.84931507] ; [6.84931507 3.15068493],0
u3,1,0.550985,0.355556,[8 4] ; [2 2],[7.5 4.5] ; [2.5 1.5],0
b4,1,0.587401,0.294421,[39 27] ; [5 5],[38.21052632 27.78947368] ; [5.78947368 4.21052632],0
a6,1,0.607822,0.263358,[45 21] ; [6 4],[44.28947368 21.71052632] ; [6.71052632 3.28947368],0
p4,1,0.608587,0.262238,[56  9] ; [8 2],[55.46666667  9.53333333] ; [8.53333333 1.46666667],0
s2,1,0.642817,0.215076,[37 27] ; [5 5],[36.32432432 27.67567568] ; [5.67567568 4.32432432],0
a8,1,0.644143,0.213365,[10 48] ; [1 8],[ 9.52238806 48.47761194] ; [1.47761194 7.52238806],0
s6,1,0.664928,0.187593,[51 10] ; [7 2],[50.54285714 10.45714286] ; [7.45714286 1.54285714],0
p11,1,0.666119,0.186175,[56 10] ; [9 1],[56.44736842  9.55263158] ; [8.55263158 1.44736842],0
n5,1,0.666119,0.186175,[56 10] ; [9 1],[56.44736842  9.55263158] ; [8.55263158 1.44736842],0
p8,1,0.679583,0.170596,[55 11] ; [7 2],[54.56 11.44] ; [7.44 1.56],0
a1,1,0.751235,0.100496,[ 9 57] ; [1 9],[ 8.68421053 57.31578947] ; [1.31578947 8.68421053],0
n4,1,0.751235,0.100496,[57  9] ; [9 1],[57.31578947  8.68421053] ; [8.68421053 1.31578947],0
v3,1,0.760518,0.092903,[34 28] ; [6 4],[34.44444444 27.55555556] ; [5.55555556 4.44444444],0
s7,1,0.791583,0.069831,[43 18] ; [6 2],[43.31884058 17.68115942] ; [5.68115942 2.31884058],0
s4,1,0.809464,0.058138,[ 8 55] ; [1 9],[ 7.76712329 55.23287671] ; [1.23287671 8.76712329],0
b2,1,0.812733,0.056122,[22 27] ; [3 3],[22.27272727 26.72727273] ; [2.72727273 3.27272727],0
b3,1,0.812733,0.056122,[22 27] ; [3 3],[22.27272727 26.72727273] ; [2.72727273 3.27272727],0
p3,1,0.847063,0.037197,[51 15] ; [8 2],[51.23684211 14.76315789] ; [7.76315789 2.23684211],0
p7,1,0.87461,0.024903,[49 14] ; [8 2],[49.19178082 13.80821918] ; [7.80821918 2.19178082],0
p12,1,0.960331,0.002474,[19 46] ; [3 7],[19.06666667 45.93333333] ; [2.93333333 7.06666667],0
b1,1,0.970853,0.001335,[26 40] ; [4 6],[26.05263158 39.94736842] ; [3.94736842 6.05263158],0
