Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,60.281495,[ 94 155] ; [101  25],[129.48 119.52] ; [65.52 60.48],1
v1,1,4.2e-05,16.788549,[ 93 159] ; [75 52],[111.70448549 140.29551451] ; [56.29551451 70.70448549],1
s8,1,0.000354,12.763149,[ 75 182] ; [61 67],[ 90.78441558 166.21558442] ; [45.21558442 82.78441558],1
d2,1,0.010465,6.553996,[115 142] ; [75 53],[126.83116883 130.16883117] ; [63.16883117 64.83116883],0
d1,1,0.025689,4.976852,[152 106] ; [91 38],[162.  96.] ; [81. 48.],0
b4,1,0.039088,4.257043,[148 110] ; [88 41],[157.33333333 100.66666667] ; [78.66666667 50.33333333],0
p12,1,0.041413,4.159033,[  8 247] ; [ 10 118],[ 11.9843342 243.0156658] ; [  6.0156658 121.9843342],0
r3,1,0.042631,4.109962,[234  22] ; [125   4],[238.71168831  17.28831169] ; [120.28831169   8.71168831],0
p8,1,0.042843,4.101587,[ 85 170] ; [55 70],[ 93.94736842 161.05263158] ; [46.05263158 78.94736842],0
v4,1,0.063318,3.448276,[227  29] ; [121   7],[232.  24.] ; [116.  12.],0
s7,1,0.063913,3.432809,[ 92 158] ; [58 66],[100.26737968 149.73262032] ; [49.73262032 74.26737968],0
a3,1,0.065594,3.389978,[174  83] ; [99 30],[181.7642487  75.2357513] ; [91.2357513 37.7642487],0
p5,1,0.068656,3.314872,[  9 248] ; [ 10 119],[ 12.65025907 244.34974093] ; [  6.34974093 122.65025907],0
b1,1,0.068808,3.31123,[ 96 162] ; [36 93],[ 88. 170.] ; [44. 85.],0
n6,1,0.075561,3.157895,[196  60] ; [108  20],[202.66666667  53.33333333] ; [101.33333333  26.66666667],0
r4,1,0.079679,3.071429,[210  48] ; [114  15],[216.  42.] ; [108.  21.],0
s2,1,0.081909,3.026601,[108 148] ; [66 62],[116. 140.] ; [58. 70.],0
s4,1,0.083525,2.994941,[ 45 209] ; [ 14 114],[ 39.23036649 214.76963351] ; [ 19.76963351 108.23036649],0
n4,1,0.09431,2.799224,[172  86] ; [96 32],[179.12953368  78.87046632] ; [88.87046632 39.12953368],0
n5,1,0.111469,2.533266,[164  91] ; [92 35],[170.89005236  84.10994764] ; [85.10994764 41.89005236],0
