Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.4e-05,18.827345,[141 271] ; [17  4],[150.33718245 261.66281755] ; [ 7.66281755 13.33718245],1
s1,1,3e-05,17.428868,[ 10 418] ; [ 4 18],[ 13.31555556 414.68444444] ; [ 0.68444444 21.31555556],1
p12,1,6.4e-05,15.982017,[ 18 413] ; [ 5 16],[ 21.93141593 409.06858407] ; [ 1.06858407 19.93141593],1
p1,1,0.0001,15.138389,[ 25 406] ; [ 6 16],[ 29.49448124 401.50551876] ; [ 1.50551876 20.49448124],1
s8,1,0.000209,13.752073,[131 301] ; [15  7],[138.92511013 293.07488987] ; [ 7.07488987 14.92511013],1
p3,1,0.005267,7.785298,[183 248] ; [16  6],[189.33554084 241.66445916] ; [ 9.66445916 12.33554084],0
r3,1,0.007661,7.111041,[410  21] ; [18  4],[407.21412804  23.78587196] ; [20.78587196  1.21412804],0
p4,1,0.009157,6.791902,[231 201] ; [18  4],[236.9339207 195.0660793] ; [12.0660793  9.9339207],0
p6,1,0.009993,6.636121,[123 305] ; [12 10],[128.4 299.6] ; [ 6.6 15.4],0
p8,1,0.02118,5.311942,[203 224] ; [16  6],[208.26948775 218.73051225] ; [10.73051225 11.26948775],0
a6,1,0.030958,4.655273,[340  92] ; [13  9],[335.89427313  96.10572687] ; [17.10572687  4.89427313],0
n3,1,0.049691,3.851852,[70 28] ; [2 4],[67.84615385 30.15384615] ; [4.15384615 1.84615385],0
n5,1,0.083448,2.996436,[296 133] ; [19  3],[299.63414634 129.36585366] ; [15.36585366  6.63414634],0
v1,1,0.086392,2.94035,[200 221] ; [14  7],[203.83257919 217.16742081] ; [10.16742081 10.83257919],0
r4,1,0.116593,2.462506,[383  50] ; [17  5],[380.65934066  52.34065934] ; [19.34065934  2.65934066],0
p9,1,0.166428,1.91483,[335  91] ; [20  2],[337.56696429  88.43303571] ; [17.43303571  4.56696429],0
b2,1,0.181837,1.782546,[ 73 166] ; [ 9 11],[ 75.66795367 163.33204633] ; [ 6.33204633 13.66795367],0
b3,1,0.181837,1.782546,[ 73 166] ; [ 9 11],[ 75.66795367 163.33204633] ; [ 6.33204633 13.66795367],0
p7,1,0.212371,1.555189,[244 179] ; [15  6],[246.75 176.25] ; [12.25  8.75],0
u1,1,0.220973,1.498039,[ 74 359] ; [ 6 16],[ 76.13186813 356.86813187] ; [ 3.86813187 18.13186813],0
s6,1,0.228804,1.448284,[237 193] ; [15  7],[239.73451327 190.26548673] ; [12.26548673  9.73451327],0
b5,1,0.238183,1.391316,[289 144] ; [12 10],[286.44615385 146.55384615] ; [14.55384615  7.44615385],0
d5,1,0.249614,1.325465,[356  76] ; [16  6],[353.97356828  78.02643172] ; [18.02643172  3.97356828],0
p10,1,0.24979,1.324478,[323 104] ; [19  3],[325.24276169 101.75723831] ; [16.75723831  5.24276169],0
d4,1,0.262179,1.257212,[352  80] ; [20  2],[353.97356828  78.02643172] ; [18.02643172  3.97356828],0
n1,1,0.293075,1.105442,[29 69] ; [3 3],[30.15384615 67.84615385] ; [1.84615385 4.15384615],0
a3,1,0.304705,1.053491,[287 143] ; [17  5],[289.20353982 140.79646018] ; [14.79646018  7.20353982],0
u3,1,0.385341,0.753592,[85 58] ; [2 3],[84.06081081 58.93918919] ; [2.93918919 2.06081081],0
u2,1,0.403771,0.697068,[84 59] ; [2 3],[83.09459459 59.90540541] ; [2.90540541 2.09459459],0
a2,1,0.419817,0.650827,[112 321] ; [ 4 18],[110.39120879 322.60879121] ; [ 5.60879121 16.39120879],0
d1,1,0.434489,0.610794,[253 180] ; [11 11],[251.23516484 181.76483516] ; [12.76483516  9.23516484],0
v3,1,0.453934,0.56081,[145 271] ; [ 9 12],[146.59954233 269.40045767] ; [ 7.40045767 13.59954233],0
n6,1,0.468193,0.526238,[342  90] ; [18  3],[343.31125828  88.68874172] ; [16.68874172  4.31125828],0
a8,1,0.477585,0.504372,[ 53 338] ; [ 4 17],[ 54.09466019 336.90533981] ; [ 2.90533981 18.09466019],0
b4,1,0.56221,0.335892,[263 170] ; [12 10],[261.7032967 171.2967033] ; [13.2967033  8.7032967],0
n4,1,0.636731,0.223043,[314 118] ; [17  5],[314.96035242 117.03964758] ; [16.03964758  5.96035242],0
r2,1,0.658097,0.195844,[399  30] ; [21  1],[399.51219512  29.48780488] ; [20.48780488  1.51219512],0
b1,1,0.6879,0.161369,[156 277] ; [ 7 15],[155.11868132 277.88131868] ; [ 7.88131868 14.11868132],0
s3,1,0.690851,0.158165,[195 232] ; [11 11],[195.9064588 231.0935412] ; [10.0935412 11.9064588],0
d3,1,0.698563,0.149971,[329 102] ; [16  6],[328.24503311 102.75496689] ; [16.75496689  5.24503311],0
v4,1,0.747606,0.103554,[406  27] ; [21  1],[406.35384615  26.64615385] ; [20.64615385  1.35384615],0
v2,1,0.784531,0.074758,[230 185] ; [11 10],[229.39220183 185.60779817] ; [11.60779817  9.39220183],0
r1,1,0.839012,0.041273,[345  86] ; [18  4],[345.37086093  85.62913907] ; [17.62913907  4.37086093],0
a5,1,0.876275,0.02424,[302 131] ; [15  7],[301.67252747 131.32747253] ; [15.32747253  6.67252747],0
p2,1,0.925608,0.008718,[350  82] ; [18  4],[350.16740088  81.83259912] ; [17.83259912  4.16740088],0
d2,1,0.925906,0.008648,[192 240] ; [10 12],[192.21145374 239.78854626] ; [ 9.78854626 12.21145374],0
p11,1,0.928705,0.008006,[331 102] ; [17  5],[331.17362637 101.82637363] ; [16.82637363  5.17362637],0
a1,1,0.929205,0.007893,[ 18 415] ; [ 1 21],[ 18.08131868 414.91868132] ; [ 0.91868132 21.08131868],0
s2,1,0.936192,0.006409,[160 270] ; [ 8 14],[159.82300885 270.17699115] ; [ 8.17699115 13.82300885],0
n2,1,0.972492,0.001189,[66 32] ; [4 2],[65.96153846 32.03846154] ; [4.03846154 1.96153846],0
a4,1,0.988262,0.000216,[177 254] ; [ 9 13],[176.96688742 254.03311258] ; [ 9.03311258 12.96688742],0
