Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.961785,[13 31] ; [46 14],[24.96153846 19.03846154] ; [34.03846154 25.96153846],1
u3,1,0.001421,10.17797,[10  8] ; [ 2 20],[ 5.4 12.6] ; [ 6.6 15.4],0
u2,1,0.004862,7.930012,[10  8] ; [ 3 19],[ 5.85 12.15] ; [ 7.15 14.85],0
n1,1,0.00698,7.278195,[ 3 16] ; [12  9],[ 7.125 11.875] ; [ 7.875 13.125],0
a5,1,0.007711,7.099351,[17 27] ; [39 21],[23.69230769 20.30769231] ; [32.30769231 27.69230769],0
v4,1,0.023286,5.147061,[36  7] ; [38 22],[30.89320388 12.10679612] ; [43.10679612 16.89320388],0
s1,1,0.024224,5.078547,[ 7 37] ; [ 2 58],[ 3.80769231 40.19230769] ; [ 5.19230769 54.80769231],0
n6,1,0.056534,3.636243,[17 27] ; [34 25],[21.78640777 22.21359223] ; [29.21359223 29.78640777],0
b2,1,0.072142,3.233589,[ 6 18] ; [16 17],[ 9.26315789 14.73684211] ; [12.73684211 20.26315789],0
b3,1,0.072142,3.233589,[ 6 18] ; [16 17],[ 9.26315789 14.73684211] ; [12.73684211 20.26315789],0
p4,1,0.123711,2.369695,[13 30] ; [10 48],[ 9.79207921 33.20792079] ; [13.20792079 44.79207921],0
a4,1,0.132816,2.259283,[13 31] ; [26 33],[16.66019417 27.33980583] ; [22.33980583 36.66019417],0
r3,1,0.15131,2.05899,[31 13] ; [34 26],[27.5 16.5] ; [37.5 22.5],0
p3,1,0.1716,1.86891,[ 7 35] ; [17 43],[ 9.88235294 32.11764706] ; [14.11764706 45.88235294],0
a8,1,0.175875,1.83214,[ 1 40] ; [ 5 49],[ 2.58947368 38.41052632] ; [ 3.41052632 50.58947368],0
a1,1,0.201915,1.628467,[ 2 42] ; [ 7 53],[ 3.80769231 40.19230769] ; [ 5.19230769 54.80769231],0
a2,1,0.215104,1.536739,[ 6 38] ; [14 46],[ 8.46153846 35.53846154] ; [11.53846154 48.46153846],0
b5,1,0.262638,1.254797,[29 15] ; [33 27],[26.23076923 17.76923077] ; [35.76923077 24.23076923],0
n2,1,0.277913,1.177267,[ 8 11] ; [13  9],[9.73170732 9.26829268] ; [11.26829268 10.73170732],0
a6,1,0.281097,1.161778,[24 20] ; [39 21],[26.65384615 17.34615385] ; [36.34615385 23.65384615],0
a7,1,0.302874,1.061499,[28 15] ; [33 27],[25.46601942 17.53398058] ; [35.53398058 24.46601942],0
v3,1,0.323759,0.973699,[ 8 34] ; [16 42],[10.08 31.92] ; [13.92 44.08],0
p10,1,0.359661,0.839077,[18 24] ; [20 39],[15.8019802 26.1980198] ; [22.1980198 36.8019802],0
s4,1,0.368005,0.81039,[ 7 37] ; [ 6 54],[ 5.5 38.5] ; [ 7.5 52.5],0
r2,1,0.368136,0.809947,[32 12] ; [45 11],[33.88 10.12] ; [43.12 12.88],0
d5,1,0.376443,0.782287,[25 18] ; [40 20],[27.13592233 15.86407767] ; [37.86407767 22.13592233],0
s7,1,0.382078,0.764005,[ 5 34] ; [11 45],[ 6.56842105 32.43157895] ; [ 9.43157895 46.56842105],0
v1,1,0.393702,0.727479,[ 9 34] ; [17 43],[10.85436893 32.14563107] ; [15.14563107 44.85436893],0
r1,1,0.47665,0.506518,[20 24] ; [31 28],[21.78640777 22.21359223] ; [29.21359223 29.78640777],0
d2,1,0.50842,0.437318,[18 26] ; [28 31],[19.65048544 24.34951456] ; [26.34951456 32.65048544],0
d1,1,0.51636,0.421157,[17 27] ; [27 33],[18.61538462 25.38461538] ; [25.38461538 34.61538462],0
p2,1,0.560131,0.339477,[19 24] ; [30 30],[20.45631068 22.54368932] ; [28.54368932 31.45631068],0
a3,1,0.602321,0.271509,[26 17] ; [38 20],[27.24752475 15.75247525] ; [36.75247525 21.24752475],0
s8,1,0.604532,0.268214,[ 5 39] ; [ 5 55],[ 4.23076923 39.76923077] ; [ 5.76923077 54.23076923],0
p6,1,0.61276,0.256175,[ 7 35] ; [12 46],[ 7.98 34.02] ; [11.02 46.98],0
b4,1,0.646688,0.210101,[24 20] ; [30 30],[22.84615385 21.15384615] ; [31.15384615 28.84615385],0
d3,1,0.668574,0.183274,[22 20] ; [34 26],[23.05882353 18.94117647] ; [32.94117647 27.05882353],0
p9,1,0.676772,0.173783,[19 22] ; [24 33],[17.98979592 23.01020408] ; [25.01020408 31.98979592],0
