Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1.4e-05,18.934323,[ 3 40] ; [31 36],[13.29090909 29.70909091] ; [20.70909091 46.29090909],1
d1,1,0.000462,12.261237,[11 32] ; [40 27],[19.93636364 23.06363636] ; [31.06363636 35.93636364],1
d5,1,0.000619,11.719223,[23 20] ; [56 11],[30.88181818 12.11818182] ; [48.11818182 18.88181818],1
a3,1,0.001864,9.678931,[18 25] ; [48 19],[25.8 17.2] ; [40.2 26.8],0
a6,1,0.002589,9.076845,[17 26] ; [46 21],[24.62727273 18.37272727] ; [38.37272727 28.62727273],0
d2,1,0.013401,6.115353,[11 32] ; [33 34],[17.2 25.8] ; [26.8 40.2],0
p3,1,0.031603,4.619924,[16 27] ; [39 28],[21.5 21.5] ; [33.5 33.5],0
p9,1,0.056324,3.642462,[31 11] ; [59  8],[34.67889908  7.32110092] ; [55.32110092 11.67889908],0
p6,1,0.062593,3.467303,[11 31] ; [29 37],[15.55555556 26.44444444] ; [24.44444444 41.55555556],0
p4,1,0.067583,3.34077,[20 23] ; [43 24],[24.62727273 18.37272727] ; [38.37272727 28.62727273],0
s5,1,0.079464,3.075832,[11 29] ; [29 36],[15.23809524 24.76190476] ; [24.76190476 40.23809524],0
s2,1,0.0933,2.816489,[22 21] ; [45 22],[26.19090909 16.80909091] ; [40.80909091 26.19090909],0
a1,1,0.134116,2.244205,[ 2 41] ; [ 9 58],[ 4.3 38.7] ; [ 6.7 60.3],0
u2,1,0.202706,1.622768,[16  8] ; [ 9 10],[13.95348837 10.04651163] ; [11.04651163  7.95348837],0
n6,1,0.241036,1.374523,[32 11] ; [56 11],[34.4  8.6] ; [53.6 13.4],0
p8,1,0.262608,1.254956,[17 25] ; [34 32],[19.83333333 22.16666667] ; [31.16666667 34.83333333],0
n2,1,0.266899,1.232615,[7 4] ; [21  5],[8.32432432 2.67567568] ; [19.67567568  6.32432432],0
s8,1,0.276205,1.18567,[16 27] ; [32 35],[18.76363636 24.23636364] ; [29.23636364 37.76363636],0
n1,1,0.284984,1.143166,[3 8] ; [12 14],[4.45945946 6.54054054] ; [10.54054054 15.45945946],0
p10,1,0.286441,1.136273,[30 12] ; [53 13],[32.27777778  9.72222222] ; [50.72222222 15.27777778],0
p12,1,0.290783,1.115991,[ 5 38] ; [ 4 63],[ 3.51818182 39.48181818] ; [ 5.48181818 61.51818182],0
b1,1,0.303155,1.060262,[15 28] ; [30 37],[17.59090909 25.40909091] ; [27.40909091 39.59090909],0
r2,1,0.347539,0.882423,[31 10] ; [54 11],[32.87735849  8.12264151] ; [52.12264151 12.87735849],0
s7,1,0.356465,0.850309,[18 23] ; [34 30],[20.3047619 20.6952381] ; [31.6952381 32.3047619],0
d4,1,0.37325,0.792816,[33 10] ; [56 11],[34.79090909  8.20909091] ; [54.20909091 12.79090909],0
b3,1,0.380046,0.770554,[ 6 22] ; [13 29],[ 7.6 20.4] ; [11.4 30.6],0
b2,1,0.380046,0.770554,[ 6 22] ; [13 29],[ 7.6 20.4] ; [11.4 30.6],0
s4,1,0.46064,0.544338,[13 30] ; [16 51],[11.33636364 31.66363636] ; [17.66363636 49.33636364],0
a7,1,0.468792,0.524822,[28 15] ; [39 28],[26.19090909 16.80909091] ; [40.80909091 26.19090909],0
n3,1,0.534355,0.386103,[6 5] ; [17  9],[6.83783784 4.16216216] ; [16.16216216  9.83783784],0
p5,1,0.537989,0.379279,[ 7 36] ; [ 8 58],[ 5.91743119 37.08256881] ; [ 9.08256881 56.91743119],0
n4,1,0.544963,0.366418,[30 13] ; [43 24],[28.53636364 14.46363636] ; [44.46363636 22.53636364],0
p1,1,0.555564,0.347444,[ 2 41] ; [ 5 62],[ 2.73636364 40.26363636] ; [ 4.26363636 62.73636364],0
u3,1,0.62486,0.239096,[13 12] ; [ 8 10],[12.20930233 12.79069767] ; [8.79069767 9.20930233],0
r4,1,0.63786,0.221551,[27 16] ; [45 22],[28.14545455 14.85454545] ; [43.85454545 23.14545455],0
s1,1,0.648754,0.207475,[ 2 41] ; [ 2 65],[ 1.56363636 41.43636364] ; [ 2.43636364 64.56363636],0
p7,1,0.650647,0.205086,[24 18] ; [40 25],[25.12149533 16.87850467] ; [38.87850467 26.12149533],0
d3,1,0.694253,0.15452,[26 17] ; [43 24],[26.97272727 16.02727273] ; [42.02727273 24.97272727],0
b5,1,0.694253,0.15452,[26 17] ; [43 24],[26.97272727 16.02727273] ; [42.02727273 24.97272727],0
b4,1,0.694253,0.15452,[26 17] ; [43 24],[26.97272727 16.02727273] ; [42.02727273 24.97272727],0
s3,1,0.749661,0.101816,[25 18] ; [41 26],[25.8 17.2] ; [40.2 26.8],0
v2,1,0.752794,0.099198,[21 21] ; [30 34],[20.20754717 21.79245283] ; [30.79245283 33.20754717],0
a8,1,0.761776,0.0919,[ 3 36] ; [ 4 61],[ 2.625 36.375] ; [ 4.375 60.625],0
p2,1,0.769929,0.085538,[33 10] ; [53 14],[33.61818182  9.38181818] ; [52.38181818 14.61818182],0
