Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.699949,[43  8] ; [ 3 12],[35.54545455 15.45454545] ; [10.45454545  4.54545455],1
s8,1,0.002052,9.502271,[31 20] ; [ 2 12],[25.89230769 25.10769231] ; [7.10769231 6.89230769],0
s7,1,0.002305,9.289588,[37 10] ; [4 8],[32.66101695 14.33898305] ; [8.33898305 3.66101695],0
a5,1,0.002388,9.22461,[41 10] ; [6 9],[36.31818182 14.68181818] ; [10.68181818  4.31818182],0
a3,1,0.002814,8.924485,[40 10] ; [6 9],[35.38461538 14.61538462] ; [10.61538462  4.38461538],0
s5,1,0.010167,6.605328,[24 21] ; [ 2 12],[19.83050847 25.16949153] ; [6.16949153 7.83050847],0
a6,1,0.01269,6.211765,[38 13] ; [6 9],[34. 17.] ; [10.  5.],0
d1,1,0.020038,5.4086,[37 14] ; [6 9],[33.22727273 17.77272727] ; [9.77272727 5.22727273],0
d5,1,0.027248,4.875,[43  7] ; [9 6],[40. 10.] ; [12.  3.],0
u3,1,0.02767,4.848485,[9 2] ; [3 6],[6.6 4.4] ; [5.4 3.6],0
s2,1,0.0304,4.686555,[36 15] ; [6 9],[32.45454545 18.54545455] ; [9.54545455 5.45454545],0
u1,1,0.031352,4.633608,[18 33] ; [ 1 14],[14.68181818 36.31818182] ; [ 4.31818182 10.68181818],0
d4,1,0.042885,4.099935,[43  8] ; [9 6],[40.18181818 10.81818182] ; [11.81818182  3.18181818],0
r4,1,0.049581,3.855578,[47  4] ; [11  4],[44.81818182  6.18181818] ; [13.18181818  1.81818182],0
a4,1,0.060527,3.522876,[31 20] ; [ 5 10],[27.81818182 23.18181818] ; [8.18181818 6.81818182],0
d2,1,0.061587,3.494118,[37 14] ; [7 8],[34. 17.] ; [10.  5.],0
b1,1,0.073077,3.212513,[24 27] ; [11  4],[27.04545455 23.95454545] ; [7.95454545 7.04545455],0
a2,1,0.08037,3.057404,[19 32] ; [ 2 13],[16.22727273 34.77272727] ; [ 4.77272727 10.22727273],0
v2,1,0.087126,2.926697,[33 18] ; [6 9],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
n1,1,0.088676,2.898254,[9 5] ; [1 4],[7.36842105 6.63157895] ; [2.63157895 2.36842105],0
n5,1,0.090483,2.865751,[38 12] ; [8 7],[35.38461538 14.61538462] ; [10.61538462  4.38461538],0
n4,1,0.105228,2.624471,[41 10] ; [9 6],[38.63636364 12.36363636] ; [11.36363636  3.63636364],0
d3,1,0.125201,2.35102,[39 10] ; [9 6],[36.75 12.25] ; [11.25  3.75],0
a7,1,0.16414,1.935662,[39 11] ; [9 6],[36.92307692 13.07692308] ; [11.07692308  3.92307692],0
v3,1,0.180361,1.794646,[19 30] ; [ 3 12],[16.84375 32.15625] ; [5.15625 9.84375],0
p2,1,0.191436,1.706529,[42  9] ; [10  5],[40.18181818 10.81818182] ; [11.81818182  3.18181818],0
n6,1,0.205157,1.605275,[41  9] ; [10  5],[39.23076923 10.76923077] ; [11.76923077  3.23076923],0
s6,1,0.240444,1.37799,[36 13] ; [8 6],[34.22222222 14.77777778] ; [9.77777778 4.22222222],0
p8,1,0.250015,1.32322,[22 29] ; [9 6],[23.95454545 27.04545455] ; [7.04545455 7.95454545],0
s3,1,0.330797,0.945776,[31 20] ; [7 8],[29.36363636 21.63636364] ; [8.63636364 6.36363636],0
p4,1,0.345348,0.890476,[34 17] ; [8 7],[32.45454545 18.54545455] ; [9.54545455 5.45454545],0
r3,1,0.349881,0.873889,[47  3] ; [13  2],[46.15384615  3.84615385] ; [13.84615385  1.15384615],0
a8,1,0.440265,0.595592,[ 6 36] ; [ 1 14],[ 5.15789474 36.84210526] ; [ 1.84210526 13.15789474],0
v1,1,0.454455,0.559516,[26 25] ; [6 9],[24.72727273 26.27272727] ; [7.27272727 7.72727273],0
v4,1,0.51557,0.422745,[47  4] ; [13  2],[46.36363636  4.63636364] ; [13.63636364  1.36363636],0
n2,1,0.516407,0.421062,[9 5] ; [4 1],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
p7,1,0.536347,0.382353,[36 14] ; [12  3],[36.92307692 13.07692308] ; [11.07692308  3.92307692],0
s4,1,0.561856,0.336502,[14 37] ; [ 3 12],[13.13636364 37.86363636] ; [ 3.86363636 11.13636364],0
b4,1,0.574265,0.315598,[28 23] ; [7 8],[27.04545455 23.95454545] ; [7.95454545 7.04545455],0
a1,1,0.653668,0.201307,[ 2 49] ; [ 1 14],[ 2.31818182 48.68181818] ; [ 0.68181818 14.31818182],0
u4,1,0.653668,0.201307,[ 2 49] ; [ 1 14],[ 2.31818182 48.68181818] ; [ 0.68181818 14.31818182],0
p5,1,0.69636,0.152286,[ 5 46] ; [ 2 13],[ 5.40909091 45.59090909] ; [ 1.59090909 13.40909091],0
n3,1,0.763573,0.090476,[12  2] ; [4 1],[11.78947368  2.21052632] ; [4.21052632 0.78947368],0
b5,1,0.771422,0.084399,[36 15] ; [10  5],[35.54545455 15.45454545] ; [10.45454545  4.54545455],0
b3,1,0.828969,0.046667,[11 14] ; [4 6],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
b2,1,0.828969,0.046667,[11 14] ; [4 6],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
s1,1,0.879685,0.022912,[ 4 47] ; [ 1 14],[ 3.86363636 47.13636364] ; [ 1.13636364 13.86363636],0
u2,1,0.887593,0.01998,[7 4] ; [6 3],[7.15 3.85] ; [5.85 3.15],0
p1,1,0.89035,0.019006,[ 6 44] ; [ 2 13],[ 6.15384615 43.84615385] ; [ 1.84615385 13.15384615],0
p3,1,0.956419,0.002986,[31 20] ; [9 6],[30.90909091 20.09090909] ; [9.09090909 5.90909091],0
r1,1,0.97322,0.001127,[41 10] ; [12  3],[40.95454545 10.04545455] ; [12.04545455  2.95454545],0
