Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.276617,[ 2 16] ; [44 17],[10.48101266  7.51898734] ; [35.51898734 25.48101266],1
d2,1,8.2e-05,15.51918,[ 1 17] ; [35 25],[8.30769231 9.69230769] ; [27.69230769 32.30769231],1
a5,1,0.001589,9.972546,[ 3 15] ; [36 25],[8.88607595 9.11392405] ; [30.11392405 30.88607595],0
r3,1,0.002222,9.356621,[ 7 11] ; [47 14],[12.30379747  5.69620253] ; [41.69620253 19.30379747],0
v4,1,0.003858,8.349688,[9 9] ; [50 10],[13.61538462  4.38461538] ; [45.38461538 14.61538462],0
d1,1,0.007529,7.142235,[ 2 16] ; [28 33],[ 6.83544304 11.16455696] ; [23.16455696 37.83544304],0
a4,1,0.012437,6.247429,[ 2 16] ; [26 34],[ 6.46153846 11.53846154] ; [21.53846154 38.46153846],0
v2,1,0.012544,6.232334,[ 2 15] ; [27 33],[ 6.4025974 10.5974026] ; [22.5974026 37.4025974],0
s6,1,0.01445,5.98229,[ 4 14] ; [32 26],[8.52631579 9.47368421] ; [27.47368421 30.52631579],0
n3,1,0.020137,5.4,[2 7] ; [18  9],[5. 4.] ; [15. 12.],0
d5,1,0.021216,5.30899,[ 6 12] ; [39 22],[10.25316456  7.74683544] ; [34.74683544 26.25316456],0
n1,1,0.0311,4.647423,[1 8] ; [15 14],[3.78947368 5.21052632] ; [12.21052632 16.78947368],0
n2,1,0.05607,3.649975,[3 6] ; [20  9],[5.44736842 3.55263158] ; [17.55263158 11.44736842],0
s8,1,0.066127,3.376623,[ 2 16] ; [20 40],[ 5.07692308 12.92307692] ; [16.92307692 43.07692308],0
d4,1,0.087217,2.925,[9 9] ; [43 17],[12.  6.] ; [40. 20.],0
p9,1,0.102845,2.660869,[ 5 11] ; [32 27],[7.89333333 8.10666667] ; [29.10666667 29.89333333],0
s3,1,0.104502,2.635457,[ 5 12] ; [31 29],[7.94805195 9.05194805] ; [28.05194805 31.94805195],0
a3,1,0.114236,2.494618,[ 7 11] ; [36 24],[9.92307692 8.07692308] ; [33.07692308 26.92307692],0
v3,1,0.12878,2.307149,[ 3 15] ; [20 36],[ 5.59459459 12.40540541] ; [17.40540541 38.59459459],0
v1,1,0.134361,2.241379,[ 4 14] ; [25 35],[ 6.69230769 11.30769231] ; [22.30769231 37.69230769],0
u3,1,0.13738,2.207066,[2 9] ; [11 14],[3.97222222 7.02777778] ; [ 9.02777778 15.97222222],0
b1,1,0.146754,2.105674,[14  4] ; [36 25],[11.39240506  6.60759494] ; [38.60759494 22.39240506],0
b5,1,0.153557,2.036554,[12  6] ; [29 32],[9.34177215 8.65822785] ; [31.65822785 29.34177215],0
r1,1,0.167192,1.907945,[ 7 11] ; [35 26],[9.56962025 8.43037975] ; [32.43037975 28.56962025],0
a6,1,0.223618,1.481001,[ 4 14] ; [23 38],[ 6.15189873 11.84810127] ; [20.84810127 40.15189873],0
p6,1,0.245482,1.348832,[ 2 15] ; [15 45],[ 3.75324675 13.24675325] ; [13.24675325 46.75324675],0
p10,1,0.249639,1.325325,[ 5 12] ; [27 33],[7.06493506 9.93506494] ; [24.93506494 35.06493506],0
p12,1,0.359924,0.838158,[ 1 17] ; [ 1 59],[ 0.46153846 17.53846154] ; [ 1.53846154 58.46153846],0
s7,1,0.409355,0.680673,[ 4 11] ; [21 34],[5.35714286 9.64285714] ; [19.64285714 35.35714286],0
p3,1,0.412902,0.670429,[ 5 13] ; [23 37],[ 6.46153846 11.53846154] ; [21.53846154 38.46153846],0
p8,1,0.44088,0.593992,[ 4 14] ; [19 41],[ 5.30769231 12.69230769] ; [17.69230769 42.30769231],0
