Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.934928,[ 6 68] ; [32 42],[19. 55.] ; [19. 55.],1
v1,1,0.000193,13.894281,[21 53] ; [44 31],[32.28187919 41.71812081] ; [32.71812081 42.28187919],1
r1,1,0.000384,12.608817,[41 34] ; [62 14],[51.1589404 23.8410596] ; [51.8410596 24.1589404],1
a3,1,0.001898,9.645605,[35 40] ; [55 22],[44.40789474 30.59210526] ; [45.59210526 31.40789474],0
a7,1,0.003367,8.596994,[44 31] ; [62 15],[52.30263158 22.69736842] ; [53.69736842 23.30263158],0
d5,1,0.017878,5.608101,[44 31] ; [59 18],[50.82236842 24.17763158] ; [52.17763158 24.82236842],0
a5,1,0.035202,4.43534,[36 39] ; [50 27],[42.43421053 32.56578947] ; [43.56578947 33.43421053],0
d1,1,0.046451,3.965175,[26 49] ; [39 38],[32.07236842 42.92763158] ; [32.92763158 44.07236842],0
p12,1,0.057509,3.607806,[ 1 74] ; [ 6 71],[ 3.45394737 71.54605263] ; [ 3.54605263 73.45394737],0
a2,1,0.064278,3.423425,[ 4 71] ; [11 66],[ 7.40131579 67.59868421] ; [ 7.59868421 69.40131579],0
d3,1,0.065751,3.386035,[45 30] ; [57 20],[50.32894737 24.67105263] ; [51.67105263 25.32894737],0
b4,1,0.07422,3.187139,[39 36] ; [51 26],[44.40789474 30.59210526] ; [45.59210526 31.40789474],0
u1,1,0.078847,3.088505,[ 3 72] ; [ 9 68],[ 5.92105263 69.07894737] ; [ 6.07894737 70.92105263],0
d4,1,0.105925,2.613984,[53 22] ; [63 14],[57.23684211 17.76315789] ; [58.76315789 18.23684211],0
s6,1,0.121147,2.402427,[38 37] ; [48 28],[42.71523179 32.28476821] ; [43.28476821 32.71523179],0
r2,1,0.124331,2.361902,[63 12] ; [70  6],[66.05960265  8.94039735] ; [66.94039735  9.05960265],0
v4,1,0.133229,2.254475,[65  9] ; [72  4],[67.58666667  6.41333333] ; [69.41333333  6.58666667],0
p5,1,0.134257,2.242581,[ 3 71] ; [ 8 69],[ 5.39072848 68.60927152] ; [ 5.60927152 71.39072848],0
a6,1,0.192296,1.699939,[44 31] ; [53 24],[47.86184211 27.13815789] ; [49.13815789 27.86184211],0
p10,1,0.193312,1.692197,[54 20] ; [63 14],[57.33774834 16.66225166] ; [59.66225166 17.33774834],0
p4,1,0.20897,1.578547,[29 45] ; [38 39],[32.83443709 41.16556291] ; [34.16556291 42.83443709],0
p1,1,0.224292,1.476695,[ 5 69] ; [ 2 75],[ 3.43046358 70.56953642] ; [ 3.56953642 73.43046358],0
p7,1,0.252324,1.310388,[39 30] ; [50 26],[42.35172414 26.64827586] ; [46.64827586 29.35172414],0
s2,1,0.26278,1.254049,[27 47] ; [35 42],[30.38410596 43.61589404] ; [31.61589404 45.38410596],0
r4,1,0.266565,1.234341,[58 17] ; [65 12],[60.69078947 14.30921053] ; [62.30921053 14.69078947],0
a8,1,0.280947,1.162506,[ 6 63] ; [ 3 68],[ 4.43571429 64.56428571] ; [ 4.56428571 66.43571429],0
n2,1,0.305749,1.048951,[18  7] ; [21  4],[19.5  5.5] ; [19.5  5.5],0
n1,1,0.333425,0.935551,[ 8 17] ; [ 5 20],[ 6.5 18.5] ; [ 6.5 18.5],0
p9,1,0.349593,0.874935,[60 15] ; [66 11],[62.17105263 12.82894737] ; [63.82894737 13.17105263],0
s3,1,0.366252,0.816341,[32 43] ; [38 38],[34.76821192 40.23178808] ; [35.23178808 40.76821192],0
b3,1,0.411408,0.674727,[10 29] ; [13 25],[11.64935065 27.35064935] ; [11.35064935 26.64935065],0
b2,1,0.411408,0.674727,[10 29] ; [13 25],[11.64935065 27.35064935] ; [11.35064935 26.64935065],0
a4,1,0.414928,0.664636,[18 57] ; [23 54],[20.23026316 54.76973684] ; [20.76973684 56.23026316],0
s5,1,0.444804,0.583859,[21 54] ; [25 49],[23.15436242 51.84563758] ; [22.84563758 51.15436242],0
u2,1,0.447351,0.577354,[24 16] ; [11 11],[22.58064516 17.41935484] ; [12.41935484  9.58064516],0
r3,1,0.485518,0.486444,[69  6] ; [73  4],[70.06578947  4.93421053] ; [71.93421053  5.06578947],0
d2,1,0.52537,0.403339,[25 50] ; [22 55],[23.19078947 51.80921053] ; [23.80921053 53.19078947],0
b1,1,0.540603,0.374422,[20 55] ; [24 53],[21.71052632 53.28947368] ; [22.28947368 54.71052632],0
n3,1,0.54429,0.367647,[16  9] ; [18  7],[17.  8.] ; [17.  8.],0
p6,1,0.554729,0.348913,[18 55] ; [22 54],[19.59731544 53.40268456] ; [20.40268456 55.59731544],0
p8,1,0.570523,0.321807,[37 38] ; [41 35],[38.74172185 36.25827815] ; [39.25827815 36.74172185],0
p3,1,0.577159,0.310851,[25 50] ; [29 48],[26.64473684 48.35526316] ; [27.35526316 49.64473684],0
