Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9e-06,19.789489,[117  27] ; [15 19],[106.78651685  37.21348315] ; [25.21348315  8.78651685],1
r1,1,1.1e-05,19.366395,[119  26] ; [15 18],[109.15730337  35.84269663] ; [24.84269663  8.15730337],1
v2,1,8.6e-05,15.427144,[93 48] ; [ 9 23],[83.13294798 57.86705202] ; [18.86705202 13.13294798],1
p9,1,0.000701,11.486962,[119  26] ; [18 15],[111.6011236  33.3988764] ; [25.3988764  7.6011236],1
v1,1,0.000792,11.260778,[81 62] ; [ 8 25],[72.3125 70.6875] ; [16.6875 16.3125],1
p4,1,0.002915,8.859977,[93 51] ; [12 21],[85.42372881 58.57627119] ; [19.57627119 13.42372881],0
v3,1,0.003449,8.553146,[63 77] ; [ 6 28],[55.51724138 84.48275862] ; [13.48275862 20.51724138],0
v4,1,0.003685,8.4331,[139   6] ; [27  6],[135.2247191   9.7752809] ; [30.7752809  2.2247191],0
r4,1,0.003893,8.332994,[130  15] ; [24 10],[124.74860335  20.25139665] ; [29.25139665  4.74860335],0
d5,1,0.00595,7.565351,[113  32] ; [18 15],[106.71348315  38.28651685] ; [24.28651685  8.71348315],0
s8,1,0.007192,7.224434,[ 40 105] ; [ 2 32],[ 34.02234637 110.97765363] ; [ 7.97765363 26.02234637],0
r3,1,0.008159,6.998275,[136   9] ; [27  7],[132.03910615  12.96089385] ; [30.96089385  3.03910615],0
p8,1,0.012253,6.273854,[93 51] ; [13 19],[86.72727273 57.27272727] ; [19.27272727 12.72727273],0
b5,1,0.013101,6.155456,[77 68] ; [26  8],[83.43575419 61.56424581] ; [19.56424581 14.43575419],0
a5,1,0.018856,5.514808,[103  42] ; [17 17],[97.20670391 47.79329609] ; [22.79329609 11.20670391],0
n4,1,0.019439,5.461587,[110  35] ; [19 15],[104.4972067  40.5027933] ; [24.5027933  9.4972067],0
p2,1,0.021464,5.288742,[127  16] ; [25  9],[122.80225989  20.19774011] ; [29.19774011  4.80225989],0
p3,1,0.034287,4.480351,[84 60] ; [13 21],[78.47191011 65.52808989] ; [18.52808989 15.47191011],0
b2,1,0.035723,4.410292,[40 53] ; [ 3 15],[36.02702703 56.97297297] ; [ 6.97297297 11.02702703],0
b3,1,0.035723,4.410292,[40 53] ; [ 3 15],[36.02702703 56.97297297] ; [ 6.97297297 11.02702703],0
s7,1,0.043165,4.088943,[42 94] ; [ 4 27],[37.46107784 98.53892216] ; [ 8.53892216 22.46107784],0
n6,1,0.050295,3.831597,[119  25] ; [23 11],[114.87640449  29.12359551] ; [27.12359551  6.87640449],0
r2,1,0.063744,3.437189,[133  11] ; [27  6],[130.16949153  13.83050847] ; [29.83050847  3.16949153],0
b4,1,0.063959,3.431618,[81 64] ; [13 21],[76.1452514 68.8547486] ; [17.8547486 16.1452514],0
s3,1,0.087229,2.924784,[ 39 104] ; [14 19],[43.0625 99.9375] ; [ 9.9375 23.0625],0
d1,1,0.09062,2.863327,[83 62] ; [14 20],[78.57541899 66.42458101] ; [18.42458101 15.57541899],0
s5,1,0.112034,2.525299,[ 24 121] ; [ 2 32],[ 21.06145251 123.93854749] ; [ 4.93854749 29.06145251],0
n5,1,0.124135,2.364353,[101  44] ; [19 15],[97.20670391 47.79329609] ; [22.79329609 11.20670391],0
d4,1,0.126104,2.339824,[111  34] ; [21 12],[107.52808989  37.47191011] ; [24.47191011  8.52808989],0
a3,1,0.169691,1.88567,[104  41] ; [19 13],[100.76271186  44.23728814] ; [22.23728814  9.76271186],0
d3,1,0.215322,1.535282,[94 51] ; [17 15],[90.93220339 54.06779661] ; [20.06779661 11.93220339],0
s4,1,0.261055,1.263153,[  9 136] ; [ 4 30],[ 10.53072626 134.46927374] ; [ 2.46927374 31.53072626],0
n1,1,0.310827,1.02716,[ 8 22] ; [4 5],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
u1,1,0.319585,0.990644,[ 17 128] ; [ 2 32],[ 15.39106145 129.60893855] ; [ 3.60893855 30.39106145],0
b1,1,0.327478,0.958846,[55 90] ; [16 18],[57.51396648 87.48603352] ; [13.48603352 20.51396648],0
s1,1,0.371587,0.79835,[  4 139] ; [ 2 32],[  4.84745763 138.15254237] ; [ 1.15254237 32.84745763],0
a4,1,0.40962,0.679903,[58 87] ; [11 23],[55.89385475 89.10614525] ; [13.10614525 20.89385475],0
n2,1,0.45881,0.548795,[21 10] ; [8 2],[21.92682927  9.07317073] ; [7.07317073 2.92682927],0
a8,1,0.624132,0.240102,[ 18 113] ; [ 3 26],[ 17.19375 113.80625] ; [ 3.80625 25.19375],0
n3,1,0.657255,0.196875,[27  5] ; [9 1],[27.42857143  4.57142857] ; [8.57142857 1.42857143],0
u2,1,0.825693,0.048501,[20 20] ; [8 7],[20.36363636 19.63636364] ; [7.63636364 7.36363636],0
s2,1,0.835872,0.042922,[ 32 112] ; [ 7 27],[ 31.5505618 112.4494382] ; [ 7.4494382 26.5505618],0
p6,1,0.895813,0.017148,[53 88] ; [12 21],[52.67241379 88.32758621] ; [12.32758621 20.67241379],0
u3,1,0.921474,0.009718,[17 24] ; [6 9],[16.83928571 24.16071429] ; [6.16071429 8.83928571],0
a6,1,0.933224,0.007021,[97 48] ; [23 11],[97.20670391 47.79329609] ; [22.79329609 11.20670391],0
a1,1,0.953636,0.00338,[  4 141] ; [ 1 33],[  4.05027933 140.94972067] ; [ 0.94972067 33.05027933],0
a7,1,0.959781,0.002543,[96 49] ; [22 11],[96.12359551 48.87640449] ; [21.87640449 11.12359551],0
a2,1,0.968974,0.001513,[ 26 119] ; [ 6 28],[ 25.92178771 119.07821229] ; [ 6.07821229 27.92178771],0
d2,1,0.986385,0.000291,[68 77] ; [16 18],[68.04469274 76.95530726] ; [15.95530726 18.04469274],0
