Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,24.37134,[59 51] ; [ 4 38],[45.59210526 64.40789474] ; [17.40789474 24.59210526],1
d2,1,8e-06,19.841265,[73 37] ; [11 31],[60.78947368 49.21052632] ; [23.21052632 18.78947368],1
a3,1,4.2e-05,16.789091,[91 19] ; [21 21],[81.05263158 28.94736842] ; [30.94736842 11.05263158],1
n4,1,0.000112,14.91688,[93 17] ; [23 19],[83.94736842 26.05263158] ; [32.05263158  9.94736842],1
d1,1,0.000134,14.591479,[81 29] ; [17 25],[70.92105263 39.07894737] ; [27.07894737 14.92105263],1
u1,1,0.000355,12.75766,[32 78] ; [ 1 41],[23.88157895 86.11842105] ; [ 9.11842105 32.88157895],1
p9,1,0.001536,10.035317,[99 11] ; [29 13],[92.63157895 17.36842105] ; [35.36842105  6.63157895],0
a6,1,0.002383,9.228242,[81 29] ; [20 22],[73.09210526 36.90789474] ; [27.90789474 14.09210526],0
d4,1,0.013792,6.064596,[95 15] ; [29 13],[89.73684211 20.26315789] ; [34.26315789  7.73684211],0
d5,1,0.021331,5.299525,[94 16] ; [29 13],[89.01315789 20.98684211] ; [33.98684211  8.01315789],0
p3,1,0.037842,4.312093,[60 50] ; [15 27],[54.27631579 55.72368421] ; [20.72368421 21.27631579],0
b2,1,0.040517,4.196108,[30 41] ; [ 4 18],[25.95698925 45.04301075] ; [ 8.04301075 13.95698925],0
b3,1,0.040517,4.196108,[30 41] ; [ 4 18],[25.95698925 45.04301075] ; [ 8.04301075 13.95698925],0
s5,1,0.063385,3.446525,[40 65] ; [ 9 32],[35.23972603 69.76027397] ; [13.76027397 27.23972603],0
d3,1,0.076592,3.135766,[77 33] ; [23 19],[72.36842105 37.63157895] ; [27.63157895 14.36842105],0
r2,1,0.076794,3.13147,[102   6] ; [36  6],[99.36  8.64] ; [38.64  3.36],0
p7,1,0.087759,2.915004,[73 37] ; [21 20],[68.47682119 41.52317881] ; [25.52317881 15.47682119],0
r1,1,0.122115,2.389987,[91 19] ; [30 12],[87.56578947 22.43421053] ; [33.43421053  8.56578947],0
p10,1,0.13029,2.289041,[95 15] ; [32 10],[91.90789474 18.09210526] ; [35.09210526  6.90789474],0
v4,1,0.146059,2.112939,[106   4] ; [38  4],[104.21052632   5.78947368] ; [39.78947368  2.21052632],0
r4,1,0.181212,1.787658,[102   8] ; [36  6],[99.86842105 10.13157895] ; [38.13157895  3.86842105],0
n3,1,0.194194,1.685508,[27  9] ; [6 5],[25.27659574 10.72340426] ; [7.72340426 3.27659574],0
n6,1,0.248069,1.334148,[97 13] ; [34  8],[94.80263158 15.19736842] ; [36.19736842  5.80263158],0
p1,1,0.257262,1.28343,[  7 103] ; [ 5 37],[  8.68421053 101.31578947] ; [ 3.31578947 38.68421053],0
p11,1,0.315665,1.006826,[87 23] ; [30 12],[84.67105263 25.32894737] ; [32.32894737  9.67105263],0
r3,1,0.365503,0.818896,[104   6] ; [38  4],[102.76315789   7.23684211] ; [39.23684211  2.76315789],0
p4,1,0.368962,0.807157,[69 41] ; [23 19],[66.57894737 43.42105263] ; [25.42105263 16.57894737],0
u3,1,0.370166,0.803107,[11  8] ; [15  6],[12.35  6.65] ; [13.65  7.35],0
b1,1,0.394897,0.72381,[44 66] ; [20 22],[46.31578947 63.68421053] ; [17.68421053 24.31578947],0
p8,1,0.4612,0.542981,[55 54] ; [24 18],[57.02649007 51.97350993] ; [21.97350993 20.02649007],0
v2,1,0.540108,0.37534,[50 57] ; [16 23],[48.36986301 58.63013699] ; [17.63013699 21.36986301],0
p5,1,0.585948,0.296717,[11 99] ; [ 3 39],[10.13157895 99.86842105] ; [ 3.86842105 38.13157895],0
n5,1,0.593236,0.28532,[80 29] ; [29 13],[78.68211921 30.31788079] ; [30.31788079 11.68211921],0
s7,1,0.602944,0.270578,[78 27] ; [28 12],[76.75862069 28.24137931] ; [29.24137931 10.75862069],0
s3,1,0.652419,0.202864,[80 30] ; [29 13],[78.88157895 31.11842105] ; [30.11842105 11.88157895],0
p12,1,0.690063,0.159017,[10 99] ; [ 3 39],[ 9.38410596 99.61589404] ; [ 3.61589404 38.38410596],0
b5,1,0.716777,0.131602,[54 56] ; [22 20],[55. 55.] ; [21. 21.],0
s2,1,0.727033,0.121853,[70 40] ; [28 14],[70.92105263 39.07894737] ; [27.07894737 14.92105263],0
p2,1,0.730268,0.118866,[89 21] ; [35  7],[89.73684211 20.26315789] ; [34.26315789  7.73684211],0
a7,1,0.779064,0.078702,[76 34] ; [30 12],[76.71052632 33.28947368] ; [29.28947368 12.71052632],0
s6,1,0.809025,0.058411,[89 20] ; [35  7],[89.50993377 19.49006623] ; [34.49006623  7.50993377],0
v3,1,0.812781,0.056093,[37 70] ; [13 27],[36.39455782 70.60544218] ; [13.60544218 26.39455782],0
u2,1,0.816275,0.053981,[12  7] ; [14  7],[12.35  6.65] ; [13.65  7.35],0
b4,1,0.851286,0.035148,[61 49] ; [24 18],[61.51315789 48.48684211] ; [23.48684211 18.51315789],0
