Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.007802,7.078327,[ 2 11] ; [7 3],[5.08695652 7.91304348] ; [3.91304348 6.08695652],0
p10,1,0.021133,5.315777,[ 2 10] ; [7 4],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
s6,1,0.021985,5.246983,[ 1 12] ; [5 5],[3.39130435 9.60869565] ; [2.60869565 7.39130435],0
p3,1,0.033277,4.531469,[ 1 12] ; [5 6],[3.25 9.75] ; [2.75 8.25],0
s2,1,0.033277,4.531469,[ 1 12] ; [5 6],[3.25 9.75] ; [2.75 8.25],0
p4,1,0.042583,4.111888,[ 2 11] ; [6 5],[4.33333333 8.66666667] ; [3.66666667 7.33333333],0
p2,1,0.044625,4.032767,[ 3 10] ; [7 4],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
s4,1,0.084835,2.969746,[ 1 12] ; [4 7],[ 2.70833333 10.29166667] ; [2.29166667 8.70833333],0
p11,1,0.106343,2.607745,[ 2 11] ; [5 6],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
s3,1,0.106343,2.607745,[ 2 11] ; [5 6],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
d5,1,0.106343,2.607745,[ 2 11] ; [5 6],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
b5,1,0.107364,2.592596,[4 9] ; [7 4],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
b4,1,0.107364,2.592596,[4 9] ; [7 4],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
p9,1,0.146145,2.112029,[4 8] ; [7 4],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
s7,1,0.161749,1.957794,[ 1 12] ; [3 7],[ 2.26086957 10.73913043] ; [1.73913043 8.26086957],0
n3,1,0.164264,1.934524,[3 6] ; [3 1],[4.15384615 4.84615385] ; [1.84615385 2.15384615],0
b1,1,0.188274,1.731069,[6 7] ; [8 3],[7.58333333 5.41666667] ; [6.41666667 4.58333333],0
a6,1,0.188274,1.731069,[7 6] ; [3 8],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
s8,1,0.199674,1.644755,[ 1 12] ; [3 8],[ 2.16666667 10.83333333] ; [1.83333333 9.16666667],0
r1,1,0.236958,1.398601,[ 2 11] ; [4 7],[3.25 9.75] ; [2.75 8.25],0
d3,1,0.236958,1.398601,[ 2 11] ; [4 7],[3.25 9.75] ; [2.75 8.25],0
p7,1,0.246566,1.342657,[ 3 10] ; [5 6],[4.33333333 8.66666667] ; [3.66666667 7.33333333],0
v1,1,0.246566,1.342657,[ 3 10] ; [5 6],[4.33333333 8.66666667] ; [3.66666667 7.33333333],0
n4,1,0.276116,1.186108,[8 5] ; [9 2],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
v3,1,0.359637,0.839161,[ 3 10] ; [ 1 10],[ 2.16666667 10.83333333] ; [1.83333333 9.16666667],0
p1,1,0.359637,0.839161,[ 3 10] ; [ 1 10],[ 2.16666667 10.83333333] ; [1.83333333 9.16666667],0
p6,1,0.399557,0.709658,[ 2 11] ; [3 7],[ 2.82608696 10.17391304] ; [2.17391304 7.82608696],0
a5,1,0.430727,0.620862,[5 8] ; [6 5],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
d2,1,0.477968,0.503497,[4 9] ; [2 9],[3.25 9.75] ; [2.75 8.25],0
n2,1,0.568618,0.325,[3 6] ; [2 2],[3.46153846 5.53846154] ; [1.53846154 2.46153846],0
a2,1,0.642271,0.215784,[ 2 11] ; [ 1 10],[ 1.625 11.375] ; [1.375 9.625],0
a8,1,0.642271,0.215784,[ 2 11] ; [ 1 10],[ 1.625 11.375] ; [1.375 9.625],0
a7,1,0.682046,0.167832,[6 7] ; [6 5],[6.5 6.5] ; [5.5 5.5],0
r2,1,0.682046,0.167832,[7 6] ; [5 6],[6.5 6.5] ; [5.5 5.5],0
p8,1,0.692103,0.156818,[3 9] ; [2 9],[2.60869565 9.39130435] ; [2.39130435 8.60869565],0
u2,1,0.825498,0.048611,[1 7] ; [1 5],[1.14285714 6.85714286] ; [0.85714286 5.14285714],0
a4,1,0.851054,0.035259,[4 9] ; [3 8],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
n1,1,0.852876,0.034392,[5 4] ; [2 2],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
s1,1,0.854632,0.033566,[ 2 11] ; [2 9],[ 2.16666667 10.83333333] ; [1.83333333 9.16666667],0
n5,1,0.854632,0.033566,[11  2] ; [9 2],[10.83333333  2.16666667] ; [9.16666667 1.83333333],0
a3,1,0.854757,0.033508,[5 7] ; [5 6],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
d1,1,0.901694,0.015257,[ 1 12] ; [ 1 10],[ 1.08333333 11.91666667] ; [ 0.91666667 10.08333333],0
