Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,74.657071,[373 162] ; [ 60 120],[323.99300699 211.00699301] ; [109.00699301  70.99300699],1
d2,1,0.0,71.042439,[318 215] ; [ 42 138],[269.11640954 263.88359046] ; [90.88359046 89.11640954],1
a3,1,0.0,65.240642,[428 106] ; [87 91],[386.25 147.75] ; [128.75  49.25],1
a4,1,0.0,62.076385,[291 242] ; [ 37 142],[245.53932584 287.46067416] ; [82.46067416 96.53932584],1
u1,1,0.0,42.165342,[133 402] ; [  5 175],[103.25874126 431.74125874] ; [ 34.74125874 145.25874126],1
d4,1,0.0,32.549906,[465  69] ; [123  57],[439.76470588  94.23529412] ; [148.23529412  31.76470588],1
d5,1,0.0,32.186395,[462  72] ; [121  58],[436.63674614  97.36325386] ; [146.36325386  32.63674614],1
a6,1,0.0,30.954566,[395 139] ; [93 87],[364.97478992 169.02521008] ; [123.02521008  56.97478992],1
r1,1,0.0,26.030557,[472  61] ; [130  49],[450.65449438  82.34550562] ; [151.34550562  27.65449438],1
d3,1,7.1e-05,15.772142,[395 140] ; [104  75],[373.90056022 161.09943978] ; [125.09943978  53.90056022],1
n4,1,7.8e-05,15.617187,[455  79] ; [129  50],[437.38569425  96.61430575] ; [146.61430575  32.38569425],1
p10,1,0.000213,13.712702,[463  67] ; [134  43],[447.53889675  82.46110325] ; [149.46110325  27.53889675],1
s5,1,0.000555,11.921056,[209 305] ; [ 45 128],[190.03784571 323.96215429] ; [ 63.96215429 109.03784571],1
s8,1,0.000728,11.415608,[268 261] ; [ 65 115],[248.4583921 280.5416079] ; [84.5416079 95.4583921],1
s7,1,0.000925,10.972511,[282 231] ; [ 69 102],[263.25 249.75] ; [87.75 83.25],1
p9,1,0.001292,10.354088,[473  56] ; [140  35],[460.62073864  68.37926136] ; [152.37926136  22.62073864],0
v2,1,0.002528,9.120137,[315 203] ; [82 90],[298.03768116 219.96231884] ; [98.96231884 73.03768116],0
p4,1,0.002578,9.084547,[346 185] ; [94 85],[329.07042254 201.92957746] ; [110.92957746  68.07042254],0
v1,1,0.002955,8.835307,[308 215] ; [81 95],[291.05436338 231.94563662] ; [97.94563662 78.05436338],0
b2,1,0.003364,8.598957,[144 191] ; [27 74],[131.38761468 203.61238532] ; [39.61238532 61.38761468],0
b3,1,0.003364,8.598957,[144 191] ; [27 74],[131.38761468 203.61238532] ; [39.61238532 61.38761468],0
n5,1,0.00428,8.16096,[443  91] ; [131  48],[429.89621318 104.10378682] ; [144.10378682  34.89621318],0
p8,1,0.004899,7.916453,[303 220] ; [82 97],[286.83048433 236.16951567] ; [98.16951567 80.83048433],0
p3,1,0.005317,7.768453,[292 241] ; [ 77 103],[275.84431978 257.15568022] ; [93.15568022 86.84431978],0
p2,1,0.013821,6.060862,[458  74] ; [141  39],[447.56741573  84.43258427] ; [151.43258427  28.56741573],0
v4,1,0.020669,5.354504,[527   8] ; [172   8],[523.02797203  11.97202797] ; [175.97202797   4.02797203],0
r2,1,0.031934,4.602058,[524   7] ; [173   7],[520.5443038  10.4556962] ; [176.4556962   3.5443038],0
u4,1,0.042676,4.108199,[ 18 517] ; [  1 179],[ 14.21678322 520.78321678] ; [  4.78321678 175.21678322],0
s2,1,0.064381,3.420759,[289 240] ; [83 95],[278.34229137 250.65770863] ; [93.65770863 84.34229137],0
s6,1,0.071305,3.252713,[377 143] ; [115  61],[367.5862069 152.4137931] ; [124.4137931  51.5862069],0
