Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.007338,7.188341,[22  7] ; [ 9 14],[17.28846154 11.71153846] ; [13.71153846  9.28846154],0
p11,1,0.017127,5.683358,[22  7] ; [10 13],[17.84615385 11.15384615] ; [14.15384615  8.84615385],0
r3,1,0.022243,5.226708,[22  6] ; [11 12],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
b1,1,0.03499,4.445668,[13 16] ; [17  6],[16.73076923 12.26923077] ; [13.26923077  9.73076923],0
p7,1,0.037052,4.348037,[ 7 22] ; [12 11],[10.59615385 18.40384615] ; [ 8.40384615 14.59615385],0
p9,1,0.038192,4.296437,[19  8] ; [ 9 13],[15.42857143 11.57142857] ; [12.57142857  9.42857143],0
s8,1,0.076187,3.144428,[10 19] ; [ 3 20],[ 7.25 21.75] ; [ 5.75 17.25],0
b4,1,0.077,3.127103,[23  6] ; [13 10],[20.07692308  8.92307692] ; [15.92307692  7.07692308],0
n4,1,0.100116,2.703688,[18 11] ; [ 9 14],[15.05769231 13.94230769] ; [11.94230769 11.05769231],0
r4,1,0.126184,2.338831,[ 9 20] ; [ 3 20],[ 6.69230769 22.30769231] ; [ 5.30769231 17.69230769],0
s2,1,0.128562,2.309783,[ 7 21] ; [ 2 21],[ 4.94117647 23.05882353] ; [ 4.05882353 18.94117647],0
a4,1,0.146823,2.104948,[ 5 24] ; [ 8 15],[ 7.25 21.75] ; [ 5.75 17.25],0
p10,1,0.164094,1.936085,[17 11] ; [ 9 13],[14.56 13.44] ; [11.44 10.56],0
a1,1,0.197176,1.663168,[ 1 28] ; [ 3 20],[ 2.23076923 26.76923077] ; [ 1.76923077 21.23076923],0
a2,1,0.197176,1.663168,[ 1 28] ; [ 3 20],[ 2.23076923 26.76923077] ; [ 1.76923077 21.23076923],0
p2,1,0.199676,1.644741,[19 10] ; [11 12],[16.73076923 12.26923077] ; [13.26923077  9.73076923],0
d5,1,0.250174,1.322334,[16 13] ; [ 9 14],[13.94230769 15.05769231] ; [11.05769231 11.94230769],0
d1,1,0.259137,1.273363,[ 9 20] ; [ 4 19],[ 7.25 21.75] ; [ 5.75 17.25],0
n1,1,0.293803,1.102114,[ 2 11] ; [4 8],[3.12 9.88] ; [2.88 9.12],0
p4,1,0.313732,1.014898,[10 19] ; [ 5 18],[ 8.36538462 20.63461538] ; [ 6.63461538 16.36538462],0
