Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,36.367973,[ 28 319] ; [19 32],[ 40.97738693 306.02261307] ; [ 6.02261307 44.97738693],1
p1,1,0.0,32.478009,[ 19 327] ; [15 36],[ 29.63224181 316.36775819] ; [ 4.36775819 46.63224181],1
p8,1,0.0,26.784037,[170 173] ; [45  6],[187.17005076 155.82994924] ; [27.82994924 23.17005076],1
p4,1,2e-06,23.065946,[216 132] ; [49  2],[231.12781955 116.87218045] ; [33.87218045 17.12781955],1
p6,1,2.2e-05,17.996611,[138 206] ; [36 14],[151.91878173 192.08121827] ; [22.08121827 27.91878173],1
p3,1,2.6e-05,17.670043,[178 171] ; [42  9],[191.95 157.05] ; [28.05 22.95],1
s5,1,7.7e-05,15.636551,[152 180] ; [36 11],[164.68601583 167.31398417] ; [23.31398417 23.68601583],1
a1,1,0.001421,10.178483,[ 19 330] ; [ 9 42],[ 24.43 324.57] ; [ 3.57 47.43],0
v1,1,0.003702,8.424358,[190 147] ; [39 11],[199.41343669 137.58656331] ; [29.58656331 20.41343669],0
p7,1,0.006386,7.437959,[215 121] ; [41  8],[223.41818182 112.58181818] ; [32.58181818 16.41818182],0
n6,1,0.006505,7.40478,[287  56] ; [50  1],[293.37817259  49.62182741] ; [43.62182741  7.37817259],0
n5,1,0.006751,7.338119,[260  86] ; [47  4],[267.56171285  78.43828715] ; [39.43828715 11.56171285],0
u4,1,0.008729,6.877506,[  9 340] ; [ 5 46],[ 12.215 336.785] ; [ 1.785 49.215],0
v3,1,0.013006,6.168235,[138 196] ; [30 20],[146.125 187.875] ; [21.875 28.125],0
n4,1,0.01463,5.960443,[269  79] ; [47  4],[275.60902256  72.39097744] ; [40.39097744 10.60902256],0
b5,1,0.020826,5.341331,[223 126] ; [24 27],[215.5075 133.4925] ; [31.4925 19.5075],0
p2,1,0.023522,5.129508,[293  55] ; [49  2],[298.28571429  49.71428571] ; [43.71428571  7.28571429],0
s7,1,0.03221,4.587281,[223 110] ; [41  9],[229.53524804 103.46475196] ; [34.46475196 15.53524804],0
s8,1,0.039524,4.238212,[207 141] ; [38 13],[213.68421053 134.31578947] ; [31.31578947 19.68421053],0
s6,1,0.052359,3.764268,[296  47] ; [48  2],[300.23409669  42.76590331] ; [43.76590331  6.23409669],0
p9,1,0.063819,3.435248,[298  44] ; [49  2],[301.96946565  40.03053435] ; [45.03053435  5.96946565],0
n1,1,0.093749,2.808789,[29 48] ; [6 3],[31.3372093 45.6627907] ; [3.6627907 5.3372093],0
a3,1,0.10616,2.61047,[265  83] ; [44  7],[269.5037594  78.4962406] ; [39.4962406 11.5037594],0
n3,1,0.11296,2.512316,[55 23] ; [4 5],[52.89655172 25.10344828] ; [6.10344828 2.89655172],0
p11,1,0.117125,2.455349,[267  82] ; [44  7],[271.3475  77.6525] ; [39.6525 11.3475],0
p10,1,0.131217,2.278052,[291  55] ; [47  4],[294.57934509  51.42065491] ; [43.42065491  7.57934509],0
r4,1,0.191405,1.706774,[316  33] ; [49  2],[318.4625  30.5375] ; [46.5375  4.4625],0
a6,1,0.270618,1.213613,[232 116] ; [30 21],[228.5112782 119.4887218] ; [33.4887218 17.5112782],0
d1,1,0.29122,1.113971,[249 100] ; [40 11],[252.1525  96.8475] ; [36.8475 14.1525],0
a2,1,0.377841,0.777716,[103 246] ; [12 39],[100.3375 248.6625] ; [14.6625 36.3375],0
v2,1,0.437334,0.603267,[205 127] ; [28 22],[202.5026178 129.4973822] ; [30.4973822 19.5026178],0
b1,1,0.449759,0.571259,[138 211] ; [23 28],[140.4725 208.5275] ; [20.5275 30.4725],0
s3,1,0.455099,0.557922,[299  47] ; [46  5],[300.68010076  45.31989924] ; [44.31989924  6.68010076],0
s4,1,0.4777,0.50411,[ 83 261] ; [10 41],[ 80.99240506 263.00759494] ; [12.00759494 38.99240506],0
b2,1,0.53186,0.390836,[ 83 124] ; [16 19],[ 84.68181818 122.31818182] ; [14.31818182 20.68181818],0
b3,1,0.53186,0.390836,[ 83 124] ; [16 19],[ 84.68181818 122.31818182] ; [14.31818182 20.68181818],0
r2,1,0.548541,0.359938,[331  14] ; [48  3],[330.18939394  14.81060606] ; [48.81060606  2.18939394],0
b4,1,0.550093,0.357151,[207 142] ; [28 23],[205.0375 143.9625] ; [29.9625 21.0375],0
v4,1,0.574293,0.315552,[335  12] ; [50  1],[335.66582915  11.33417085] ; [49.33417085  1.66582915],0
a5,1,0.584056,0.299723,[272  77] ; [38 13],[270.475  78.525] ; [39.525 11.475],0
s1,1,0.626727,0.236525,[ 15 329] ; [ 3 48],[ 15.67594937 328.32405063] ; [ 2.32405063 48.67594937],0
r3,1,0.63518,0.225102,[335  11] ; [50  1],[335.54156171  10.45843829] ; [49.45843829  1.54156171],0
u1,1,0.663379,0.189445,[ 85 264] ; [11 40],[ 83.76 265.24] ; [12.24 38.76],0
d2,1,0.67925,0.170971,[194 154] ; [30 21],[195.36842105 152.63157895] ; [28.63157895 22.36842105],0
d5,1,0.737667,0.112187,[302  47] ; [45  6],[302.7575  46.2425] ; [44.2425  6.7575],0
a7,1,0.774916,0.081768,[259  89] ; [37 14],[258.16541353  89.83458647] ; [37.83458647 13.16541353],0
d3,1,0.79483,0.067623,[268  81] ; [40 11],[268.73  80.27] ; [39.27 11.73],0
a8,1,0.836567,0.042554,[ 51 273] ; [ 7 41],[ 50.51612903 273.48387097] ; [ 7.48387097 40.51612903],0
u2,1,0.847561,0.036953,[55 26] ; [5 2],[55.22727273 25.77272727] ; [4.77272727 2.22727273],0
n2,1,0.871232,0.026274,[58 19] ; [7 2],[58.19767442 18.80232558] ; [6.80232558 2.19767442],0
a4,1,0.94144,0.005396,[176 173] ; [26 25],[176.245 172.755] ; [25.755 25.245],0
u3,1,0.97644,0.000872,[59 23] ; [5 2],[58.96629213 23.03370787] ; [5.03370787 1.96629213],0
r1,1,0.990524,0.000141,[286  61] ; [42  9],[285.96984925  61.03015075] ; [42.03015075  8.96984925],0
