Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.972898,[81 11] ; [ 9 17],[70.16949153 21.83050847] ; [19.83050847  6.16949153],1
s3,1,0.001561,10.005068,[59 31] ; [ 8 18],[51.98275862 38.01724138] ; [15.01724138 10.98275862],0
s6,1,0.00595,7.565509,[69 23] ; [11 13],[63.44827586 28.55172414] ; [16.55172414  7.44827586],0
p9,1,0.011107,6.448062,[80 12] ; [17  9],[75.62711864 16.37288136] ; [21.37288136  4.62711864],0
a5,1,0.014824,5.937247,[63 29] ; [11 15],[57.69491525 34.30508475] ; [16.30508475  9.69491525],0
v1,1,0.023724,5.114665,[57 33] ; [10 16],[51.98275862 38.01724138] ; [15.01724138 10.98275862],0
p10,1,0.048959,3.876748,[73 18] ; [16 10],[69.22222222 21.77777778] ; [19.77777778  6.22222222],0
r1,1,0.062545,3.468582,[73 19] ; [16 10],[69.38983051 22.61016949] ; [19.61016949  6.38983051],0
n6,1,0.064457,3.418831,[80 11] ; [19  7],[77. 14.] ; [22.  4.],0
p4,1,0.098271,2.73339,[59 33] ; [12 14],[55.3559322 36.6440678] ; [15.6440678 10.3559322],0
a3,1,0.129005,2.304441,[61 31] ; [13 13],[57.69491525 34.30508475] ; [16.30508475  9.69491525],0
a7,1,0.15869,1.986663,[60 32] ; [20  5],[62.90598291 29.09401709] ; [17.09401709  7.90598291],0
s8,1,0.203121,1.619794,[50 42] ; [10 15],[47.17948718 44.82051282] ; [12.82051282 12.17948718],0
a4,1,0.214638,1.539863,[44 47] ; [ 9 17],[41.22222222 49.77777778] ; [11.77777778 14.22222222],0
v3,1,0.245,1.351593,[31 57] ; [ 6 20],[28.56140351 59.43859649] ; [ 8.43859649 17.56140351],0
v2,1,0.272566,1.203789,[48 40] ; [11 15],[45.54385965 42.45614035] ; [13.45614035 12.54385965],0
b4,1,0.273138,1.200919,[57 35] ; [13 13],[54.57627119 37.42372881] ; [15.42372881 10.57627119],0
s2,1,0.273982,1.196703,[53 38] ; [12 14],[50.55555556 40.44444444] ; [14.44444444 11.55555556],0
d1,1,0.299805,1.07506,[53 39] ; [12 14],[50.6779661 41.3220339] ; [14.3220339 11.6779661],0
v4,1,0.321944,0.981034,[89  3] ; [24  2],[88.10169492  3.89830508] ; [24.89830508  1.10169492],0
b5,1,0.351313,0.868709,[62 30] ; [20  6],[63.93220339 28.06779661] ; [18.06779661  7.93220339],0
r3,1,0.410741,0.676656,[84  8] ; [25  1],[84.98305085  7.01694915] ; [24.01694915  1.98305085],0
p2,1,0.427604,0.629324,[80 12] ; [21  5],[78.74576271 13.25423729] ; [22.25423729  3.74576271],0
d5,1,0.43326,0.614068,[73 19] ; [18  7],[71.55555556 20.44444444] ; [19.44444444  5.55555556],0
b1,1,0.45189,0.565907,[32 60] ; [ 7 19],[30.40677966 61.59322034] ; [ 8.59322034 17.40677966],0
p8,1,0.460029,0.545825,[50 42] ; [12 14],[48.33898305 43.66101695] ; [13.66101695 12.33898305],0
u1,1,0.4734,0.51403,[16 76] ; [ 3 23],[14.81355932 77.18644068] ; [ 4.18644068 21.81355932],0
p11,1,0.495748,0.464026,[73 19] ; [19  7],[71.72881356 20.27118644] ; [20.27118644  5.72881356],0
a2,1,0.549377,0.358435,[19 73] ; [ 4 22],[17.93220339 74.06779661] ; [ 5.06779661 20.93220339],0
b3,1,0.556142,0.346428,[24 30] ; [5 9],[23.02941176 30.97058824] ; [5.97058824 8.02941176],0
b2,1,0.556142,0.346428,[24 30] ; [5 9],[23.02941176 30.97058824] ; [5.97058824 8.02941176],0
n1,1,0.563341,0.333952,[10 12] ; [5 9],[ 9.16666667 12.83333333] ; [5.83333333 8.16666667],0
d4,1,0.601204,0.273184,[75 17] ; [20  6],[74.06779661 17.93220339] ; [20.93220339  5.06779661],0
d2,1,0.618441,0.248065,[44 48] ; [11 15],[42.88135593 49.11864407] ; [12.11864407 13.88135593],0
a6,1,0.619877,0.24604,[58 34] ; [15 11],[56.91525424 35.08474576] ; [16.08474576  9.91525424],0
d3,1,0.65058,0.20517,[65 26] ; [19  6],[65.89655172 25.10344828] ; [18.10344828  6.89655172],0
s4,1,0.672438,0.178764,[14 75] ; [ 5 21],[14.70434783 74.29565217] ; [ 4.29565217 21.70434783],0
s1,1,0.697145,0.151459,[ 5 84] ; [ 2 24],[ 5.4173913 83.5826087] ; [ 1.5826087 24.4173913],0
r2,1,0.736828,0.112934,[86  5] ; [25  1],[86.33333333  4.66666667] ; [24.66666667  1.33333333],0
p1,1,0.746165,0.104781,[ 9 83] ; [ 2 24],[ 8.57627119 83.42372881] ; [ 2.42372881 23.57627119],0
a8,1,0.755343,0.097096,[12 73] ; [ 4 20],[12.47706422 72.52293578] ; [ 3.52293578 20.47706422],0
s5,1,0.764537,0.089717,[31 57] ; [ 8 17],[30.37168142 57.62831858] ; [ 8.62831858 16.37168142],0
s7,1,0.838541,0.041518,[46 42] ; [13 13],[45.54385965 42.45614035] ; [13.45614035 12.54385965],0
p7,1,0.864505,0.029119,[69 21] ; [18  6],[68.68421053 21.31578947] ; [18.31578947  5.68421053],0
n2,1,0.904273,0.014464,[16  7] ; [10  4],[16.16216216  6.83783784] ; [9.83783784 4.16216216],0
a1,1,0.910721,0.012573,[ 4 88] ; [ 1 25],[ 3.89830508 88.10169492] ; [ 1.10169492 24.89830508],0
r4,1,0.923372,0.009252,[82 10] ; [23  3],[81.86440678 10.13559322] ; [23.13559322  2.86440678],0
n3,1,0.932412,0.007193,[16  6] ; [10  4],[15.88888889  6.11111111] ; [10.11111111  3.88888889],0
u3,1,0.951895,0.003639,[17 14] ; [7 6],[16.90909091 14.09090909] ; [7.09090909 5.90909091],0
u2,1,0.987695,0.000238,[19 12] ; [8 5],[19.02272727 11.97727273] ; [7.97727273 5.02272727],0
