Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.7e-05,18.530487,[ 7 10] ; [75 11],[13.53398058  3.46601942] ; [68.46601942 17.53398058],1
r2,1,5e-05,16.443251,[12  4] ; [85  1],[15.21568627  0.78431373] ; [81.78431373  4.21568627],1
p9,1,8.3e-05,15.483524,[ 4 13] ; [61 22],[11.05  5.95] ; [53.95 29.05],1
r3,1,0.000291,13.129787,[12  5] ; [82  3],[15.66666667  1.33333333] ; [78.33333333  6.66666667],1
s7,1,0.002427,9.194892,[ 2 12] ; [46 33],[7.22580645 6.77419355] ; [40.77419355 38.22580645],0
s8,1,0.004222,8.18558,[ 2 15] ; [42 43],[7.33333333 9.66666667] ; [36.66666667 48.33333333],0
p10,1,0.004717,7.984881,[ 5 12] ; [55 28],[10.2  6.8] ; [49.8 33.2],0
s2,1,0.0123,6.267085,[ 5 12] ; [53 32],[9.66666667 7.33333333] ; [48.33333333 36.66666667],0
p2,1,0.019713,5.4371,[ 7 10] ; [60 25],[11.16666667  5.83333333] ; [55.83333333 29.16666667],0
a5,1,0.023446,5.135143,[9 8] ; [68 18],[12.70873786  4.29126214] ; [64.29126214 21.70873786],0
n3,1,0.025483,4.990741,[4 5] ; [20  4],[6.54545455 2.45454545] ; [17.45454545  6.54545455],0
p8,1,0.040968,4.177329,[ 2 15] ; [31 52],[ 5.61 11.39] ; [27.39 55.61],0
s3,1,0.041502,4.15541,[ 5 12] ; [48 37],[8.83333333 8.16666667] ; [44.16666667 40.83333333],0
n1,1,0.041729,4.146154,[1 8] ; [12 12],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
s6,1,0.044145,4.051022,[9 8] ; [63 19],[12.36363636  4.63636364] ; [59.63636364 22.36363636],0
n6,1,0.050824,3.814068,[9 8] ; [64 20],[12.28712871  4.71287129] ; [60.71287129 23.28712871],0
n2,1,0.053239,3.736413,[4 5] ; [19  5],[6.27272727 2.72727273] ; [16.72727273  7.27272727],0
a4,1,0.057186,3.617171,[ 5 12] ; [47 39],[8.58252427 8.41747573] ; [43.41747573 42.58252427],0
a2,1,0.059814,3.542541,[ 2 15] ; [30 56],[ 5.2815534 11.7184466] ; [26.7184466 59.2815534],0
v1,1,0.068846,3.310331,[ 6 11] ; [51 35],[9.40776699 7.59223301] ; [47.59223301 38.40776699],0
p4,1,0.08466,2.973094,[ 5 11] ; [46 38],[8.16 7.84] ; [42.84 41.16],0
p7,1,0.092487,2.830549,[ 5 11] ; [45 38],[8.08080808 7.91919192] ; [41.91919192 41.08080808],0
u1,1,0.104235,2.639515,[ 1 16] ; [20 66],[ 3.46601942 13.53398058] ; [17.53398058 68.46601942],0
a6,1,0.109461,2.561986,[8 9] ; [58 28],[10.89320388  6.10679612] ; [55.10679612 30.89320388],0
s1,1,0.151108,2.061031,[ 2 15] ; [ 3 82],[ 0.83333333 16.16666667] ; [ 4.16666667 80.83333333],0
v4,1,0.154566,2.026603,[14  3] ; [80  6],[15.51456311  1.48543689] ; [78.48543689  7.51456311],0
p6,1,0.186225,1.747236,[ 4 12] ; [35 47],[6.36734694 9.63265306] ; [32.63265306 49.36734694],0
a3,1,0.231402,1.432223,[10  7] ; [63 23],[12.04854369  4.95145631] ; [60.95145631 25.04854369],0
s5,1,0.236213,1.403053,[ 4 12] ; [33 48],[6.10309278 9.89690722] ; [30.89690722 50.10309278],0
v3,1,0.26913,1.221178,[ 6 11] ; [41 41],[8.07070707 8.92929293] ; [38.92929293 43.07070707],0
n5,1,0.297509,1.085328,[8 9] ; [51 33],[9.93069307 7.06930693] ; [49.06930693 34.93069307],0
b1,1,0.309381,1.033314,[10  7] ; [39 47],[8.08737864 8.91262136] ; [40.91262136 45.08737864],0
d5,1,0.310046,1.030479,[16  1] ; [73 13],[14.68932039  2.31067961] ; [74.31067961 11.68932039],0
p3,1,0.317986,0.997214,[ 5 11] ; [38 47],[6.81188119 9.18811881] ; [36.18811881 48.81188119],0
