Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,8e-06,19.965717,[43 12] ; [30 47],[30.41666667 24.58333333] ; [42.58333333 34.41666667],1
s7,1,0.002785,8.94331,[26 24] ; [19 55],[18.14516129 31.85483871] ; [26.85483871 47.14516129],0
v1,1,0.003622,8.463989,[41 15] ; [37 40],[32.84210526 23.15789474] ; [45.15789474 31.84210526],0
n4,1,0.012854,6.18904,[52  4] ; [59 18],[46.73684211  9.26315789] ; [64.26315789 12.73684211],0
p12,1,0.024162,5.08297,[ 7 48] ; [ 2 74],[ 3.77862595 51.22137405] ; [ 5.22137405 70.77862595],0
a3,1,0.032227,4.586404,[42 13] ; [45 32],[36.25 18.75] ; [50.75 26.25],0
p9,1,0.032868,4.552653,[51  4] ; [61 16],[46.66666667  8.33333333] ; [65.33333333 11.66666667],0
p10,1,0.05291,3.746745,[48  7] ; [55 20],[43.57692308 11.42307692] ; [59.42307692 15.57692308],0
n5,1,0.060055,3.535869,[47  9] ; [53 23],[42.42424242 13.57575758] ; [57.57575758 18.42424242],0
p3,1,0.078126,3.103463,[39 17] ; [42 35],[34.10526316 21.89473684] ; [46.89473684 30.10526316],0
p5,1,0.078665,3.092277,[12 44] ; [ 8 69],[ 8.42105263 47.57894737] ; [11.57894737 65.42105263],0
b4,1,0.091742,2.843537,[40 16] ; [44 33],[35.36842105 20.63157895] ; [48.63157895 28.36842105],0
d1,1,0.132417,2.26394,[35 21] ; [38 39],[30.73684211 25.26315789] ; [42.26315789 34.73684211],0
u3,1,0.164973,1.928039,[5 9] ; [18 13],[7.15555556 6.84444444] ; [15.84444444 15.15555556],0
d3,1,0.170743,1.87641,[41 15] ; [47 29],[37.33333333 18.66666667] ; [50.66666667 25.33333333],0
n6,1,0.185496,1.753036,[51  5] ; [64 13],[48.42105263  7.57894737] ; [66.57894737 10.42105263],0
v4,1,0.196519,1.668054,[55  1] ; [72  5],[53.47368421  2.52631579] ; [73.52631579  3.47368421],0
r4,1,0.208303,1.583185,[53  3] ; [68  9],[50.94736842  5.05263158] ; [70.05263158  6.94736842],0
a1,1,0.212399,1.554999,[ 4 52] ; [ 2 75],[ 2.52631579 53.47368421] ; [ 3.47368421 73.52631579],0
p11,1,0.212579,1.553777,[49  7] ; [61 16],[46.31578947  9.68421053] ; [63.68421053 13.31578947],0
a6,1,0.213599,1.546863,[40 16] ; [47 30],[36.63157895 19.36842105] ; [50.36842105 26.63157895],0
