Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.1e-05,18.072535,[103 155] ; [41 17],[117.56962025 140.43037975] ; [26.43037975 31.56962025],1
s3,1,0.000114,14.896222,[123 134] ; [44 14],[136.25079365 120.74920635] ; [30.74920635 27.25079365],1
s6,1,0.00039,12.578935,[138 118] ; [46 12],[150.01273885 105.98726115] ; [33.98726115 24.01273885],1
s7,1,0.004124,8.228508,[ 91 154] ; [33 24],[100.59602649 144.40397351] ; [23.40397351 33.59602649],0
s5,1,0.006018,7.544988,[ 59 195] ; [22 31],[ 67.01628664 186.98371336] ; [13.98371336 39.01628664],0
n4,1,0.019043,5.497546,[184  75] ; [32 26],[176.47949527  82.52050473] ; [39.52050473 18.47949527],0
a8,1,0.028815,4.778633,[ 35 204] ; [ 2 52],[ 30.18088737 208.81911263] ; [ 6.81911263 47.18088737],0
b5,1,0.041122,4.17096,[150 109] ; [42 16],[156.87066246 102.12933754] ; [35.12933754 22.87066246],0
n3,1,0.046795,3.952754,[53 23] ; [15  1],[56.17391304 19.82608696] ; [11.82608696  4.17391304],0
v4,1,0.060234,3.530937,[233  23] ; [57  1],[236.43312102  19.56687898] ; [53.56687898  4.43312102],0
p5,1,0.069817,3.287314,[ 22 234] ; [ 1 57],[ 18.75159236 237.24840764] ; [ 4.24840764 53.75159236],0
r4,1,0.072033,3.236073,[225  34] ; [45 13],[220.59936909  38.40063091] ; [49.40063091  8.59936909],0
a5,1,0.085225,2.962323,[182  77] ; [34 24],[176.47949527  82.52050473] ; [39.52050473 18.47949527],0
u3,1,0.089702,2.879706,[39 38] ; [15  6],[42.42857143 34.57142857] ; [11.57142857  9.42857143],0
s8,1,0.091659,2.844998,[ 81 176] ; [25 33],[ 86.48253968 170.51746032] ; [19.51746032 38.48253968],0
p1,1,0.108626,2.574098,[ 19 237] ; [ 1 57],[ 16.30573248 239.69426752] ; [ 3.69426752 54.30573248],0
p9,1,0.144828,2.125898,[191  63] ; [48  9],[195.19614148  58.80385852] ; [43.80385852 13.19614148],0
