Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000141,14.494655,[17 24] ; [38  9],[25.625 15.375] ; [29.375 17.625],1
p7,1,0.001317,10.31791,[23 16] ; [41  5],[29.36470588  9.63529412] ; [34.63529412 11.36470588],0
s7,1,0.009915,6.650063,[10 29] ; [24 21],[15.78571429 23.21428571] ; [18.21428571 26.78571429],0
a5,1,0.011519,6.383428,[16 25] ; [31 16],[21.89772727 19.10227273] ; [25.10227273 21.89772727],0
n6,1,0.019615,5.445808,[31 10] ; [43  3],[34.87356322  6.12643678] ; [39.12643678  6.87356322],0
a3,1,0.026132,4.947241,[13 28] ; [26 21],[18.17045455 22.82954545] ; [20.82954545 26.17045455],0
d4,1,0.040526,4.195721,[24 17] ; [37 10],[28.42045455 12.57954545] ; [32.57954545 14.42045455],0
p6,1,0.046382,3.967654,[14 27] ; [25 20],[18.59302326 22.40697674] ; [20.40697674 24.59302326],0
p1,1,0.079767,3.069641,[ 2 38] ; [ 8 39],[ 4.59770115 35.40229885] ; [ 5.40229885 41.59770115],0
d1,1,0.082465,3.015642,[11 30] ; [21 26],[14.90909091 26.09090909] ; [17.09090909 29.90909091],0
a6,1,0.094967,2.788094,[18 23] ; [29 18],[21.89772727 19.10227273] ; [25.10227273 21.89772727],0
s5,1,0.114848,2.486212,[ 7 33] ; [14 29],[10.12048193 29.87951807] ; [10.87951807 32.12048193],0
n5,1,0.128306,2.312876,[25 16] ; [35 11],[28.27586207 12.72413793] ; [31.72413793 14.27586207],0
s8,1,0.136285,2.219408,[12 29] ; [21 26],[15.375 25.625] ; [17.625 29.375],0
b3,1,0.167578,1.904476,[ 4 19] ; [10 19],[ 6.19230769 16.80769231] ; [ 7.80769231 21.19230769],0
b2,1,0.167578,1.904476,[ 4 19] ; [10 19],[ 6.19230769 16.80769231] ; [ 7.80769231 21.19230769],0
s6,1,0.16801,1.900611,[20 18] ; [31 15],[23.07142857 14.92857143] ; [27.92857143 18.07142857],0
d5,1,0.17297,1.857013,[24 17] ; [34 13],[27.02272727 13.97727273] ; [30.97727273 16.02272727],0
v3,1,0.185779,1.750779,[10 30] ; [18 29],[12.87356322 27.12643678] ; [15.12643678 31.87356322],0
v2,1,0.190068,1.717087,[14 26] ; [23 24],[17.01149425 22.98850575] ; [19.98850575 27.01149425],0
p5,1,0.190733,1.711949,[ 5 35] ; [11 36],[ 7.35632184 32.64367816] ; [ 8.64367816 38.35632184],0
v1,1,0.204851,1.607444,[15 25] ; [24 23],[17.93103448 22.06896552] ; [21.06896552 25.93103448],0
b5,1,0.212463,1.554563,[28 13] ; [26 21],[25.15909091 15.84090909] ; [28.84090909 18.15909091],0
r3,1,0.225683,1.467863,[34  7] ; [43  4],[35.875  5.125] ; [41.125  5.875],0
n4,1,0.252691,1.308367,[24 17] ; [33 14],[26.55681818 14.44318182] ; [30.44318182 16.55681818],0
