Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.938439,[12 35] ; [53 24],[24.63709677 22.36290323] ; [40.36290323 36.63709677],1
a6,1,0.000639,11.657813,[19 28] ; [55 22],[28.0483871 18.9516129] ; [45.9516129 31.0483871],1
d4,1,0.000752,11.355163,[23 23] ; [61 16],[31.41463415 14.58536585] ; [52.58536585 24.41463415],1
d5,1,0.00191,9.634437,[24 23] ; [60 17],[31.83870968 15.16129032] ; [52.16129032 24.83870968],0
d1,1,0.003827,8.363981,[12 35] ; [40 37],[19.70967742 27.29032258] ; [32.29032258 44.70967742],0
a2,1,0.004976,7.888273,[ 2 45] ; [18 59],[ 7.58064516 39.41935484] ; [12.41935484 64.58064516],0
a3,1,0.007219,7.217733,[18 29] ; [48 28],[25.2195122 21.7804878] ; [40.7804878 35.2195122],0
r3,1,0.007546,7.138252,[29 18] ; [64 13],[35.25 11.75] ; [57.75 19.25],0
a5,1,0.007694,7.103437,[19 28] ; [50 27],[26.15322581 20.84677419] ; [42.84677419 34.15322581],0
v2,1,0.014922,5.925657,[10 35] ; [34 43],[16.2295082 28.7704918] ; [27.7704918 49.2295082],0
b5,1,0.025623,4.981256,[19 28] ; [47 30],[25.01612903 21.98387097] ; [40.98387097 36.01612903],0
s6,1,0.035556,4.418293,[ 8 38] ; [27 50],[13.08943089 32.91056911] ; [21.91056911 55.08943089],0
r4,1,0.039479,4.240122,[25 22] ; [55 22],[30.32258065 16.67741935] ; [49.67741935 27.32258065],0
p4,1,0.077828,3.109692,[11 35] ; [30 46],[15.45901639 30.54098361] ; [25.54098361 50.45901639],0
v4,1,0.101304,2.684891,[31 14] ; [63 14],[34.67213115 10.32786885] ; [59.32786885 17.67213115],0
r1,1,0.110487,2.547247,[27 20] ; [55 22],[31.08064516 15.91935484] ; [50.91935484 26.08064516],0
u1,1,0.110595,2.545705,[ 2 45] ; [10 67],[ 4.5483871 42.4516129] ; [ 7.4516129 69.5483871],0
u3,1,0.114884,2.485714,[11 18] ; [17 12],[14. 15.] ; [14. 15.],0
p2,1,0.127056,2.328115,[19 28] ; [42 35],[23.12096774 23.87903226] ; [37.87903226 39.12096774],0
n6,1,0.141224,2.164571,[24 23] ; [49 27],[27.89430894 19.10569106] ; [45.10569106 30.89430894],0
p10,1,0.200972,1.635295,[ 7 39] ; [19 57],[ 9.80327869 36.19672131] ; [16.19672131 59.80327869],0
s8,1,0.259115,1.273478,[ 3 43] ; [10 67],[ 4.86178862 41.13821138] ; [ 8.13821138 68.86178862],0
r2,1,0.262524,1.255398,[35 10] ; [66 11],[37.25409836  7.74590164] ; [63.74590164 13.25409836],0
s7,1,0.266789,1.233182,[ 6 38] ; [16 57],[ 8.27350427 35.72649573] ; [13.72649573 59.27350427],0
p3,1,0.287111,1.133117,[ 9 38] ; [21 55],[11.46341463 35.53658537] ; [18.53658537 57.46341463],0
