Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,41.704393,[79  2] ; [45 38],[61.24390244 19.75609756] ; [62.75609756 20.24390244],1
v4,1,0.0,29.886487,[77  4] ; [49 34],[62.23170732 18.76829268] ; [63.76829268 19.23170732],1
r2,1,1e-06,24.787462,[73  7] ; [46 35],[59.13043478 20.86956522] ; [59.86956522 21.13043478],1
n6,1,1e-06,24.103581,[72  9] ; [45 38],[57.78658537 23.21341463] ; [59.21341463 23.78658537],1
p9,1,9e-06,19.708454,[68 11] ; [43 37],[55.1509434 23.8490566] ; [55.8490566 24.1509434],1
p10,1,5.7e-05,16.194332,[60 20] ; [35 45],[47.5 32.5] ; [47.5 32.5],1
p2,1,0.001047,10.742706,[62 19] ; [42 39],[52. 29.] ; [52. 29.],0
p11,1,0.002808,8.928204,[58 23] ; [41 43],[48.6 32.4] ; [50.4 33.6],0
s6,1,0.003081,8.758825,[39 39] ; [23 61],[29.85185185 48.14814815] ; [32.14814815 51.85185185],0
b1,1,0.003494,8.529504,[27 54] ; [47 37],[36.32727273 44.67272727] ; [37.67272727 46.32727273],0
n2,1,0.005645,7.66037,[22  3] ; [19 16],[17.08333333  7.91666667] ; [23.91666667 11.08333333],0
s5,1,0.016747,5.722696,[21 57] ; [10 73],[15.01863354 62.98136646] ; [15.98136646 67.01863354],0
p4,1,0.022729,5.189083,[38 42] ; [25 58],[30.9202454 49.0797546] ; [32.0797546 50.9202454],0
b5,1,0.027669,4.848596,[56 25] ; [44 40],[49.09090909 31.90909091] ; [50.90909091 33.09090909],0
p7,1,0.027987,4.828854,[42 38] ; [29 53],[35.0617284 44.9382716] ; [35.9382716 46.0617284],0
v3,1,0.028922,4.772228,[24 56] ; [13 70],[18.1595092 61.8404908] ; [18.8404908 64.1595092],0
p6,1,0.031612,4.619423,[22 58] ; [11 69],[16.5 63.5] ; [16.5 63.5],0
p3,1,0.038432,4.28578,[32 49] ; [20 62],[25.8404908 55.1595092] ; [26.1595092 55.8404908],0
d5,1,0.056866,3.626518,[58 22] ; [49 35],[52.19512195 27.80487805] ; [54.80487805 29.19512195],0
