Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.3e-05,19.067873,[48 38] ; [20 66],[34. 52.] ; [34. 52.],1
v2,1,0.000136,14.560659,[64 24] ; [36 46],[51.76470588 36.23529412] ; [48.23529412 33.76470588],1
p4,1,0.000239,13.49746,[64 24] ; [39 47],[52.09195402 35.90804598] ; [50.90804598 35.09195402],1
n5,1,0.000488,12.161063,[71 18] ; [48 39],[60.17613636 28.82386364] ; [58.82386364 28.17613636],1
r1,1,0.000726,11.42031,[76 12] ; [56 31],[66.37714286 21.62285714] ; [65.62285714 21.37714286],1
p11,1,0.000792,11.260778,[81  8] ; [62 25],[72.3125 16.6875] ; [70.6875 16.3125],1
p10,1,0.002838,8.909107,[74 14] ; [56 31],[65.37142857 22.62857143] ; [64.62857143 22.37142857],0
s8,1,0.006047,7.536171,[29 60] ; [13 74],[21.23863636 67.76136364] ; [20.76136364 66.23863636],0
p3,1,0.012514,6.236595,[56 32] ; [39 48],[47.77142857 40.22857143] ; [47.22857143 39.77142857],0
n4,1,0.013817,6.061389,[72 17] ; [56 31],[64.72727273 24.27272727] ; [63.27272727 23.72727273],0
p2,1,0.0147,5.952026,[81  7] ; [68 18],[75.35632184 12.64367816] ; [73.64367816 12.35632184],0
a5,1,0.027911,4.833565,[67 22] ; [52 35],[60.17613636 28.82386364] ; [58.82386364 28.17613636],0
d4,1,0.028056,4.82461,[72 17] ; [57 29],[65.60571429 23.39428571] ; [63.39428571 22.60571429],0
n1,1,0.033218,4.534517,[7 6] ; [ 5 20],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],0
p8,1,0.040192,4.209747,[60 28] ; [45 40],[53.41040462 34.58959538] ; [51.58959538 33.41040462],0
p5,1,0.048228,3.902037,[10 78] ; [ 3 83],[ 6.57471264 81.42528736] ; [ 6.42528736 79.57471264],0
d1,1,0.050661,3.819433,[55 34] ; [41 46],[48.54545455 40.45454545] ; [47.45454545 39.54545455],0
v4,1,0.063385,3.446517,[86  3] ; [77  9],[82.89714286  6.10285714] ; [80.10285714  5.89714286],0
d5,1,0.063884,3.433571,[71 18] ; [58 28],[65.60571429 23.39428571] ; [63.39428571 22.60571429],0
b2,1,0.088011,2.910387,[28 32] ; [15 34],[23.66972477 36.33027523] ; [19.33027523 29.66972477],0
b3,1,0.088011,2.910387,[28 32] ; [15 34],[23.66972477 36.33027523] ; [19.33027523 29.66972477],0
s5,1,0.089622,2.881154,[16 73] ; [ 8 79],[12.13636364 76.86363636] ; [11.86363636 75.13636364],0
a3,1,0.091588,2.846231,[66 22] ; [55 32],[60.84571429 27.15428571] ; [60.15428571 26.84571429],0
p9,1,0.099331,2.716253,[72 16] ; [62 25],[67.38285714 20.61714286] ; [66.61714286 20.38285714],0
u1,1,0.099359,2.715806,[13 76] ; [ 6 81],[ 9.60795455 79.39204545] ; [ 9.39204545 77.60795455],0
p12,1,0.099453,2.714295,[ 5 83] ; [ 1 86],[ 3.01714286 84.98285714] ; [ 2.98285714 84.01714286],0
u2,1,0.10706,2.59709,[ 9 14] ; [19 12],[11.92592593 11.07407407] ; [16.07407407 14.92592593],0
n2,1,0.161617,1.959029,[11  2] ; [17 10],[9.1 3.9] ; [18.9  8.1],0
p1,1,0.161961,1.955817,[ 9 80] ; [ 4 83],[ 6.57386364 82.42613636] ; [ 6.42613636 80.57386364],0
r4,1,0.168238,1.898571,[80  9] ; [72 15],[76.86363636 12.13636364] ; [75.13636364 11.86363636],0
a1,1,0.181738,1.783351,[ 4 85] ; [ 1 86],[ 2.52840909 86.47159091] ; [ 2.47159091 84.52840909],0
a4,1,0.204585,1.609338,[39 50] ; [30 57],[34.89204545 54.10795455] ; [34.10795455 52.89204545],0
p6,1,0.21557,1.533617,[37 50] ; [28 56],[33.07017544 53.92982456] ; [31.92982456 52.07017544],0
n6,1,0.215849,1.531755,[74 15] ; [65 21],[70.69142857 18.30857143] ; [68.30857143 17.69142857],0
r3,1,0.272837,1.202428,[83  6] ; [77 10],[80.90909091  8.09090909] ; [79.09090909  7.90909091],0
d2,1,0.285465,1.140887,[45 44] ; [37 50],[41.46590909 47.53409091] ; [40.53409091 46.46590909],0
n3,1,0.328446,0.955014,[13  1] ; [22  5],[11.95121951  2.04878049] ; [23.04878049  3.95121951],0
r2,1,0.414538,0.665747,[81  7] ; [76 10],[79.40229885  8.59770115] ; [77.59770115  8.40229885],0
u3,1,0.443793,0.586454,[11 12] ; [12 20],[ 9.61818182 13.38181818] ; [13.38181818 18.61818182],0
a7,1,0.629272,0.233049,[58 31] ; [59 27],[59.50285714 29.49714286] ; [57.49714286 28.50285714],0
b5,1,0.664407,0.188214,[53 36] ; [49 38],[51.57954545 37.42045455] ; [50.42045455 36.57954545],0
s3,1,0.75332,0.098762,[25 63] ; [26 59],[25.94219653 62.05780347] ; [25.05780347 59.94219653],0
a8,1,0.790372,0.070664,[10 69] ; [11 67],[10.56687898 68.43312102] ; [10.43312102 67.56687898],0
a6,1,0.790674,0.070456,[61 28] ; [58 29],[60.17613636 28.82386364] ; [58.82386364 28.17613636],0
s4,1,0.805962,0.060339,[ 7 82] ; [ 6 81],[ 6.57386364 82.42613636] ; [ 6.42613636 80.57386364],0
d3,1,0.817033,0.053529,[57 32] ; [53 32],[56.26436782 32.73563218] ; [53.73563218 31.26436782],0
b4,1,0.885452,0.020754,[47 42] ; [45 42],[46.52272727 42.47727273] ; [45.47727273 41.52272727],0
s7,1,0.909883,0.012811,[23 62] ; [22 57],[23.32317073 61.67682927] ; [21.67682927 57.32317073],0
