Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.3e-05,18.959768,[47 21] ; [ 8 26],[36.66666667 31.33333333] ; [18.33333333 15.66666667],1
v1,1,0.029783,4.721776,[24 44] ; [ 5 29],[19.33333333 48.66666667] ; [ 9.66666667 24.33333333],0
a5,1,0.044681,4.030645,[46 22] ; [16 18],[41.33333333 26.66666667] ; [20.66666667 13.33333333],0
d1,1,0.092892,2.823529,[30 38] ; [21 13],[34. 34.] ; [17. 17.],0
n1,1,0.100255,2.701484,[11 13] ; [ 5 17],[ 8.34782609 15.65217391] ; [ 7.65217391 14.34782609],0
r2,1,0.105673,2.617761,[58  9] ; [25  9],[55.05940594 11.94059406] ; [27.94059406  6.05940594],0
u3,1,0.137618,2.204397,[ 9 14] ; [9 5],[11.18918919 11.81081081] ; [6.81081081 7.18918919],0
v2,1,0.166863,1.9109,[21 46] ; [15 18],[24.12 42.88] ; [11.88 21.12],0
a4,1,0.182249,1.779186,[33 34] ; [12 22],[29.85148515 37.14851485] ; [15.14851485 18.85148515],0
d4,1,0.184973,1.757206,[47 20] ; [28  6],[49.75247525 17.24752475] ; [25.24752475  8.75247525],0
v3,1,0.195346,1.676835,[22 43] ; [ 7 26],[19.23469388 45.76530612] ; [ 9.76530612 23.23469388],0
b3,1,0.228188,1.452123,[19 28] ; [ 5 15],[16.8358209 30.1641791] ; [ 7.1641791 12.8358209],0
b2,1,0.228188,1.452123,[19 28] ; [ 5 15],[16.8358209 30.1641791] ; [ 7.1641791 12.8358209],0
r4,1,0.251288,1.316129,[44 24] ; [18 16],[41.33333333 26.66666667] ; [20.66666667 13.33333333],0
p11,1,0.253288,1.305078,[30 38] ; [11 23],[27.33333333 40.66666667] ; [13.66666667 20.33333333],0
d5,1,0.254546,1.298182,[49 19] ; [28  6],[51.33333333 16.66666667] ; [25.66666667  8.33333333],0
s7,1,0.259998,1.268766,[18 43] ; [ 6 26],[15.74193548 45.25806452] ; [ 8.25806452 23.74193548],0
b1,1,0.262251,1.256835,[38 30] ; [15 19],[35.33333333 32.66666667] ; [17.66666667 16.33333333],0
p4,1,0.297679,1.084561,[17 50] ; [12 22],[19.23762376 47.76237624] ; [ 9.76237624 24.23762376],0
b4,1,0.308034,1.039085,[41 27] ; [24 10],[43.33333333 24.66666667] ; [21.66666667 12.33333333],0
s1,1,0.308206,1.038347,[ 4 63] ; [ 4 30],[ 5.30693069 61.69306931] ; [ 2.69306931 31.30693069],0
u1,1,0.30901,1.034903,[11 57] ; [ 3 31],[ 9.33333333 58.66666667] ; [ 4.66666667 29.33333333],0
p3,1,0.313589,1.015499,[16 51] ; [ 5 28],[14.07 52.93] ; [ 6.93 26.07],0
n6,1,0.317504,0.9992,[43 25] ; [18 16],[40.66666667 27.33333333] ; [20.33333333 13.66666667],0
s3,1,0.318929,0.993332,[24 42] ; [ 9 25],[21.78 44.22] ; [11.22 22.78],0
n2,1,0.339949,0.910625,[16 10] ; [10 11],[14.38297872 11.61702128] ; [11.61702128  9.38297872],0
a6,1,0.387347,0.747253,[44 24] ; [19 15],[42. 26.] ; [21. 13.],0
p2,1,0.393347,0.728571,[30 38] ; [12 22],[28. 40.] ; [14. 20.],0
a2,1,0.402211,0.701706,[17 51] ; [ 6 28],[15.33333333 52.66666667] ; [ 7.66666667 26.33333333],0
a3,1,0.408211,0.684005,[45 22] ; [20 14],[43.11881188 23.88118812] ; [21.88118812 12.11881188],0
a1,1,0.458977,0.548387,[ 7 61] ; [ 2 32],[ 6. 62.] ; [ 3. 31.],0
s8,1,0.559962,0.33977,[13 54] ; [ 5 29],[11.94059406 55.05940594] ; [ 6.05940594 27.94059406],0
s6,1,0.599564,0.275653,[24 43] ; [14 20],[25.20792079 41.79207921] ; [12.79207921 21.20792079],0
s2,1,0.618841,0.2475,[17 49] ; [ 7 26],[16. 50.] ; [ 8. 25.],0
s5,1,0.628716,0.233806,[11 55] ; [ 7 27],[11.88 54.12] ; [ 6.12 27.88],0
p1,1,0.634685,0.225761,[ 8 59] ; [ 3 31],[ 7.2970297 59.7029703] ; [ 3.7029703 30.2970297],0
r1,1,0.644815,0.2125,[49 19] ; [23 11],[48. 20.] ; [24. 10.],0
r3,1,0.717058,0.131329,[49 18] ; [26  8],[49.75247525 17.24752475] ; [25.24752475  8.75247525],0
a7,1,0.730636,0.118529,[41 26] ; [22 12],[41.79207921 25.20792079] ; [21.20792079 12.79207921],0
d3,1,0.776743,0.08041,[40 28] ; [19 15],[39.33333333 28.66666667] ; [19.66666667 14.33333333],0
u2,1,0.822818,0.050141,[ 9 14] ; [6 8],[ 9.32432432 13.67567568] ; [5.67567568 8.32432432],0
v4,1,0.841271,0.040107,[48 19] ; [25  9],[48.42574257 18.57425743] ; [24.57425743  9.42574257],0
b5,1,0.888617,0.019615,[35 33] ; [17 17],[34.66666667 33.33333333] ; [17.33333333 16.66666667],0
d2,1,0.892444,0.018282,[34 32] ; [18 16],[34.32 31.68] ; [17.68 16.32],0
s4,1,0.901603,0.015286,[11 55] ; [ 6 28],[11.22 54.78] ; [ 5.78 28.22],0
p10,1,0.976615,0.000859,[10 57] ; [ 5 29],[ 9.95049505 57.04950495] ; [ 5.04950495 28.95049505],0
n3,1,0.989043,0.000189,[12 11] ; [11 10],[12.02272727 10.97727273] ; [10.97727273 10.02272727],0
p8,1,1.0,0.0,[ 8 60] ; [ 4 30],[ 8. 60.] ; [ 4. 30.],0
