Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6.9e-05,15.825289,[11 52] ; [30 28],[21.34710744 41.65289256] ; [19.65289256 38.34710744],1
p8,1,0.000144,14.448925,[11 52] ; [29 29],[20.82644628 42.17355372] ; [19.17355372 38.82644628],1
p6,1,0.000346,12.803777,[ 4 58] ; [18 38],[11.55932203 50.44067797] ; [10.44067797 45.55932203],1
p2,1,0.00035,12.783087,[36 27] ; [51  8],[44.92622951 18.07377049] ; [42.07377049 16.92622951],1
p3,1,0.003053,8.775459,[11 51] ; [25 34],[18.44628099 43.55371901] ; [17.55371901 41.44628099],0
n6,1,0.003078,8.760623,[27 36] ; [41 18],[35.1147541 27.8852459] ; [32.8852459 26.1147541],0
d5,1,0.007809,7.076874,[50 13] ; [33 25],[43.21487603 19.78512397] ; [39.78512397 18.21487603],0
r4,1,0.015085,5.906526,[40 23] ; [49 10],[45.95901639 17.04098361] ; [43.04098361 15.95901639],0
p11,1,0.017843,5.611481,[34 29] ; [44 15],[40.27868852 22.72131148] ; [37.72131148 21.27868852],0
n3,1,0.031444,4.628571,[11 10] ; [13  2],[14.  7.] ; [10.  5.],0
v4,1,0.053566,3.726184,[49 13] ; [54  5],[52.7768595  9.2231405] ; [50.2231405  8.7768595],0
u3,1,0.061545,3.49526,[15 10] ; [ 6 13],[11.93181818 13.06818182] ; [9.06818182 9.93181818],0
s3,1,0.079016,3.085017,[11 51] ; [18 39],[15.1092437 46.8907563] ; [13.8907563 43.1092437],0
s8,1,0.111151,2.537777,[ 4 59] ; [ 9 50],[ 6.71311475 56.28688525] ; [ 6.28688525 52.71311475],0
p9,1,0.135623,2.22693,[30 31] ; [37 22],[34.05833333 26.94166667] ; [32.94166667 26.05833333],0
d4,1,0.136164,2.220784,[52 11] ; [42 17],[48.54098361 14.45901639] ; [45.45901639 13.54098361],0
s4,1,0.142301,2.152903,[ 8 55] ; [ 3 56],[ 5.68032787 57.31967213] ; [ 5.31967213 53.68032787],0
a4,1,0.186454,1.745415,[23 40] ; [15 44],[19.62295082 43.37704918] ; [18.37704918 40.62295082],0
n2,1,0.203669,1.615865,[10 12] ; [10  5],[11.89189189 10.10810811] ; [8.10810811 6.89189189],0
r2,1,0.216856,1.525057,[50 11] ; [53  6],[52.35833333  8.64166667] ; [50.64166667  8.35833333],0
b3,1,0.221722,1.493193,[14 22] ; [ 8 24],[11.64705882 24.35294118] ; [10.35294118 21.64705882],0
b2,1,0.221722,1.493193,[14 22] ; [ 8 24],[11.64705882 24.35294118] ; [10.35294118 21.64705882],0
s7,1,0.227043,1.459293,[ 8 49] ; [13 44],[10.5 46.5] ; [10.5 46.5],0
p10,1,0.239683,1.382457,[27 35] ; [32 27],[30.23140496 31.76859504] ; [28.76859504 30.23140496],0
v2,1,0.247967,1.334722,[25 37] ; [29 28],[28.13445378 33.86554622] ; [25.86554622 31.13445378],0
a8,1,0.250308,1.321584,[ 3 57] ; [ 6 50],[ 4.65517241 55.34482759] ; [ 4.34482759 51.65517241],0
a3,1,0.320749,0.985889,[38 25] ; [40 18],[40.61157025 22.38842975] ; [37.38842975 20.61157025],0
p5,1,0.341786,0.903722,[ 3 60] ; [ 1 58],[ 2.06557377 60.93442623] ; [ 1.93442623 57.06557377],0
s2,1,0.352104,0.865862,[ 7 56] ; [10 49],[ 8.77868852 54.22131148] ; [ 8.22131148 50.77868852],0
r1,1,0.365615,0.818513,[40 23] ; [42 17],[42.3442623 20.6557377] ; [39.6557377 19.3442623],0
a2,1,0.442065,0.590916,[ 4 59] ; [ 6 53],[ 5.16393443 57.83606557] ; [ 4.83606557 54.16393443],0
r3,1,0.489006,0.478713,[54  9] ; [53  6],[55.25409836  7.74590164] ; [51.74590164  7.25409836],0
b4,1,0.497364,0.460556,[38 25] ; [32 27],[36.14754098 26.85245902] ; [33.85245902 25.14754098],0
a1,1,0.520595,0.412713,[ 1 62] ; [ 2 57],[ 1.54918033 61.45081967] ; [ 1.45081967 57.54918033],0
s1,1,0.524838,0.404375,[ 5 58] ; [ 3 56],[ 4.13114754 58.86885246] ; [ 3.86885246 55.13114754],0
b5,1,0.530634,0.393178,[36 27] ; [37 22],[37.69672131 25.30327869] ; [35.30327869 23.69672131],0
n1,1,0.666177,0.186107,[ 6 17] ; [ 3 12],[ 5.44736842 17.55263158] ; [ 3.55263158 11.44736842],0
a6,1,0.684299,0.165326,[34 29] ; [34 25],[35.1147541 27.8852459] ; [32.8852459 26.1147541],0
a5,1,0.721507,0.127054,[33 30] ; [29 30],[32.01639344 30.98360656] ; [29.98360656 29.01639344],0
v3,1,0.730345,0.118795,[14 44] ; [12 44],[13.22807018 44.77192982] ; [12.77192982 43.22807018],0
n4,1,0.754816,0.097529,[26 37] ; [26 33],[26.85245902 36.14754098] ; [25.14754098 33.85245902],0
u2,1,0.760858,0.092632,[13 12] ; [ 9 10],[12.5 12.5] ; [9.5 9.5],0
v1,1,0.762554,0.091282,[18 44] ; [18 39],[18.75630252 43.24369748] ; [17.24369748 39.75630252],0
u1,1,0.764092,0.090067,[ 4 59] ; [ 3 56],[ 3.6147541 59.3852459] ; [ 3.3852459 55.6147541],0
b1,1,0.807333,0.059471,[27 36] ; [24 35],[26.33606557 36.66393443] ; [24.66393443 34.33606557],0
a7,1,0.905227,0.014176,[43 20] ; [39 19],[42.69421488 20.30578512] ; [39.30578512 18.69421488],0
d2,1,0.938059,0.006039,[22 41] ; [21 38],[22.20491803 40.79508197] ; [20.79508197 38.20491803],0
p1,1,0.942134,0.005269,[ 4 58] ; [ 4 55],[ 4.09917355 57.90082645] ; [ 3.90082645 55.09917355],0
d1,1,0.966613,0.001752,[28 35] ; [26 33],[27.8852459 35.1147541] ; [26.1147541 32.8852459],0
p12,1,0.971787,0.001251,[ 1 61] ; [ 1 58],[ 1.02479339 60.97520661] ; [ 0.97520661 58.02479339],0
d3,1,0.972566,0.001183,[40 23] ; [37 21],[40.09090909 22.90909091] ; [36.90909091 21.09090909],0
s5,1,1.0,0.0,[ 6 53] ; [ 6 53],[ 6. 53.] ; [ 6. 53.],0
