Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,4.7e-05,16.566734,[ 6 82] ; [14 26],[13.75 74.25] ; [ 6.25 33.75],1
p10,1,0.003398,8.580483,[67 20] ; [40  1],[72.7265625 14.2734375] ; [34.2734375  6.7265625],0
s2,1,0.003808,8.373342,[14 74] ; [16 25],[20.46511628 67.53488372] ; [ 9.53488372 31.46511628],0
s6,1,0.004438,8.095433,[40 48] ; [29 11],[47.4375 40.5625] ; [21.5625 18.4375],0
s8,1,0.007283,7.201851,[26 63] ; [22 19],[32.86153846 56.13846154] ; [15.13846154 25.86153846],0
p5,1,0.00941,6.743366,[ 7 82] ; [10 31],[11.63846154 77.36153846] ; [ 5.36153846 35.63846154],0
s7,1,0.014217,6.011023,[29 53] ; [23 16],[35.23966942 46.76033058] ; [16.76033058 22.23966942],0
r4,1,0.037564,4.324634,[76 13] ; [40  1],[79.41538462  9.58461538] ; [36.58461538  4.41538462],0
p7,1,0.042156,4.128933,[68 19] ; [38  3],[72.046875 14.953125] ; [33.953125  7.046875],0
n3,1,0.050679,3.81885,[18  2] ; [8 5],[15.75757576  4.24242424] ; [10.24242424  2.75757576],0
p12,1,0.054034,3.711644,[ 3 85] ; [ 5 36],[ 5.45736434 82.54263566] ; [ 2.54263566 38.45736434],0
b4,1,0.090029,2.873847,[49 40] ; [29 12],[53.4 35.6] ; [24.6 16.4],0
a6,1,0.100042,2.70488,[63 26] ; [23 18],[58.87692308 30.12307692] ; [27.12307692 13.87692308],0
b5,1,0.100807,2.692732,[61 28] ; [22 19],[56.82307692 32.17692308] ; [26.17692308 14.82307692],0
p4,1,0.101905,2.675475,[67 22] ; [36  5],[70.51538462 18.48461538] ; [32.48461538  8.51538462],0
p9,1,0.102591,2.664793,[75 13] ; [39  2],[77.76744186 10.23255814] ; [36.23255814  4.76744186],0
p1,1,0.115549,2.476635,[ 7 82] ; [ 7 34],[ 9.58461538 79.41538462] ; [ 4.41538462 36.58461538],0
u3,1,0.124025,2.365736,[15 14] ; [10  3],[17.26190476 11.73809524] ; [7.73809524 5.26190476],0
b1,1,0.133112,2.25583,[36 53] ; [11 30],[32.17692308 56.82307692] ; [14.82307692 26.17692308],0
a1,1,0.13393,2.246354,[ 3 86] ; [ 4 37],[ 4.79230769 84.20769231] ; [ 2.20769231 38.79230769],0
a7,1,0.215428,1.534572,[69 19] ; [28 13],[66.17054264 21.82945736] ; [30.82945736 10.17054264],0
a5,1,0.215494,1.534128,[60 29] ; [32  9],[62.98461538 26.01538462] ; [29.01538462 11.98461538],0
p3,1,0.219639,1.506728,[53 36] ; [29 12],[56.13846154 32.86153846] ; [25.86153846 15.13846154],0
p2,1,0.261628,1.260121,[80  9] ; [34  7],[78.04615385 10.95384615] ; [35.95384615  5.04615385],0
d4,1,0.330535,0.946801,[67 22] ; [34  7],[69.14615385 19.85384615] ; [31.85384615  9.14615385],0
a4,1,0.38408,0.757603,[42 47] ; [16 25],[39.70769231 49.29230769] ; [18.29230769 22.70769231],0
