Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000642,11.648901,[ 2 29] ; [5 4],[ 5.425 25.575] ; [1.575 7.425],1
p11,1,0.013021,6.166312,[13 18] ; [8 1],[16.275 14.725] ; [4.725 4.275],0
p2,1,0.038812,4.269096,[12 19] ; [7 2],[14.725 16.275] ; [4.275 4.725],0
p7,1,0.05738,3.611538,[ 7 24] ; [5 4],[ 9.3 21.7] ; [2.7 6.3],0
s6,1,0.05738,3.611538,[ 7 24] ; [5 4],[ 9.3 21.7] ; [2.7 6.3],0
v4,1,0.05833,3.584229,[13 18] ; [7 2],[15.5 15.5] ; [4.5 4.5],0
p6,1,0.068058,3.329246,[ 1 28] ; [2 7],[ 2.28947368 26.71052632] ; [0.71052632 8.28947368],0
s8,1,0.080175,3.061354,[ 3 28] ; [3 6],[ 4.65 26.35] ; [1.35 7.65],0
a3,1,0.100582,2.696296,[16 14] ; [2 7],[13.84615385 16.15384615] ; [4.15384615 4.84615385],0
p10,1,0.11142,2.533957,[11 19] ; [6 3],[13.07692308 16.92307692] ; [3.92307692 5.07692308],0
b5,1,0.118701,2.43438,[15 16] ; [7 2],[17.05 13.95] ; [4.95 4.05],0
b1,1,0.162156,1.954001,[16 15] ; [7 2],[17.825 13.175] ; [5.175 3.825],0
p9,1,0.184414,1.761686,[12 17] ; [6 3],[13.73684211 15.26315789] ; [4.26315789 4.73684211],0
u2,1,0.277291,1.180317,[7 8] ; [5 2],[8.18181818 6.81818182] ; [3.81818182 3.18181818],0
n5,1,0.279227,1.170848,[20 11] ; [4 5],[18.6 12.4] ; [5.4 3.6],0
d1,1,0.352674,0.863812,[ 8 23] ; [1 8],[ 6.975 24.025] ; [2.025 6.975],0
d4,1,0.368126,0.809981,[19 12] ; [4 5],[17.825 13.175] ; [5.175 3.825],0
r1,1,0.384822,0.755241,[ 9 22] ; [4 5],[10.075 20.925] ; [2.925 6.075],0
a8,1,0.421357,0.646528,[ 4 26] ; [2 6],[ 4.73684211 25.26315789] ; [1.26315789 6.73684211],0
d5,1,0.424202,0.638645,[15 16] ; [3 6],[13.95 17.05] ; [4.05 4.95],0
v1,1,0.448881,0.573477,[ 7 24] ; [1 8],[ 6.2 24.8] ; [1.8 7.2],0
s3,1,0.542227,0.371429,[ 6 24] ; [1 8],[ 5.38461538 24.61538462] ; [1.61538462 7.38461538],0
d2,1,0.563005,0.334528,[10 21] ; [2 7],[ 9.3 21.7] ; [2.7 6.3],0
a4,1,0.566649,0.328322,[ 6 25] ; [1 8],[ 5.425 25.575] ; [1.575 7.425],0
n4,1,0.582513,0.302189,[17 14] ; [4 5],[16.275 14.725] ; [4.725 4.275],0
n2,1,0.595732,0.281481,[8 8] ; [1 2],[7.57894737 8.42105263] ; [1.42105263 1.57894737],0
b2,1,0.617017,0.250083,[ 8 13] ; [1 3],[ 7.56 13.44] ; [1.44 2.56],0
b3,1,0.617017,0.250083,[ 8 13] ; [1 3],[ 7.56 13.44] ; [1.44 2.56],0
a6,1,0.624967,0.238949,[11 20] ; [4 5],[11.625 19.375] ; [3.375 5.625],0
d3,1,0.624967,0.238949,[11 20] ; [4 5],[11.625 19.375] ; [3.375 5.625],0
n6,1,0.639843,0.218947,[14 16] ; [5 4],[14.61538462 15.38461538] ; [4.38461538 4.61538462],0
s5,1,0.640351,0.218283,[ 2 29] ; [1 8],[ 2.325 28.675] ; [0.675 8.325],0
v2,1,0.649273,0.206818,[ 9 21] ; [2 7],[ 8.46153846 21.53846154] ; [2.53846154 6.46153846],0
b4,1,0.687098,0.162245,[22  9] ; [7 2],[22.475  8.525] ; [6.525 2.475],0
a7,1,0.704954,0.143369,[15 16] ; [5 4],[15.5 15.5] ; [4.5 4.5],0
s4,1,0.710531,0.137747,[ 5 26] ; [1 8],[ 4.65 26.35] ; [1.35 7.65],0
u3,1,0.746188,0.104762,[ 3 12] ; [1 6],[ 2.72727273 12.27272727] ; [1.27272727 5.72727273],0
s7,1,0.771159,0.084599,[ 5 23] ; [2 7],[ 5.2972973 22.7027027] ; [1.7027027 7.2972973],0
s2,1,0.886201,0.020481,[ 4 27] ; [1 8],[ 3.875 27.125] ; [1.125 7.875],0
a5,1,0.89337,0.017967,[13 18] ; [4 5],[13.175 17.825] ; [3.825 5.175],0
v3,1,0.899563,0.01593,[ 3 28] ; [1 8],[ 3.1 27.9] ; [0.9 8.1],0
s1,1,0.899563,0.01593,[ 3 28] ; [1 8],[ 3.1 27.9] ; [0.9 8.1],0
