Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001448,10.143464,[40 20] ; [ 6 16],[33.65853659 26.34146341] ; [12.34146341  9.65853659],0
s1,1,0.004903,7.915031,[ 2 56] ; [ 5 16],[ 5.13924051 52.86075949] ; [ 1.86075949 19.13924051],0
d5,1,0.018306,5.566652,[34 26] ; [ 6 16],[29.26829268 30.73170732] ; [10.73170732 11.26829268],0
d3,1,0.024399,5.066079,[24 36] ; [ 3 19],[19.75609756 40.24390244] ; [ 7.24390244 14.75609756],0
p7,1,0.031079,4.648575,[37 22] ; [ 7 13],[32.86075949 26.13924051] ; [11.13924051  8.86075949],0
r3,1,0.033922,4.498655,[55  4] ; [16  5],[52.3625  6.6375] ; [18.6375  2.3625],0
p10,1,0.067423,3.344682,[48 10] ; [14  8],[44.95 13.05] ; [17.05  4.95],0
p11,1,0.081425,3.036221,[47 13] ; [13  9],[43.90243902 16.09756098] ; [16.09756098  5.90243902],0
r4,1,0.086471,2.93888,[53  7] ; [16  6],[50.48780488  9.51219512] ; [18.51219512  3.48780488],0
a3,1,0.101757,2.677794,[38 22] ; [ 9 12],[34.81481481 25.18518519] ; [12.18518519  8.81481481],0
v2,1,0.106285,2.608608,[34 24] ; [ 8 13],[30.83544304 27.16455696] ; [11.16455696  9.83544304],0
r1,1,0.106578,2.604251,[47 12] ; [13  8],[44.25 14.75] ; [15.75  5.25],0
v4,1,0.113757,2.501237,[54  4] ; [17  4],[52.12658228  5.87341772] ; [18.87341772  2.12658228],0
a5,1,0.126731,2.332094,[41 19] ; [11 11],[38.04878049 21.95121951] ; [13.95121951  8.04878049],0
s7,1,0.155227,2.020118,[28 30] ; [ 6 14],[25.28205128 32.71794872] ; [ 8.71794872 11.28205128],0
u3,1,0.17246,1.861428,[10 12] ; [9 4],[11.94285714 10.05714286] ; [7.05714286 5.94285714],0
p3,1,0.181811,1.782759,[29 31] ; [ 7 15],[26.34146341 33.65853659] ; [ 9.65853659 12.34146341],0
p8,1,0.185189,1.755486,[28 30] ; [ 7 15],[25.375 32.625] ; [ 9.625 12.375],0
b3,1,0.240171,1.379588,[11 31] ; [6 8],[12.75 29.25] ; [4.25 9.75],0
b2,1,0.240171,1.379588,[11 31] ; [6 8],[12.75 29.25] ; [4.25 9.75],0
s2,1,0.264699,1.244014,[20 39] ; [10 11],[22.125 36.875] ; [ 7.875 13.125],0
a6,1,0.299087,1.07826,[35 25] ; [10 12],[32.92682927 27.07317073] ; [12.07317073  9.92682927],0
n6,1,0.321397,0.983252,[49 11] ; [15  6],[47.40740741 12.59259259] ; [16.59259259  4.40740741],0
s5,1,0.323941,0.97297,[ 9 50] ; [ 5 15],[10.4556962 48.5443038] ; [ 3.5443038 16.4556962],0
p6,1,0.333007,0.93717,[20 39] ; [ 5 17],[18.20987654 40.79012346] ; [ 6.79012346 15.20987654],0
n4,1,0.33956,0.912094,[48 11] ; [15  6],[46.4625 12.5375] ; [16.5375  4.4625],0
b1,1,0.342049,0.902737,[23 37] ; [11 11],[24.87804878 35.12195122] ; [ 9.12195122 12.87804878],0
p9,1,0.376291,0.782783,[49 11] ; [16  6],[47.56097561 12.43902439] ; [17.43902439  4.56097561],0
n1,1,0.407094,0.687273,[7 8] ; [4 2],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
a1,1,0.454001,0.560644,[ 1 59] ; [ 1 21],[ 1.46341463 58.53658537] ; [ 0.53658537 21.46341463],0
r2,1,0.470479,0.52085,[56  3] ; [19  2],[55.3125  3.6875] ; [19.6875  1.3125],0
u2,1,0.507903,0.438386,[11 11] ; [5 8],[10.05714286 11.94285714] ; [5.94285714 7.05714286],0
p1,1,0.529372,0.395598,[10 50] ; [ 5 17],[10.97560976 49.02439024] ; [ 4.02439024 17.97560976],0
a7,1,0.590679,0.289286,[41 19] ; [13  8],[40. 20.] ; [14.  7.],0
d2,1,0.593968,0.28419,[13 47] ; [ 6 16],[13.90243902 46.09756098] ; [ 5.09756098 16.90243902],0
a2,1,0.602948,0.270572,[ 8 52] ; [ 2 20],[ 7.31707317 52.68292683] ; [ 2.68292683 19.31707317],0
n5,1,0.611309,0.258273,[48 11] ; [16  5],[47.2 11.8] ; [16.8  4.2],0
v3,1,0.715133,0.133204,[23 37] ; [ 9 12],[23.7037037 36.2962963] ; [ 8.2962963 12.7037037],0
p5,1,0.740939,0.109303,[ 7 53] ; [ 2 20],[ 6.58536585 53.41463415] ; [ 2.41463415 19.58536585],0
a4,1,0.767248,0.087602,[16 43] ; [ 5 16],[15.4875 43.5125] ; [ 5.5125 15.4875],0
a8,1,0.842535,0.039462,[ 7 46] ; [ 3 17],[ 7.26027397 45.73972603] ; [ 2.73972603 17.26027397],0
s8,1,0.870536,0.026562,[23 37] ; [ 8 14],[22.68292683 37.31707317] ; [ 8.31707317 13.68292683],0
s4,1,0.871653,0.026101,[10 50] ; [ 4 18],[10.24390244 49.75609756] ; [ 3.75609756 18.24390244],0
u1,1,0.932529,0.007168,[ 3 57] ; [ 1 21],[ 2.92682927 57.07317073] ; [ 1.07317073 20.92682927],0
s3,1,0.947768,0.004292,[29 30] ; [10 10],[29.12658228 29.87341772] ; [ 9.87341772 10.12658228],0
b5,1,0.979862,0.000637,[38 22] ; [14  8],[38.04878049 21.95121951] ; [13.95121951  8.04878049],0
s6,1,0.984416,0.000382,[33 25] ; [12  9],[33.03797468 24.96202532] ; [11.96202532  9.03797468],0
b4,1,1.0,0.0,[30 30] ; [11 11],[30. 30.] ; [11. 11.],0
