Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,74.00562,[132   3] ; [29 33],[110.32994924  24.67005076] ; [50.67005076 11.32994924],1
d2,1,0.0,67.54096,[108  28] ; [11 51],[81.73737374 54.26262626] ; [37.26262626 24.73737374],1
d4,1,0.0,39.778403,[132   3] ; [41 21],[118.55329949  16.44670051] ; [54.44670051  7.55329949],1
d3,1,0.0,39.30928,[120  16] ; [29 33],[102.34343434  33.65656566] ; [46.65656566 15.34343434],1
a5,1,0.0,32.362628,[121  16] ; [32 30],[105.33165829  31.66834171] ; [47.66834171 14.33165829],1
u1,1,5e-06,20.75968,[45 92] ; [ 2 60],[ 32.35678392 104.64321608] ; [14.64321608 47.35678392],1
a4,1,3.8e-05,16.948719,[86 51] ; [19 42],[72.65151515 64.34848485] ; [32.34848485 28.65151515],1
a2,1,6.9e-05,15.849273,[51 86] ; [ 6 56],[39.24120603 97.75879397] ; [17.75879397 44.24120603],1
a3,1,0.000213,13.715617,[114  22] ; [37 25],[103.71717172  32.28282828] ; [47.28282828 14.71717172],1
r4,1,0.000739,11.387458,[133   4] ; [52 10],[127.36180905   9.63819095] ; [57.63819095  4.36180905],1
v1,1,0.012411,6.251138,[89 45] ; [29 32],[81.08717949 52.91282051] ; [36.91282051 24.08717949],0
p4,1,0.013468,6.106517,[115  21] ; [43 19],[108.52525253  27.47474747] ; [49.47474747 12.52525253],0
p9,1,0.015195,5.89373,[128   9] ; [51 11],[123.23115578  13.76884422] ; [55.76884422  6.23115578],0
a7,1,0.028588,4.792269,[104  33] ; [37 24],[97.56060606 39.43939394] ; [43.43939394 17.56060606],0
u3,1,0.03051,4.680348,[18  5] ; [12 13],[14.375  8.625] ; [15.625  9.375],0
p7,1,0.036074,4.393609,[110  24] ; [57  4],[114.75897436  19.24102564] ; [52.24102564  8.75897436],0
s8,1,0.039044,4.258959,[99 37] ; [36 26],[92.72727273 43.27272727] ; [42.27272727 19.72727273],0
r2,1,0.059395,3.554208,[133   2] ; [58  4],[130.88832487   4.11167513] ; [60.11167513  1.88832487],0
u2,1,0.066655,3.363522,[17  6] ; [12 13],[13.89583333  9.10416667] ; [15.10416667  9.89583333],0
s2,1,0.066874,3.358129,[120  17] ; [48 14],[115.65829146  21.34170854] ; [52.34170854  9.65829146],0
