Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,24.63201,[ 67 326] ; [14 10],[ 76.3381295 316.6618705] ; [ 4.6618705 19.3381295],1
p1,1,0.000145,14.436141,[ 27 373] ; [ 7 18],[ 32. 368.] ; [ 2. 23.],1
p4,1,0.000854,11.120654,[176 222] ; [19  5],[183.90995261 214.09004739] ; [11.09004739 12.90995261],1
p10,1,0.015499,5.858851,[271 126] ; [22  2],[276.29691211 120.70308789] ; [16.70308789  7.29691211],0
r2,1,0.019255,5.478202,[358  37] ; [19  6],[354.55952381  40.44047619] ; [22.44047619  2.55952381],0
b1,1,0.02934,4.747554,[153 249] ; [15 10],[158.16393443 243.83606557] ; [ 9.83606557 15.16393443],0
p3,1,0.047726,3.919624,[145 255] ; [14 11],[149.64705882 250.35294118] ; [ 9.35294118 15.64705882],0
v1,1,0.097967,2.738338,[177 215] ; [15  9],[180.92307692 211.07692308] ; [11.07692308 12.92307692],0
n5,1,0.1004,2.699182,[254 144] ; [20  5],[257.80614657 140.19385343] ; [16.19385343  8.80614657],0
p9,1,0.102079,2.672764,[290 106] ; [22  3],[293.47268409 102.52731591] ; [18.52731591  6.47268409],0
v3,1,0.102773,2.661969,[116 271] ; [11 13],[119.58394161 267.41605839] ; [ 7.41605839 16.58394161],0
p12,1,0.112437,2.519633,[ 19 381] ; [ 3 22],[ 20.70588235 379.29411765] ; [ 1.29411765 23.70588235],0
p8,1,0.126884,2.330222,[176 221] ; [15 10],[179.68483412 217.31516588] ; [11.31516588 13.68483412],0
n6,1,0.140745,2.169799,[297 104] ; [21  3],[300.04235294 100.95764706] ; [17.95764706  6.04235294],0
p7,1,0.142673,2.148889,[208 185] ; [17  8],[211.5430622 181.4569378] ; [13.4569378 11.5430622],0
a7,1,0.143822,2.136577,[279 120] ; [14 11],[275.7240566 123.2759434] ; [17.2759434  7.7240566],0
d2,1,0.146124,2.112257,[164 234] ; [14 11],[167.47990544 230.52009456] ; [10.52009456 14.47990544],0
s8,1,0.185306,1.754552,[ 74 327] ; [ 2 23],[ 71.5399061 329.4600939] ; [ 4.4600939 20.5399061],0
a5,1,0.203554,1.616689,[255 147] ; [19  6],[257.95784543 144.04215457] ; [16.04215457  8.95784543],0
