Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000133,14.594114,[42  8] ; [25 27],[32.84313725 17.15686275] ; [34.15686275 17.84313725],1
r4,1,0.000268,13.282864,[34 17] ; [16 36],[24.75728155 26.24271845] ; [25.24271845 26.75728155],1
a3,1,0.003135,8.727112,[38 11] ; [25 26],[30.87 18.13] ; [32.13 18.87],0
p8,1,0.004958,7.894737,[18 32] ; [ 6 44],[12. 38.] ; [12. 38.],0
v4,1,0.022012,5.244804,[41  9] ; [32 20],[35.78431373 14.21568627] ; [37.21568627 14.78431373],0
a5,1,0.022707,5.190781,[33 18] ; [22 30],[27.23300971 23.76699029] ; [27.76699029 24.23300971],0
a4,1,0.02501,5.023199,[25 26] ; [14 37],[19.5 31.5] ; [19.5 31.5],0
r2,1,0.028002,4.82792,[43  7] ; [33 16],[38.38383838 11.61616162] ; [37.61616162 11.38383838],0
r3,1,0.030949,4.655794,[37 14] ; [27 25],[31.68932039 19.31067961] ; [32.31067961 19.68932039],0
d3,1,0.036697,4.36444,[33 18] ; [22 28],[27.77227723 23.22772277] ; [27.22772277 22.77227723],0
d5,1,0.040565,4.194079,[37 14] ; [27 24],[32. 19.] ; [32. 19.],0
a2,1,0.041229,4.166588,[14 37] ; [ 6 46],[ 9.90291262 41.09708738] ; [10.09708738 41.90291262],0
a7,1,0.044234,4.047619,[35 16] ; [25 26],[30. 21.] ; [30. 21.],0
d1,1,0.059869,3.541013,[26 25] ; [17 35],[21.29126214 29.70873786] ; [21.70873786 30.29126214],0
s7,1,0.066477,3.367937,[11 34] ; [ 5 44],[ 7.65957447 37.34042553] ; [ 8.34042553 40.65957447],0
v2,1,0.089377,2.885558,[17 32] ; [10 41],[13.23 35.77] ; [13.77 37.23],0
v3,1,0.09035,2.868124,[15 32] ; [ 9 43],[11.39393939 35.60606061] ; [12.60606061 39.39393939],0
b4,1,0.092587,2.828804,[31 20] ; [23 29],[26.73786408 24.26213592] ; [27.26213592 24.73786408],0
b3,1,0.097328,2.748788,[ 7 19] ; [15 16],[10.03508772 15.96491228] ; [11.96491228 19.03508772],0
b2,1,0.097328,2.748788,[ 7 19] ; [15 16],[10.03508772 15.96491228] ; [11.96491228 19.03508772],0
p10,1,0.099318,2.716469,[23 27] ; [15 35],[19. 31.] ; [19. 31.],0
u3,1,0.121867,2.393162,[6 7] ; [ 6 21],[3.9 9.1] ; [ 8.1 18.9],0
p2,1,0.168448,1.896699,[27 23] ; [21 31],[23.52941176 26.47058824] ; [24.47058824 27.52941176],0
u2,1,0.200782,1.636675,[6 7] ; [ 7 20],[4.225 8.775] ; [ 8.775 18.225],0
s3,1,0.244876,1.352301,[12 39] ; [17 33],[14.64356436 36.35643564] ; [14.35643564 35.64356436],0
n2,1,0.277913,1.177267,[13  9] ; [ 8 11],[11.26829268 10.73170732] ; [9.73170732 9.26829268],0
s1,1,0.281338,1.160613,[ 6 45] ; [ 3 49],[ 4.45631068 46.54368932] ; [ 4.54368932 47.45631068],0
a1,1,0.309469,1.032942,[ 3 48] ; [ 6 46],[ 4.45631068 46.54368932] ; [ 4.54368932 47.45631068],0
a6,1,0.354245,0.858193,[33 18] ; [29 23],[30.69902913 20.30097087] ; [31.30097087 20.69902913],0
s4,1,0.393821,0.727112,[ 5 46] ; [ 8 44],[ 6.4368932 44.5631068] ; [ 6.5631068 45.4368932],0
s5,1,0.425831,0.634167,[ 5 44] ; [ 3 48],[ 3.92 45.08] ; [ 4.08 46.92],0
n1,1,0.461872,0.541353,[ 9 12] ; [ 6 13],[ 7.875 13.125] ; [ 7.125 11.875],0
p6,1,0.473569,0.513636,[11 39] ; [ 8 41],[ 9.5959596 40.4040404] ; [ 9.4040404 39.5959596],0
n4,1,0.47665,0.506518,[31 20] ; [28 24],[29.21359223 21.78640777] ; [29.78640777 22.21359223],0
u1,1,0.485219,0.487111,[ 6 45] ; [ 4 48],[ 4.95145631 46.04854369] ; [ 5.04854369 46.95145631],0
s8,1,0.485219,0.487111,[ 6 45] ; [ 4 48],[ 4.95145631 46.04854369] ; [ 5.04854369 46.95145631],0
v1,1,0.489838,0.476883,[14 37] ; [11 40],[12.5 38.5] ; [12.5 38.5],0
b1,1,0.490925,0.474499,[24 27] ; [28 24],[25.74757282 25.25242718] ; [26.25242718 25.74757282],0
n3,1,0.51583,0.422222,[10  9] ; [ 8 11],[ 9. 10.] ; [ 9. 10.],0
d2,1,0.549678,0.357895,[24 27] ; [21 30],[22.5 28.5] ; [22.5 28.5],0
n6,1,0.549706,0.357845,[23 27] ; [27 25],[24.50980392 25.49019608] ; [25.49019608 26.50980392],0
s2,1,0.55766,0.343772,[ 9 42] ; [ 7 45],[ 7.9223301 43.0776699] ; [ 8.0776699 43.9223301],0
p3,1,0.600877,0.273676,[13 37] ; [11 40],[11.88118812 38.11881188] ; [12.11881188 38.88118812],0
p7,1,0.668144,0.183781,[15 34] ; [18 34],[16.00990099 32.99009901] ; [16.99009901 35.00990099],0
n5,1,0.775293,0.081487,[28 23] ; [30 22],[28.7184466 22.2815534] ; [29.2815534 22.7184466],0
a8,1,0.871367,0.026219,[ 3 41] ; [ 3 47],[ 2.80851064 41.19148936] ; [ 3.19148936 46.80851064],0
p4,1,0.897878,0.016472,[11 38] ; [12 39],[11.27 37.73] ; [11.73 39.27],0
b5,1,0.934834,0.006685,[30 21] ; [31 21],[30.2038835 20.7961165] ; [30.7961165 21.2038835],0
p9,1,0.98011,0.000622,[22 28] ; [21 27],[21.93877551 28.06122449] ; [21.06122449 26.93877551],0
