Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,43.296288,[49 20] ; [ 8 52],[30.48837209 38.51162791] ; [26.51162791 33.48837209],1
p2,1,3e-06,22.052858,[54 15] ; [23 38],[40.86923077 28.13076923] ; [36.13076923 24.86923077],1
s7,1,0.000388,12.588716,[32 34] ; [10 46],[22.72131148 43.27868852] ; [19.27868852 36.72131148],1
v4,1,0.000816,11.205527,[62  8] ; [39 22],[53.96946565 16.03053435] ; [47.03053435 13.96946565],1
s8,1,0.000877,11.070722,[26 44] ; [ 7 53],[17.76923077 52.23076923] ; [15.23076923 44.76923077],1
s2,1,0.003982,8.292146,[33 37] ; [14 47],[25.11450382 44.88549618] ; [21.88549618 39.11450382],0
s5,1,0.007301,7.197481,[22 43] ; [ 8 52],[15.6 49.4] ; [14.4 45.6],0
s6,1,0.008367,6.953153,[39 30] ; [20 40],[31.55813953 37.44186047] ; [27.44186047 32.55813953],0
r3,1,0.010185,6.602292,[55 14] ; [36 25],[48.3 20.7] ; [42.7 18.3],0
b5,1,0.015435,5.866158,[50 20] ; [31 30],[43.28244275 26.71755725] ; [37.71755725 23.28244275],0
r4,1,0.015648,5.841985,[51 19] ; [32 29],[44.35114504 25.64885496] ; [38.64885496 22.35114504],0
v1,1,0.018301,5.567142,[28 41] ; [13 48],[21.76153846 47.23846154] ; [19.23846154 41.76153846],0
p4,1,0.031183,4.642857,[34 36] ; [18 42],[28. 42.] ; [24. 36.],0
s3,1,0.036573,4.370176,[38 31] ; [22 38],[32.09302326 36.90697674] ; [27.90697674 32.09302326],0
n6,1,0.068061,3.329185,[47 22] ; [32 29],[41.93076923 27.06923077] ; [37.06923077 23.93076923],0
r2,1,0.083412,2.997128,[60  8] ; [46 14],[56.3125 11.6875] ; [49.6875 10.3125],0
d3,1,0.086885,2.931168,[43 24] ; [30 31],[38.2109375 28.7890625] ; [34.7890625 26.2109375],0
b1,1,0.094934,2.788649,[37 33] ; [41 20],[41.67938931 28.32061069] ; [36.32061069 24.67938931],0
a8,1,0.108085,2.581997,[10 54] ; [ 4 57],[ 7.168 56.832] ; [ 6.832 54.168],0
p5,1,0.116705,2.460995,[ 9 60] ; [ 3 57],[ 6.41860465 62.58139535] ; [ 5.58139535 54.41860465],0
p7,1,0.121805,2.393951,[33 36] ; [21 40],[28.66153846 40.33846154] ; [25.33846154 35.66153846],0
p6,1,0.133286,2.253814,[18 52] ; [ 9 51],[14.53846154 55.46153846] ; [12.46153846 47.53846154],0
a7,1,0.148885,2.083642,[48 21] ; [35 26],[44.05384615 24.94615385] ; [38.94615385 22.05384615],0
p8,1,0.171082,1.873434,[24 46] ; [14 46],[20.46153846 49.53846154] ; [17.53846154 42.46153846],0
n5,1,0.184692,1.759462,[48 22] ; [35 26],[44.35114504 25.64885496] ; [38.64885496 22.35114504],0
u2,1,0.214729,1.539256,[12 14] ; [ 8 19],[ 9.81132075 16.18867925] ; [10.18867925 16.81132075],0
a1,1,0.254128,1.300464,[ 5 65] ; [ 8 53],[ 6.94656489 63.05343511] ; [ 6.05343511 54.94656489],0
d1,1,0.276072,1.186326,[33 37] ; [23 38],[29.92366412 40.07633588] ; [26.07633588 34.92366412],0
d4,1,0.296275,1.090886,[50 19] ; [39 22],[47.23846154 21.76153846] ; [41.76153846 19.23846154],0
p12,1,0.379863,0.771146,[ 3 67] ; [ 1 60],[ 2.13740458 67.86259542] ; [ 1.86259542 59.13740458],0
n3,1,0.383941,0.758046,[17 10] ; [16 15],[15.36206897 11.63793103] ; [17.63793103 13.36206897],0
a3,1,0.386985,0.748395,[43 24] ; [34 26],[40.62204724 26.37795276] ; [36.37795276 23.62204724],0
n2,1,0.391781,0.733406,[18  9] ; [19 15],[16.37704918 10.62295082] ; [20.62295082 13.37704918],0
n1,1,0.415263,0.663682,[13 13] ; [13 20],[11.45762712 14.54237288] ; [14.54237288 18.45762712],0
d2,1,0.458859,0.548677,[30 39] ; [30 30],[32.09302326 36.90697674] ; [27.90697674 32.09302326],0
a4,1,0.534389,0.386038,[29 40] ; [22 38],[27.27906977 41.72093023] ; [23.72093023 36.27906977],0
a2,1,0.559879,0.339914,[13 57] ; [ 9 52],[11.75572519 58.24427481] ; [10.24427481 50.75572519],0
b4,1,0.575333,0.31384,[39 31] ; [31 30],[37.40458015 32.59541985] ; [32.59541985 28.40458015],0
n4,1,0.578379,0.308862,[44 25] ; [36 25],[42.46153846 26.53846154] ; [37.53846154 23.46153846],0
u1,1,0.588044,0.293409,[ 9 61] ; [ 6 55],[ 8.01526718 61.98473282] ; [ 6.98473282 54.01526718],0
b2,1,0.628084,0.234668,[ 9 24] ; [13 27],[ 9.94520548 23.05479452] ; [12.05479452 27.94520548],0
b3,1,0.628084,0.234668,[ 9 24] ; [13 27],[ 9.94520548 23.05479452] ; [12.05479452 27.94520548],0
d5,1,0.656985,0.197206,[46 22] ; [39 22],[44.80620155 23.19379845] ; [40.19379845 20.80620155],0
u3,1,0.691005,0.158,[12 14] ; [11 16],[11.28301887 14.71698113] ; [11.71698113 15.28301887],0
s4,1,0.694898,0.153834,[13 57] ; [13 48],[13.89312977 56.10687023] ; [12.10687023 48.89312977],0
p3,1,0.810341,0.057593,[24 45] ; [20 41],[23.35384615 45.64615385] ; [20.64615385 40.35384615],0
r1,1,0.845774,0.037836,[43 26] ; [37 24],[42.46153846 26.53846154] ; [37.53846154 23.46153846],0
a6,1,0.894402,0.017619,[37 32] ; [32 29],[36.62307692 32.37692308] ; [32.37692308 28.62307692],0
u4,1,0.92182,0.009632,[ 1 69] ; [ 1 60],[ 1.06870229 68.93129771] ; [ 0.93129771 60.06870229],0
s1,1,0.931241,0.007445,[ 7 61] ; [ 6 55],[ 6.85271318 61.14728682] ; [ 6.14728682 54.85271318],0
v3,1,0.972303,0.001205,[14 54] ; [12 47],[13.92125984 54.07874016] ; [12.07874016 46.92125984],0
a5,1,0.982872,0.000461,[38 32] ; [33 28],[37.9389313 32.0610687] ; [33.0610687 27.9389313],0
p1,1,0.993299,7.1e-05,[ 8 62] ; [ 7 54],[ 8.01526718 61.98473282] ; [ 6.98473282 54.01526718],0
