Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000548,11.943827,[ 3 69] ; [11 31],[ 8.84210526 63.15789474] ; [ 5.15789474 36.84210526],1
s8,1,0.0011,10.650418,[13 67] ; [20 27],[20.78740157 59.21259843] ; [12.21259843 34.78740157],0
s7,1,0.005392,7.74314,[17 58] ; [22 25],[23.97540984 51.02459016] ; [15.02459016 31.97540984],0
b1,1,0.01528,5.883898,[42 39] ; [14 33],[35.4375 45.5625] ; [20.5625 26.4375],0
p8,1,0.048217,3.902412,[22 58] ; [21 26],[27.08661417 52.91338583] ; [15.91338583 31.08661417],0
p11,1,0.049665,3.85272,[32 49] ; [27 20],[37.3359375 43.6640625] ; [21.6640625 25.3359375],0
s3,1,0.053651,3.723525,[31 49] ; [26 20],[36.19047619 43.80952381] ; [20.80952381 25.19047619],0
p2,1,0.062996,3.456692,[49 32] ; [36 11],[53.7890625 27.2109375] ; [31.2109375 15.7890625],0
r4,1,0.078548,3.094692,[60 21] ; [41  6],[63.9140625 17.0859375] ; [37.0859375  9.9140625],0
u4,1,0.106588,2.604099,[ 1 80] ; [ 3 44],[ 2.53125 78.46875] ; [ 1.46875 45.53125],0
v4,1,0.124749,2.35666,[66 15] ; [43  4],[68.9765625 12.0234375] ; [40.0234375  6.9765625],0
a3,1,0.152054,2.051521,[51 29] ; [35 11],[54.6031746 25.3968254] ; [31.3968254 14.6031746],0
p7,1,0.154481,2.027438,[30 51] ; [23 23],[33.80314961 47.19685039] ; [19.19685039 26.80314961],0
a6,1,0.166938,1.910223,[54 27] ; [36 10],[57.4015748 23.5984252] ; [32.5984252 13.4015748],0
n3,1,0.186449,1.745455,[20 13] ; [12  3],[22. 11.] ; [10.  5.],0
n1,1,0.187619,1.736219,[12 21] ; [8 6],[14.04255319 18.95744681] ; [5.95744681 8.04255319],0
s6,1,0.188509,1.729234,[38 42] ; [28 19],[41.57480315 38.42519685] ; [24.42519685 22.57480315],0
s5,1,0.213034,1.550688,[ 8 70] ; [ 8 36],[10.2295082 67.7704918] ; [ 5.7704918 38.2295082],0
r2,1,0.222174,1.490273,[70 11] ; [43  3],[72.07086614  8.92913386] ; [40.92913386  5.07086614],0
s2,1,0.222981,1.485083,[22 57] ; [18 29],[25.07936508 53.92063492] ; [14.92063492 32.07936508],0
p6,1,0.229497,1.443975,[18 61] ; [15 31],[20.856 58.144] ; [12.144 33.856],0
a4,1,0.267437,1.229847,[34 47] ; [24 22],[36.99212598 44.00787402] ; [21.00787402 24.99212598],0
n5,1,0.27975,1.168306,[42 39] ; [29 18],[44.9296875 36.0703125] ; [26.0703125 20.9296875],0
u3,1,0.280859,1.162929,[18 12] ; [5 7],[16.42857143 13.57142857] ; [6.57142857 5.42857143],0
d2,1,0.347548,0.882391,[44 37] ; [21 25],[41.45669291 39.54330709] ; [23.54330709 22.45669291],0
b5,1,0.355297,0.854447,[54 27] ; [35 12],[56.3203125 24.6796875] ; [32.6796875 14.3203125],0
r1,1,0.382942,0.761236,[60 21] ; [38  9],[62.015625 18.984375] ; [35.984375 11.015625],0
b4,1,0.394501,0.725024,[51 30] ; [26 21],[48.7265625 32.2734375] ; [28.2734375 18.7265625],0
n2,1,0.429795,0.623377,[18 15] ; [10  5],[19.25 13.75] ; [8.75 6.25],0
n6,1,0.439059,0.598741,[49 31] ; [32 15],[51.02362205 28.97637795] ; [29.97637795 17.02362205],0
a5,1,0.469982,0.522019,[50 31] ; [32 15],[51.890625 29.109375] ; [30.109375 16.890625],0
d3,1,0.488311,0.480246,[57 24] ; [35 11],[58.67716535 22.32283465] ; [33.32283465 12.67716535],0
r3,1,0.50212,0.450453,[69 12] ; [42  5],[70.2421875 10.7578125] ; [40.7578125  6.2421875],0
d5,1,0.516666,0.420544,[63 18] ; [38  8],[64.41732283 16.58267717] ; [36.58267717  9.41732283],0
b2,1,0.577055,0.31102,[17 33] ; [ 9 23],[15.85365854 34.14634146] ; [10.14634146 21.85365854],0
b3,1,0.577055,0.31102,[17 33] ; [ 9 23],[15.85365854 34.14634146] ; [10.14634146 21.85365854],0
u2,1,0.62873,0.233787,[13 16] ; [4 7],[12.325 16.675] ; [4.675 6.325],0
d1,1,0.721868,0.12671,[44 37] ; [24 23],[43.03125 37.96875] ; [24.96875 22.03125],0
v2,1,0.75928,0.093897,[36 44] ; [22 24],[36.82539683 43.17460317] ; [21.17460317 24.82539683],0
a1,1,0.822607,0.050262,[ 6 75] ; [ 4 43],[ 6.328125 74.671875] ; [ 3.671875 43.328125],0
p4,1,0.835295,0.043229,[36 45] ; [20 27],[35.4375 45.5625] ; [20.5625 26.4375],0
u1,1,0.836387,0.042649,[16 65] ; [10 37],[16.453125 64.546875] ; [ 9.546875 37.453125],0
p1,1,0.838218,0.041687,[ 6 74] ; [ 4 43],[ 6.2992126 73.7007874] ; [ 3.7007874 43.2992126],0
