Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,2.5e-05,17.766065,[74  6] ; [9 8],[68.45360825 11.54639175] ; [14.54639175  2.45360825],1
a5,1,0.000102,15.092499,[65 15] ; [ 6 11],[58.55670103 21.44329897] ; [12.44329897  4.55670103],1
a3,1,0.000479,12.195165,[64 16] ; [ 6 10],[58.33333333 21.66666667] ; [11.66666667  4.33333333],1
a4,1,0.002839,8.908285,[46 34] ; [ 3 14],[40.41237113 39.58762887] ; [8.58762887 8.41237113],0
p10,1,0.003335,8.61468,[67 12] ; [9 8],[62.54166667 16.45833333] ; [13.45833333  3.54166667],0
v2,1,0.003459,8.548174,[47 33] ; [ 3 13],[41.66666667 38.33333333] ; [8.33333333 7.66666667],0
d3,1,0.005132,7.832355,[44 36] ; [ 3 14],[38.7628866 41.2371134] ; [8.2371134 8.7628866],0
p4,1,0.019547,5.451943,[52 27] ; [ 6 11],[47.72916667 31.27083333] ; [10.27083333  6.72916667],0
p9,1,0.036275,4.384126,[68 11] ; [11  6],[65.01041667 13.98958333] ; [13.98958333  3.01041667],0
v1,1,0.043948,4.058544,[51 28] ; [ 6 10],[47.4 31.6] ; [9.6 6.4],0
v3,1,0.06234,3.474013,[33 46] ; [ 3 14],[29.625 49.375] ; [ 6.375 10.625],0
r3,1,0.067235,3.349262,[76  4] ; [14  3],[74.22680412  5.77319588] ; [15.77319588  1.22680412],0
p3,1,0.07374,3.197738,[51 28] ; [ 7 10],[47.72916667 31.27083333] ; [10.27083333  6.72916667],0
r4,1,0.080935,3.046027,[73  7] ; [13  4],[70.92783505  9.07216495] ; [15.07216495  1.92783505],0
s1,1,0.081041,3.043904,[ 2 78] ; [ 2 15],[ 3.29896907 76.70103093] ; [ 0.70103093 16.29896907],0
n6,1,0.089151,2.889643,[68 10] ; [12  5],[65.68421053 12.31578947] ; [14.31578947  2.68421053],0
p7,1,0.095627,2.777005,[61 17] ; [10  7],[58.29473684 19.70526316] ; [12.70526316  4.29473684],0
r1,1,0.099575,2.712332,[66 14] ; [11  6],[63.50515464 16.49484536] ; [13.49484536  3.50515464],0
s2,1,0.136897,2.212491,[53 27] ; [8 9],[50.30927835 29.69072165] ; [10.69072165  6.30927835],0
d2,1,0.185305,1.754553,[47 33] ; [ 7 10],[44.53608247 35.46391753] ; [9.46391753 7.53608247],0
u2,1,0.233703,1.418182,[6 9] ; [7 4],[7.5 7.5] ; [5.5 5.5],0
p6,1,0.235518,1.407224,[37 41] ; [ 5 11],[34.85106383 43.14893617] ; [7.14893617 8.85106383],0
p2,1,0.272455,1.204343,[65 14] ; [12  5],[63.36458333 15.63541667] ; [13.63541667  3.36458333],0
s8,1,0.299923,1.074535,[44 36] ; [ 7 10],[42.06185567 37.93814433] ; [8.93814433 8.06185567],0
n3,1,0.314879,1.010101,[14  8] ; [1 2],[13.2  8.8] ; [1.8 1.2],0
n2,1,0.359608,0.839262,[20  3] ; [2 1],[19.46153846  3.53846154] ; [2.53846154 0.46153846],0
p1,1,0.366508,0.815471,[ 8 72] ; [ 3 14],[ 9.07216495 70.92783505] ; [ 1.92783505 15.07216495],0
n4,1,0.407312,0.686633,[63 16] ; [12  5],[61.71875 17.28125] ; [13.28125  3.71875],0
a6,1,0.414379,0.6662,[32 48] ; [ 5 12],[30.51546392 49.48453608] ; [ 6.48453608 10.51546392],0
p5,1,0.415973,0.661664,[16 63] ; [ 2 15],[14.8125 64.1875] ; [ 3.1875 13.8125],0
r2,1,0.424866,0.636817,[75  5] ; [15  2],[74.22680412  5.77319588] ; [15.77319588  1.22680412],0
s3,1,0.429218,0.624938,[55 25] ; [10  7],[53.60824742 26.39175258] ; [11.39175258  5.60824742],0
p8,1,0.482741,0.492665,[44 34] ; [8 9],[42.69473684 35.30526316] ; [9.30526316 7.69473684],0
b5,1,0.492885,0.470222,[26 54] ; [ 7 10],[27.21649485 52.78350515] ; [ 5.78350515 11.21649485],0
s4,1,0.508528,0.437095,[25 54] ; [ 4 13],[23.86458333 55.13541667] ; [ 5.13541667 11.86458333],0
n1,1,0.539315,0.376812,[12 11] ; [1 2],[11.5 11.5] ; [1.5 1.5],0
p12,1,0.58378,0.300164,[ 6 72] ; [ 2 15],[ 6.56842105 71.43157895] ; [ 1.43157895 15.56842105],0
a1,1,0.595124,0.282412,[ 8 72] ; [ 1 16],[ 7.42268041 72.57731959] ; [ 1.57731959 15.42268041],0
b2,1,0.602596,0.271098,[26 26] ; [5 7],[25.1875 26.8125] ; [5.8125 6.1875],0
