Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.732609,[21  1] ; [2 9],[15.33333333  6.66666667] ; [7.66666667 3.33333333],1
p2,1,0.000911,11.0,[20  2] ; [4 7],[16.  6.] ; [8. 3.],1
p11,1,0.004075,8.25,[21  1] ; [6 5],[18.  4.] ; [9. 2.],0
s8,1,0.006151,7.505639,[13  9] ; [ 1 10],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
r3,1,0.016006,5.802198,[20  2] ; [6 5],[17.33333333  4.66666667] ; [8.66666667 2.33333333],0
a5,1,0.026091,4.95,[15  7] ; [3 8],[12. 10.] ; [6. 5.],0
s4,1,0.044368,4.0425,[ 3 19] ; [5 6],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
p4,1,0.12471,2.357143,[16  6] ; [5 6],[14.  8.] ; [7. 4.],0
b1,1,0.138011,2.2,[10 12] ; [8 3],[12. 10.] ; [6. 5.],0
p5,1,0.150962,2.0625,[ 7 15] ; [ 1 10],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
n4,1,0.180503,1.793478,[17  5] ; [6 5],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
a7,1,0.218143,1.516544,[13  9] ; [4 7],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
s2,1,0.218143,1.516544,[ 9 13] ; [7 4],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
u3,1,0.252136,1.311429,[6 6] ; [4 1],[7.05882353 4.94117647] ; [2.94117647 2.05882353],0
s5,1,0.284005,1.147826,[ 8 14] ; [2 9],[ 6.66666667 15.33333333] ; [3.33333333 7.66666667],0
n6,1,0.29627,1.090909,[16  6] ; [6 5],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
r4,1,0.313616,1.015385,[10 12] ; [3 8],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
a6,1,0.319137,0.992481,[14  8] ; [5 6],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
d2,1,0.442695,0.589286,[ 7 15] ; [5 6],[ 8. 14.] ; [4. 7.],0
d3,1,0.442695,0.589286,[15  7] ; [6 5],[14.  8.] ; [7. 4.],0
n5,1,0.442695,0.589286,[15  7] ; [6 5],[14.  8.] ; [7. 4.],0
b4,1,0.458318,0.55,[13  9] ; [5 6],[12. 10.] ; [6. 5.],0
s3,1,0.458318,0.55,[ 9 13] ; [6 5],[10. 12.] ; [5. 6.],0
p8,1,0.458318,0.55,[11 11] ; [4 7],[10. 12.] ; [5. 6.],0
n3,1,0.490153,0.47619,[4 3] ; [1 2],[3.5 3.5] ; [1.5 1.5],0
n2,1,0.490153,0.47619,[3 4] ; [2 1],[3.5 3.5] ; [1.5 1.5],0
s7,1,0.492072,0.471992,[ 9 12] ; [3 7],[ 8.12903226 12.87096774] ; [3.87096774 6.12903226],0
b2,1,0.601448,0.272817,[ 3 11] ; [1 7],[ 2.54545455 11.45454545] ; [1.45454545 6.54545455],0
b3,1,0.601448,0.272817,[ 3 11] ; [1 7],[ 2.54545455 11.45454545] ; [1.45454545 6.54545455],0
s1,1,0.60594,0.266129,[ 1 21] ; [ 1 10],[ 1.33333333 20.66666667] ; [ 0.66666667 10.33333333],0
p1,1,0.60594,0.266129,[ 1 21] ; [ 1 10],[ 1.33333333 20.66666667] ; [ 0.66666667 10.33333333],0
p7,1,0.61438,0.253846,[14  8] ; [6 5],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
v1,1,0.61438,0.253846,[ 8 14] ; [5 6],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
v2,1,0.622301,0.242647,[10 12] ; [6 5],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
a3,1,0.622301,0.242647,[10 12] ; [6 5],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
a8,1,0.685939,0.163516,[ 3 18] ; [2 8],[ 3.38709677 17.61290323] ; [1.61290323 8.38709677],0
d4,1,0.773938,0.0825,[17  5] ; [8 3],[16.66666667  5.33333333] ; [8.33333333 2.66666667],0
v4,1,0.794003,0.068182,[15  7] ; [7 4],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
d1,1,0.794003,0.068182,[ 7 15] ; [4 7],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
u2,1,0.86952,0.026984,[10  2] ; [4 1],[9.88235294 2.11764706] ; [4.11764706 0.88235294],0
n1,1,0.880303,0.022676,[2 5] ; [1 2],[2.1 4.9] ; [0.9 2.1],0
p3,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
b5,1,1.0,0.0,[14  8] ; [7 4],[14.  8.] ; [7. 4.],0
d5,1,1.0,0.0,[14  8] ; [7 4],[14.  8.] ; [7. 4.],0
p6,1,1.0,0.0,[ 6 16] ; [3 8],[ 6. 16.] ; [3. 8.],0
v3,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
a4,1,1.0,0.0,[ 4 18] ; [2 9],[ 4. 18.] ; [2. 9.],0
r1,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
a1,1,1.0,0.0,[ 2 20] ; [ 1 10],[ 2. 20.] ; [ 1. 10.],0
