Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.7e-05,18.457654,[91  5] ; [71 28],[79.75384615 16.24615385] ; [82.24615385 16.75384615],1
p8,1,0.00024,13.48495,[77 18] ; [56 43],[65.12886598 29.87113402] ; [67.87113402 31.12886598],1
p4,1,0.000676,11.555162,[88  9] ; [71 28],[78.68877551 18.31122449] ; [80.31122449 18.68877551],1
p5,1,0.00095,10.923481,[32 65] ; [13 86],[22.27040816 74.72959184] ; [22.72959184 76.27040816],1
p9,1,0.001228,10.447748,[93  3] ; [82 17],[86.15384615  9.84615385] ; [88.84615385 10.15384615],0
p10,1,0.00216,9.408587,[94  2] ; [85 14],[88.12307692  7.87692308] ; [90.87692308  8.12307692],0
s7,1,0.004335,8.137735,[68 22] ; [51 41],[58.84615385 31.15384615] ; [60.15384615 31.84615385],0
p2,1,0.005375,7.74858,[93  4] ; [83 16],[87.10204082  9.89795918] ; [88.89795918 10.10204082],0
p12,1,0.009877,6.656881,[23 73] ; [10 89],[16.24615385 79.75384615] ; [16.75384615 82.24615385],0
n3,1,0.069816,3.287338,[7 4] ; [13  1],[8.8 2.2] ; [11.2  2.8],0
n6,1,0.087121,2.926779,[91  5] ; [87 12],[87.63076923  8.36923077] ; [90.36923077  8.63076923],0
s5,1,0.105018,2.627637,[45 46] ; [37 61],[39.48148148 51.51851852] ; [42.51851852 55.48148148],0
a1,1,0.107852,2.585417,[11 86] ; [ 5 94],[ 7.91836735 89.08163265] ; [ 8.08163265 90.91836735],0
p1,1,0.143058,2.144755,[19 77] ; [12 87],[15.26153846 80.73846154] ; [15.73846154 83.26153846],0
n4,1,0.171395,1.870696,[90  7] ; [86 13],[87.10204082  9.89795918] ; [88.89795918 10.10204082],0
n2,1,0.172946,1.85722,[8 3] ; [13  1],[9.24 1.76] ; [11.76  2.24],0
s4,1,0.198848,1.650813,[17 79] ; [11 87],[13.8556701 82.1443299] ; [14.1443299 83.8556701],0
n5,1,0.227173,1.458477,[87 10] ; [83 16],[84.13265306 12.86734694] ; [85.86734694 13.13265306],0
s8,1,0.234533,1.41316,[60 36] ; [53 45],[55.91752577 40.08247423] ; [57.08247423 40.91752577],0
d3,1,0.246321,1.34405,[72 25] ; [66 33],[68.29591837 28.70408163] ; [69.70408163 29.29591837],0
b2,1,0.255841,1.291122,[30 32] ; [27 43],[26.77272727 35.22727273] ; [30.22727273 39.77272727],0
b3,1,0.255841,1.291122,[30 32] ; [27 43],[26.77272727 35.22727273] ; [30.22727273 39.77272727],0
a7,1,0.265458,1.24007,[71 25] ; [66 33],[67.44615385 28.55384615] ; [69.55384615 29.44615385],0
d1,1,0.272894,1.202143,[67 30] ; [61 38],[63.34693878 33.65306122] ; [64.65306122 34.34693878],0
s3,1,0.34464,0.893094,[56 40] ; [63 34],[59.19170984 36.80829016] ; [59.80829016 37.19170984],0
a3,1,0.358296,0.843859,[78 17] ; [76 23],[75.41237113 19.58762887] ; [78.58762887 20.41237113],0
b4,1,0.373715,0.791275,[59 38] ; [54 45],[55.92346939 41.07653061] ; [57.07653061 41.92346939],0
u4,1,0.392707,0.730545,[ 4 93] ; [ 2 97],[ 2.96938776 94.03061224] ; [ 3.03061224 95.96938776],0
u1,1,0.455785,0.556226,[26 71] ; [22 77],[23.75510204 73.24489796] ; [24.24489796 74.75510204],0
d5,1,0.487892,0.481172,[80 16] ; [86 13],[81.72307692 14.27692308] ; [84.27692308 14.72307692],0
r1,1,0.497203,0.460902,[82 15] ; [87 12],[83.6377551 13.3622449] ; [85.3622449 13.6377551],0
r2,1,0.49795,0.459302,[93  3] ; [94  5],[92.06153846  3.93846154] ; [94.93846154  4.06153846],0
a6,1,0.542933,0.370131,[64 32] ; [70 29],[65.96923077 30.03076923] ; [68.03076923 30.96923077],0
s6,1,0.559229,0.341042,[69 24] ; [69 29],[67.19371728 25.80628272] ; [70.80628272 27.19371728],0
a2,1,0.573189,0.317376,[30 67] ; [27 72],[28.20918367 68.79081633] ; [28.79081633 70.20918367],0
u2,1,0.57672,0.311568,[12  7] ; [12 10],[11.12195122  7.87804878] ; [12.87804878  9.12195122],0
s2,1,0.602642,0.271029,[57 39] ; [54 43],[55.21243523 40.78756477] ; [55.78756477 41.21243523],0
d4,1,0.62117,0.244227,[82 14] ; [82 17],[80.73846154 15.26153846] ; [83.26153846 15.73846154],0
v1,1,0.628837,0.233641,[72 25] ; [69 28],[70.5 26.5] ; [70.5 26.5],0
u3,1,0.662763,0.190184,[12  7] ; [13 10],[11.30952381  7.69047619] ; [13.69047619  9.30952381],0
b5,1,0.787809,0.072445,[54 43] ; [57 42],[54.93367347 42.06632653] ; [56.06632653 42.93367347],0
b1,1,0.787809,0.072445,[43 54] ; [42 57],[42.06632653 54.93367347] ; [42.93367347 56.06632653],0
a8,1,0.819086,0.052313,[11 73] ; [13 78],[11.52 72.48] ; [12.48 78.52],0
p11,1,0.887357,0.020065,[83 14] ; [84 15],[82.64795918 14.35204082] ; [84.35204082 14.64795918],0
n1,1,0.896669,0.016866,[5 6] ; [6 8],[4.84 6.16] ; [6.16 7.84],0
a4,1,0.94143,0.005398,[47 50] ; [48 50],[47.25641026 49.74358974] ; [47.74358974 50.25641026],0
