Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.025724,4.97449,[13 13] ; [12 37],[ 8.66666667 17.33333333] ; [16.33333333 32.66666667],0
b4,1,0.027532,4.857159,[21  5] ; [27 22],[16.64  9.36] ; [31.36 17.64],0
r3,1,0.054177,3.707234,[12 12] ; [35 13],[15.66666667  8.33333333] ; [31.33333333 16.66666667],0
p5,1,0.05946,3.552378,[ 6 19] ; [ 4 45],[ 3.37837838 21.62162162] ; [ 6.62162162 42.37837838],0
p9,1,0.06591,3.382039,[19  7] ; [43  5],[21.78378378  4.21621622] ; [40.21621622  7.78378378],0
u1,1,0.085952,2.948604,[ 4 22] ; [ 2 47],[ 2.08 23.92] ; [ 3.92 45.08],0
d5,1,0.12447,2.360148,[20  6] ; [29 20],[16.98666667  9.01333333] ; [32.01333333 16.98666667],0
d4,1,0.161576,1.959412,[21  5] ; [32 17],[18.37333333  7.62666667] ; [34.62666667 14.37333333],0
s5,1,0.167071,1.909032,[ 7 18] ; [ 7 41],[ 4.79452055 20.20547945] ; [ 9.20547945 38.79452055],0
s4,1,0.18205,1.780808,[ 3 23] ; [12 37],[ 5.2 20.8] ; [ 9.8 39.2],0
a5,1,0.233004,1.42243,[17  9] ; [25 24],[14.56 11.44] ; [27.44 21.56],0
n6,1,0.243958,1.357577,[18  6] ; [30 19],[15.78082192  8.21917808] ; [32.21917808 16.78082192],0
d2,1,0.249982,1.323405,[12 14] ; [16 33],[ 9.70666667 16.29333333] ; [18.29333333 30.70666667],0
s7,1,0.263612,1.249686,[13 12] ; [18 29],[10.76388889 14.23611111] ; [20.23611111 26.76388889],0
p3,1,0.268366,1.225078,[ 6 19] ; [18 31],[ 8.10810811 16.89189189] ; [15.89189189 33.10810811],0
s6,1,0.277442,1.179577,[13 12] ; [19 30],[10.81081081 14.18918919] ; [21.18918919 27.81081081],0
p11,1,0.286239,1.137229,[16 10] ; [36 13],[18.02666667  7.97333333] ; [33.97333333 15.02666667],0
d1,1,0.332103,0.94068,[12 14] ; [17 32],[10.05333333 15.94666667] ; [18.94666667 30.05333333],0
a2,1,0.334963,0.929614,[ 4 22] ; [ 4 45],[ 2.77333333 23.22666667] ; [ 5.22666667 43.77333333],0
v2,1,0.357843,0.845449,[11 13] ; [17 32],[ 9.20547945 14.79452055] ; [18.79452055 30.20547945],0
s2,1,0.365525,0.81882,[ 8 17] ; [21 28],[ 9.7972973 15.2027027] ; [19.2027027 29.7972973],0
p4,1,0.368991,0.80706,[ 9 16] ; [23 26],[10.81081081 14.18918919] ; [21.18918919 27.81081081],0
n3,1,0.376017,0.783683,[7 8] ; [10  6],[8.22580645 6.77419355] ; [8.77419355 7.22580645],0
a3,1,0.391939,0.732919,[18  8] ; [29 20],[16.29333333  9.70666667] ; [30.70666667 18.29333333],0
u2,1,0.432111,0.617143,[3 4] ; [12  8],[3.88888889 3.11111111] ; [11.11111111  8.88888889],0
d3,1,0.434707,0.610216,[16 10] ; [25 23],[14.40540541 11.59459459] ; [26.59459459 21.40540541],0
n1,1,0.465209,0.533333,[7 9] ; [ 5 11],[ 6. 10.] ; [ 6. 10.],0
a1,1,0.507789,0.438621,[ 2 24] ; [ 2 47],[ 1.38666667 24.61333333] ; [ 2.61333333 46.38666667],0
v3,1,0.521304,0.411312,[ 7 19] ; [10 39],[ 5.89333333 20.10666667] ; [11.10666667 37.89333333],0
u3,1,0.549076,0.358974,[3 5] ; [10 10],[3.71428571 4.28571429] ; [ 9.28571429 10.71428571],0
v1,1,0.605562,0.266688,[11 15] ; [17 30],[ 9.97260274 16.02739726] ; [18.02739726 28.97260274],0
v4,1,0.65553,0.198998,[17  6] ; [33 15],[16.1971831  6.8028169] ; [33.8028169 14.1971831],0
p8,1,0.673996,0.176964,[ 9 17] ; [19 29],[ 9.83783784 16.16216216] ; [18.16216216 29.83783784],0
r2,1,0.676477,0.174119,[14  9] ; [31 16],[14.78571429  8.21428571] ; [30.21428571 16.78571429],0
b1,1,0.688284,0.16095,[12 14] ; [25 24],[12.82666667 13.17333333] ; [24.17333333 24.82666667],0
n2,1,0.694188,0.154589,[11  5] ; [12  4],[11.5  4.5] ; [11.5  4.5],0
n4,1,0.71295,0.135349,[16 10] ; [28 21],[15.25333333 10.74666667] ; [28.74666667 20.25333333],0
p1,1,0.721937,0.126644,[ 2 24] ; [ 5 44],[ 2.42666667 23.57333333] ; [ 4.57333333 44.42666667],0
s3,1,0.736422,0.113297,[11 13] ; [20 28],[10.33333333 13.66666667] ; [20.66666667 27.33333333],0
a8,1,0.759214,0.093951,[ 1 22] ; [ 3 46],[ 1.27777778 21.72222222] ; [ 2.72222222 46.27777778],0
s8,1,0.760214,0.093147,[ 8 17] ; [14 35],[ 7.43243243 17.56756757] ; [14.56756757 34.43243243],0
p2,1,0.775718,0.08117,[19  6] ; [35 13],[18.49315068  6.50684932] ; [35.50684932 12.49315068],0
a6,1,0.815674,0.054341,[12 14] ; [24 25],[12.48 13.52] ; [23.52 25.48],0
p6,1,0.853956,0.033883,[ 6 20] ; [12 36],[ 6.32432432 19.67567568] ; [11.67567568 36.32432432],0
p7,1,0.86386,0.0294,[12 11] ; [24 24],[11.66197183 11.33802817] ; [24.33802817 23.66197183],0
n5,1,0.902902,0.014883,[17  8] ; [34 15],[17.22972973  7.77027027] ; [33.77027027 15.22972973],0
a7,1,0.917188,0.010811,[14 12] ; [27 22],[14.21333333 11.78666667] ; [26.78666667 22.21333333],0
b5,1,0.932961,0.007076,[13 13] ; [25 24],[13.17333333 12.82666667] ; [24.82666667 24.17333333],0
s1,1,0.960499,0.002453,[ 1 25] ; [ 2 47],[ 1.04 24.96] ; [ 1.96 47.04],0
b2,1,1.0,0.0,[ 6 12] ; [ 9 18],[ 6. 12.] ; [ 9. 18.],0
b3,1,1.0,0.0,[ 6 12] ; [ 9 18],[ 6. 12.] ; [ 9. 18.],0
