Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,87.172058,[347   5] ; [16 10],[338.03174603  13.96825397] ; [24.96825397  1.03174603],1
r2,1,0.0,83.733337,[344   6] ; [15 10],[335.06666667  14.93333333] ; [23.93333333  1.06666667],1
r1,1,0.0,68.994872,[308  43] ; [ 7 20],[292.5  58.5] ; [22.5  4.5],1
r3,1,0.0,58.782477,[343   8] ; [17  9],[335.17241379  15.82758621] ; [24.82758621  1.17241379],1
s1,1,0.002061,9.494505,[ 10 340] ; [ 4 24],[ 12.96296296 337.03703704] ; [ 1.03703704 26.96296296],0
p10,1,0.002143,9.422663,[314  37] ; [18  8],[309.10344828  41.89655172] ; [22.89655172  3.10344828],0
n5,1,0.003875,8.341358,[314  38] ; [19  8],[309.27704485  42.72295515] ; [23.72295515  3.27704485],0
p11,1,0.003898,8.330738,[300  52] ; [18 10],[294.56842105  57.43157895] ; [23.43157895  4.56842105],0
v1,1,0.006367,7.443503,[218 125] ; [10 17],[211.36216216 131.63783784] ; [16.63783784 10.36216216],0
a7,1,0.008808,6.861393,[257  94] ; [14 14],[250.97889182 100.02110818] ; [20.02110818  7.97889182],0
p9,1,0.009952,6.643518,[317  33] ; [21  7],[312.96296296  37.03703704] ; [25.03703704  2.96296296],0
p4,1,0.012284,6.269417,[293  59] ; [18 10],[288.08421053  63.91578947] ; [22.91578947  5.08421053],0
n6,1,0.012412,6.251067,[324  28] ; [21  6],[320.42216359  31.57783641] ; [24.57783641  2.42216359],0
s8,1,0.012857,6.188743,[190 159] ; [ 8 19],[183.78191489 165.21808511] ; [14.21808511 12.78191489],0
s6,1,0.0133,6.128823,[249  93] ; [13 13],[243.48913043  98.51086957] ; [18.51086957  7.48913043],0
u3,1,0.0201,5.403168,[50 30] ; [2 7],[46.74157303 33.25842697] ; [5.25842697 3.74157303],0
p2,1,0.025661,4.978716,[313  38] ; [21  7],[309.32453826  41.67546174] ; [24.67546174  3.32453826],0
