Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8.9e-05,15.366642,[161  24] ; [6 7],[156.03535354  28.96464646] ; [10.96464646  2.03535354],1
d2,1,0.000249,13.421421,[ 34 150] ; [8 5],[ 39.2284264 144.7715736] ; [ 2.7715736 10.2284264],1
r2,1,0.000271,13.263073,[170  14] ; [8 5],[166.25380711  17.74619289] ; [11.74619289  1.25380711],1
p7,1,0.00171,9.837255,[117  59] ; [ 3 10],[111.74603175  64.25396825] ; [8.25396825 4.74603175],0
p2,1,0.00383,8.362643,[148  36] ; [6 7],[143.83756345  40.16243655] ; [10.16243655  2.83756345],0
r1,1,0.004743,7.975024,[127  57] ; [4 9],[122.35532995  61.64467005] ; [8.64467005 4.35532995],0
p10,1,0.009449,6.736014,[142  40] ; [6 7],[138.13333333  43.86666667] ; [9.86666667 3.13333333],0
p9,1,0.011986,6.312916,[150  32] ; [7 6],[146.53333333  35.46666667] ; [10.46666667  2.53333333],0
u4,1,0.01268,6.21328,[  1 184] ; [ 1 12],[  1.86868687 183.13131313] ; [ 0.13131313 12.86868687],0
d1,1,0.015056,5.909881,[ 54 131] ; [8 5],[ 57.92929293 127.07070707] ; [4.07070707 8.92929293],0
p4,1,0.015775,5.827799,[91 91] ; [ 2 11],[86.8 95.2] ; [6.2 6.8],0
v1,1,0.034094,4.489987,[82 98] ; [ 2 11],[ 78.34196891 101.65803109] ; [5.65803109 7.34196891],0
p3,1,0.087531,2.919207,[ 72 112] ; [ 2 11],[ 69.11675127 114.88324873] ; [4.88324873 8.11675127],0
n4,1,0.107838,2.585623,[125  59] ; [6 7],[122.35532995  61.64467005] ; [8.64467005 4.35532995],0
a7,1,0.111214,2.536884,[124  59] ; [6 7],[121.37755102  61.62244898] ; [8.62244898 4.37755102],0
a4,1,0.129826,2.294587,[ 38 147] ; [5 8],[ 40.17676768 144.82323232] ; [ 2.82323232 10.17676768],0
a3,1,0.130964,2.281038,[88 97] ; [9 4],[90.63131313 94.36868687] ; [6.36868687 6.63131313],0
p6,1,0.132165,2.266888,[ 64 114] ; [ 2 11],[ 61.5078534 116.4921466] ; [4.4921466 8.5078534],0
s2,1,0.155883,2.013718,[ 79 104] ; [ 3 10],[ 76.56122449 106.43877551] ; [5.43877551 7.56122449],0
v3,1,0.165734,1.921114,[ 61 118] ; [ 2 11],[ 58.734375 120.265625] ; [4.265625 8.734375],0
n2,1,0.212777,1.552433,[32  9] ; [2 2],[30.97777778 10.02222222] ; [3.02222222 0.97777778],0
n5,1,0.249826,1.324278,[126  56] ; [7 6],[124.13333333  57.86666667] ; [8.86666667 4.13333333],0
a6,1,0.259593,1.270925,[101  84] ; [5 8],[99.04040404 85.95959596] ; [6.95959596 6.04040404],0
p8,1,0.287202,1.132691,[90 93] ; [4 8],[88.21538462 94.78461538] ; [5.78461538 6.21538462],0
u1,1,0.310369,1.029106,[  5 180] ; [ 1 12],[  5.60606061 179.39393939] ; [ 0.39393939 12.60606061],0
s6,1,0.339004,0.914196,[108  73] ; [6 7],[106.36082474  74.63917526] ; [7.63917526 5.36082474],0
s7,1,0.354478,0.857362,[ 64 115] ; [ 3 10],[ 62.46354167 116.53645833] ; [4.53645833 8.46354167],0
b4,1,0.463932,0.536391,[109  76] ; [9 4],[110.25252525  74.74747475] ; [7.74747475 5.25252525],0
r3,1,0.492479,0.471107,[177   7] ; [12  1],[176.52791878   7.47208122] ; [12.47208122  0.52791878],0
s5,1,0.497035,0.461261,[ 45 132] ; [ 2 10],[ 44.01587302 132.98412698] ; [2.98412698 9.01587302],0
s1,1,0.499397,0.456217,[  7 175] ; [ 1 12],[  7.46666667 174.53333333] ; [ 0.53333333 12.46666667],0
d4,1,0.500046,0.454838,[125  59] ; [10  3],[126.09137056  57.90862944] ; [8.90862944 4.09137056],0
b1,1,0.507853,0.438489,[ 55 130] ; [5 8],[ 56.06060606 128.93939394] ; [3.93939394 9.06060606],0
n6,1,0.649945,0.205969,[150  33] ; [10  3],[149.3877551  33.6122449] ; [10.6122449  2.3877551],0
d5,1,0.692226,0.156686,[118  67] ; [9 4],[118.66161616  66.33838384] ; [8.33838384 4.66161616],0
s4,1,0.696172,0.152485,[ 34 148] ; [ 3 10],[ 34.53333333 147.46666667] ; [ 2.46666667 10.53333333],0
b5,1,0.719654,0.128824,[109  76] ; [7 6],[108.38383838  76.61616162] ; [7.61616162 5.38383838],0
v2,1,0.72819,0.12078,[85 89] ; [7 6],[85.60427807 88.39572193] ; [6.39572193 6.60427807],0
p12,1,0.735945,0.113723,[ 10 173] ; [ 1 12],[ 10.27040816 172.72959184] ; [ 0.72959184 12.27040816],0
d3,1,0.764881,0.089447,[106  79] ; [8 5],[106.51515152  78.48484848] ; [7.48484848 5.51515152],0
n1,1,0.783038,0.075824,[18 24] ; [2 2],[18.26086957 23.73913043] ; [1.73913043 2.26086957],0
u3,1,0.855126,0.033336,[53 44] ; [2 2],[52.82178218 44.17821782] ; [2.17821782 1.82178218],0
a8,1,0.879504,0.022982,[ 24 149] ; [ 2 11],[ 24.1827957 148.8172043] ; [ 1.8172043 11.1827957],0
b2,1,0.903154,0.014805,[27 75] ; [2 5],[27.13761468 74.86238532] ; [1.86238532 5.13761468],0
b3,1,0.903154,0.014805,[27 75] ; [2 5],[27.13761468 74.86238532] ; [1.86238532 5.13761468],0
s8,1,0.933053,0.007057,[ 59 126] ; [4 9],[ 58.86363636 126.13636364] ; [4.13636364 8.86363636],0
p1,1,0.953223,0.003441,[ 15 169] ; [ 1 12],[ 14.94416244 169.05583756] ; [ 1.05583756 11.94416244],0
s3,1,0.983412,0.000432,[98 83] ; [7 6],[97.96391753 83.03608247] ; [7.03608247 5.96391753],0
