Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,3e-06,21.726971,[ 5 43] ; [41 39],[17.25 30.75] ; [28.75 51.25],1
d1,1,0.00066,11.598301,[13 35] ; [47 34],[22.3255814 25.6744186] ; [37.6744186 43.3255814],1
a3,1,0.002175,9.395426,[20 28] ; [56 25],[28.27906977 19.72093023] ; [47.72093023 33.27906977],0
d4,1,0.003912,8.324178,[28 19] ; [67 14],[34.8828125 12.1171875] ; [60.1171875 20.8828125],0
d2,1,0.004417,8.103846,[16 32] ; [48 33],[23.81395349 24.18604651] ; [40.18604651 40.81395349],0
n4,1,0.00507,7.854143,[26 22] ; [63 18],[33.11627907 14.88372093] ; [55.88372093 25.11627907],0
u1,1,0.006169,7.500344,[ 2 46] ; [18 63],[ 7.44186047 40.55813953] ; [12.55813953 68.44186047],0
a6,1,0.007135,7.238631,[23 25] ; [58 23],[30.13953488 17.86046512] ; [50.86046512 30.13953488],0
d5,1,0.016925,5.704151,[30 18] ; [66 15],[35.72093023 12.27906977] ; [60.27906977 20.72093023],0
p6,1,0.023327,5.144015,[16 31] ; [13 66],[10.81746032 36.18253968] ; [18.18253968 60.81746032],0
v1,1,0.036134,4.390793,[13 35] ; [37 44],[18.60465116 29.39534884] ; [31.39534884 49.60465116],0
r1,1,0.047852,3.915193,[38 10] ; [74  7],[41.6744186  6.3255814] ; [70.3255814 10.6744186],0
v4,1,0.052332,3.765125,[42  5] ; [78  2],[44.40944882  2.59055118] ; [75.59055118  4.40944882],0
d3,1,0.061285,3.502262,[24 24] ; [54 27],[29.02325581 18.97674419] ; [48.97674419 32.02325581],0
p8,1,0.092983,2.821955,[12 36] ; [32 49],[16.37209302 31.62790698] ; [27.62790698 53.37209302],0
p5,1,0.126325,2.337097,[ 4 44] ; [ 2 79],[ 2.23255814 45.76744186] ; [ 3.76744186 77.23255814],0
p2,1,0.183798,1.76664,[27 21] ; [55 26],[30.51162791 17.48837209] ; [51.48837209 29.51162791],0
b3,1,0.233658,1.418454,[ 6 25] ; [16 35],[ 8.31707317 22.68292683] ; [13.68292683 37.31707317],0
b2,1,0.233658,1.418454,[ 6 25] ; [16 35],[ 8.31707317 22.68292683] ; [13.68292683 37.31707317],0
a8,1,0.237193,1.397199,[ 7 38] ; [ 6 65],[ 5.04310345 39.95689655] ; [ 7.95689655 63.04310345],0
n5,1,0.245094,1.351055,[24 24] ; [49 32],[27.1627907 20.8372093] ; [45.8372093 35.1627907],0
a1,1,0.286375,1.136583,[ 1 47] ; [ 5 76],[ 2.23255814 45.76744186] ; [ 3.76744186 77.23255814],0
p10,1,0.302187,1.064518,[10 38] ; [23 56],[12.47244094 35.52755906] ; [20.52755906 58.47244094],0
p7,1,0.364213,0.823313,[26 20] ; [39 42],[23.54330709 22.45669291] ; [41.45669291 39.54330709],0
u3,1,0.37401,0.790297,[19  9] ; [14 11],[17.43396226 10.56603774] ; [15.56603774  9.43396226],0
s5,1,0.483333,0.491333,[ 8 40] ; [17 61],[ 9.52380952 38.47619048] ; [15.47619048 62.52380952],0
n3,1,0.490021,0.47648,[9 2] ; [17  7],[8.17142857 2.82857143] ; [17.82857143  6.17142857],0
s4,1,0.568112,0.325851,[ 7 40] ; [ 9 70],[ 5.96825397 41.03174603] ; [10.03174603 68.96825397],0
p11,1,0.571851,0.319595,[26 22] ; [48 33],[27.53488372 20.46511628] ; [46.46511628 34.53488372],0
v2,1,0.588033,0.293427,[18 27] ; [36 44],[19.44 25.56] ; [34.56 45.44],0
p3,1,0.634335,0.226228,[16 32] ; [30 50],[17.25 30.75] ; [28.75 51.25],0
n6,1,0.648864,0.207335,[35 13] ; [56 25],[33.86046512 14.13953488] ; [57.13953488 23.86046512],0
s2,1,0.657509,0.196564,[16 31] ; [30 49],[17.15873016 29.84126984] ; [28.84126984 50.15873016],0
n2,1,0.667436,0.184615,[7 3] ; [20  6],[7.5 2.5] ; [19.5  6.5],0
b4,1,0.671202,0.180199,[32 16] ; [51 30],[30.88372093 17.11627907] ; [52.11627907 28.88372093],0
