Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,95.749287,[ 41 140] ; [89 20],[81.13793103 99.86206897] ; [48.86206897 60.13793103],1
s8,1,0.0,42.391786,[ 41 141] ; [66 43],[ 66.9209622 115.0790378] ; [40.0790378 68.9209622],1
s7,1,0.0,31.658719,[ 52 120] ; [68 37],[74.51263538 97.48736462] ; [45.48736462 59.51263538],1
s6,1,0.0,28.154421,[88 94] ; [87 22],[109.45017182  72.54982818] ; [65.54982818 43.45017182],1
p12,1,0.008294,6.968889,[  6 174] ; [12 96],[ 11.25 168.75] ; [  6.75 101.25],0
a8,1,0.0128,6.196494,[ 14 143] ; [20 82],[ 20.61003861 136.38996139] ; [13.38996139 88.61003861],0
p8,1,0.014214,6.011426,[101  76] ; [45 62],[90.99295775 86.00704225] ; [55.00704225 51.99295775],0
d4,1,0.043881,4.061125,[136  47] ; [92 17],[142.89041096  40.10958904] ; [85.10958904 23.89041096],0
s1,1,0.063812,3.435434,[  4 177] ; [  7 100],[  6.91319444 174.08680556] ; [  4.08680556 102.91319444],0
a1,1,0.064854,3.4087,[  5 178] ; [  8 101],[  8.14726027 174.85273973] ; [  4.85273973 104.14726027],0
a6,1,0.066264,3.373228,[133  50] ; [68 41],[125.96917808  57.03082192] ; [75.03082192 33.96917808],0
n4,1,0.119975,2.417645,[136  46] ; [90 19],[141.34707904  40.65292096] ; [84.65292096 24.34707904],0
d1,1,0.127205,2.326282,[94 89] ; [66 43],[100.2739726  82.7260274] ; [59.7260274 49.2739726],0
u4,1,0.135558,2.227674,[  3 180] ; [  5 104],[  5.01369863 177.98630137] ; [  2.98630137 106.01369863],0
s4,1,0.149184,2.080574,[ 14 168] ; [14 95],[ 17.51202749 164.48797251] ; [10.48797251 98.51202749],0
p2,1,0.16065,1.968094,[157  24] ; [87 21],[152.816609  28.183391] ; [91.183391 16.816609],0
u1,1,0.182649,1.775934,[ 26 157] ; [22 87],[ 30.08219178 152.91780822] ; [17.91780822 91.08219178],0
p10,1,0.213499,1.547539,[139  41] ; [90 18],[143.125  36.875] ; [85.875 22.125],0
n5,1,0.225651,1.468066,[139  43] ; [89 19],[143.08965517  38.91034483] ; [84.91034483 23.08965517],0
v3,1,0.226105,1.465196,[80 98] ; [53 48],[84.85304659 93.14695341] ; [48.14695341 52.85304659],0
u3,1,0.248079,1.33409,[31 28] ; [19 10],[33.52272727 25.47727273] ; [16.47727273 12.52272727],0
r4,1,0.252077,1.311758,[156  27] ; [98 11],[159.18493151  23.81506849] ; [94.81506849 14.18493151],0
