Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2.2e-05,18.031312,[33 45] ; [85 32],[47.2 30.8] ; [70.8 46.2],1
a4,1,0.000111,14.931587,[13 66] ; [50 67],[25.39285714 53.60714286] ; [37.60714286 79.39285714],1
d2,1,0.000432,12.387989,[17 62] ; [54 63],[28.61734694 50.38265306] ; [42.38265306 74.61734694],1
a6,1,0.000788,11.269906,[35 44] ; [80 37],[46.35204082 32.64795918] ; [68.64795918 48.35204082],1
r1,1,0.000967,10.890077,[47 32] ; [94 22],[57.12307692 21.87692308] ; [83.87692308 32.12307692],1
s6,1,0.001276,10.377542,[28 50] ; [69 47],[39. 39.] ; [58. 58.],0
d5,1,0.001722,9.824666,[49 30] ; [96 21],[58.44387755 20.55612245] ; [86.55612245 30.44387755],0
d1,1,0.00395,8.306587,[28 51] ; [66 51],[37.8877551 41.1122449] ; [56.1122449 60.8877551],0
r4,1,0.010378,6.568841,[53 26] ; [97 20],[60.45918367 18.54081633] ; [89.54081633 27.45918367],0
v2,1,0.013734,6.072028,[27 47] ; [61 50],[35.2 38.8] ; [52.8 58.2],0
p8,1,0.036345,4.38083,[20 58] ; [47 70],[26.8 51.2] ; [40.2 76.8],0
n4,1,0.044981,4.01934,[22 57] ; [49 68],[28.61734694 50.38265306] ; [42.38265306 74.61734694],0
s7,1,0.046559,3.961241,[15 61] ; [36 73],[20.95135135 55.04864865] ; [30.04864865 78.95135135],0
v3,1,0.053885,3.716251,[14 59] ; [35 74],[19.65384615 53.34615385] ; [29.34615385 79.65384615],0
d4,1,0.054091,3.709877,[58 21] ; [99 18],[63.28061224 15.71938776] ; [93.71938776 23.28061224],0
r3,1,0.058117,3.590336,[67 12] ; [109   8],[70.93877551  8.06122449] ; [105.06122449  11.93877551],0
v1,1,0.06977,3.288432,[20 55] ; [45 69],[25.79365079 49.20634921] ; [39.20634921 74.79365079],0
s2,1,0.072259,3.230945,[24 55] ; [50 66],[29.97948718 49.02051282] ; [44.02051282 71.97948718],0
p3,1,0.072508,3.225316,[17 62] ; [39 78],[22.57142857 56.42857143] ; [33.42857143 83.57142857],0
d3,1,0.096258,2.766478,[47 32] ; [83 34],[52.39795918 26.60204082] ; [77.60204082 39.39795918],0
p5,1,0.102623,2.6643,[ 1 77] ; [  7 109],[ 3.21649485 74.78350515] ; [  4.78350515 111.21649485],0
p7,1,0.140767,2.169558,[28 50] ; [54 62],[32.96907216 45.03092784] ; [49.03092784 66.96907216],0
r2,1,0.158823,1.985402,[66 13] ; [103  11],[69.1761658  9.8238342] ; [99.8238342 14.1761658],0
p2,1,0.173265,1.854469,[50 28] ; [85 31],[54.27835052 23.72164948] ; [80.72164948 35.27835052],0
p4,1,0.177473,1.818661,[23 56] ; [45 72],[27.40816327 51.59183673] ; [40.59183673 76.40816327],0
s8,1,0.191596,1.7053,[17 62] ; [35 82],[20.95918367 58.04081633] ; [31.04081633 85.95918367],0
p1,1,0.193537,1.690487,[ 5 73] ; [  3 112],[ 3.23316062 74.76683938] ; [  4.76683938 110.23316062],0
b2,1,0.225578,1.468531,[ 8 32] ; [20 45],[10.66666667 29.33333333] ; [17.33333333 47.66666667],0
b3,1,0.225578,1.468531,[ 8 32] ; [20 45],[10.66666667 29.33333333] ; [17.33333333 47.66666667],0
n6,1,0.231749,1.430097,[50 29] ; [64 53],[45.94897959 33.05102041] ; [68.05102041 48.94897959],0
p10,1,0.236547,1.401056,[41 34] ; [74 43],[44.921875 30.078125] ; [70.078125 46.921875],0
p11,1,0.258625,1.276102,[45 34] ; [76 41],[48.77040816 30.22959184] ; [72.22959184 44.77040816],0
b4,1,0.333237,0.936276,[52 27] ; [69 48],[48.77040816 30.22959184] ; [72.22959184 44.77040816],0
p12,1,0.350506,0.871625,[ 1 77] ; [  4 112],[ 2.01030928 75.98969072] ; [  2.98969072 113.01030928],0
u2,1,0.391367,0.734691,[25 19] ; [15 17],[23.15789474 20.84210526] ; [16.84210526 15.15789474],0
a7,1,0.433724,0.612831,[54 25] ; [86 31],[56.42857143 22.57142857] ; [83.57142857 33.42857143],0
n3,1,0.442289,0.590336,[20  6] ; [21 10],[18.70175439  7.29824561] ; [22.29824561  8.70175439],0
s5,1,0.444917,0.583568,[15 60] ; [28 85],[17.15425532 57.84574468] ; [25.84574468 87.15425532],0
b5,1,0.505974,0.442385,[49 30] ; [67 50],[46.75510204 32.24489796] ; [69.24489796 47.75510204],0
a8,1,0.518726,0.416426,[ 4 72] ; [ 8 96],[ 5.06666667 70.93333333] ; [ 6.93333333 97.06666667],0
a1,1,0.519208,0.415466,[ 2 77] ; [  5 112],[ 2.82142857 76.17857143] ; [  4.17857143 112.82142857],0
u3,1,0.550056,0.357216,[23 22] ; [18 13],[24.27631579 20.72368421] ; [16.72368421 14.27631579],0
n2,1,0.55603,0.346625,[14 11] ; [21 12],[15.0862069  9.9137931] ; [19.9137931 13.0862069],0
p9,1,0.557389,0.344244,[48 27] ; [79 37],[49.86910995 25.13089005] ; [77.13089005 38.86910995],0
s1,1,0.568173,0.325749,[ 4 75] ; [  4 113],[ 3.2244898 75.7755102] ; [  4.7755102 112.2244898],0
s3,1,0.659347,0.194318,[35 42] ; [56 59],[36.49479167 40.50520833] ; [54.50520833 60.49479167],0
s4,1,0.785611,0.073992,[14 65] ; [19 98],[13.30102041 65.69897959] ; [19.69897959 97.30102041],0
v4,1,0.89373,0.017845,[68 10] ; [101  14],[68.30051813  9.69948187] ; [100.69948187  14.30051813],0
n1,1,0.916792,0.010915,[ 6 20] ; [ 8 25],[ 6.16949153 19.83050847] ; [ 7.83050847 25.16949153],0
b1,1,0.954102,0.003313,[28 51] ; [41 76],[27.81122449 51.18877551] ; [41.18877551 75.81122449],0
