Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000352,12.772041,[58 10] ; [7 9],[52.61904762 15.38095238] ; [12.38095238  3.61904762],1
d2,1,0.006351,7.447988,[38 29] ; [ 3 13],[33.09638554 33.90361446] ; [7.90361446 8.09638554],0
s3,1,0.011393,6.40289,[47 19] ; [ 6 10],[42.65853659 23.34146341] ; [10.34146341  5.65853659],0
d1,1,0.018368,5.560703,[47 21] ; [ 6 10],[42.9047619 25.0952381] ; [10.0952381  5.9047619],0
r4,1,0.019084,5.493808,[64  4] ; [12  4],[61.52380952  6.47619048] ; [14.47619048  1.52380952],0
v3,1,0.023167,5.155943,[45 21] ; [ 6 10],[41.04878049 24.95121951] ; [9.95121951 6.04878049],0
s2,1,0.028501,4.797527,[45 22] ; [ 6 10],[41.1686747 25.8313253] ; [9.8313253 6.1686747],0
s7,1,0.034618,4.463904,[51 13] ; [8 7],[47.79746835 16.20253165] ; [11.20253165  3.79746835],0
r2,1,0.034845,4.452769,[65  3] ; [12  3],[63.08433735  4.91566265] ; [13.91566265  1.08433735],0
s8,1,0.037687,4.319109,[47 19] ; [7 9],[43.46341463 22.53658537] ; [10.53658537  5.46341463],0
p4,1,0.042658,4.108892,[62  5] ; [12  4],[59.73493976  7.26506024] ; [14.26506024  1.73493976],0
a4,1,0.070655,3.267735,[34 34] ; [ 4 12],[30.76190476 37.23809524] ; [7.23809524 8.76190476],0
p6,1,0.075782,3.153108,[51 16] ; [8 7],[48.20731707 18.79268293] ; [10.79268293  4.20731707],0
p1,1,0.07598,3.148853,[24 44] ; [ 2 14],[21.04761905 46.95238095] ; [ 4.95238095 11.04761905],0
s5,1,0.109392,2.562982,[44 17] ; [7 7],[41.48 19.52] ; [9.52 4.48],0
p7,1,0.129613,2.297133,[59  7] ; [12  4],[57.14634146  8.85365854] ; [13.85365854  2.14634146],0
s6,1,0.160098,1.973301,[55  7] ; [12  4],[53.25641026  8.74358974] ; [13.74358974  2.25641026],0
n5,1,0.162318,1.952496,[63  5] ; [13  3],[61.52380952  6.47619048] ; [14.47619048  1.52380952],0
n4,1,0.162318,1.952496,[63  5] ; [13  3],[61.52380952  6.47619048] ; [14.47619048  1.52380952],0
a1,1,0.173442,1.852941,[ 8 60] ; [ 4 12],[ 9.71428571 58.28571429] ; [ 2.28571429 13.71428571],0
d5,1,0.17661,1.825924,[56 11] ; [11  5],[54.08433735 12.91566265] ; [12.91566265  3.08433735],0
p3,1,0.17661,1.825924,[56 11] ; [11  5],[54.08433735 12.91566265] ; [12.91566265  3.08433735],0
d3,1,0.199146,1.648625,[45 22] ; [8 8],[42.78313253 24.21686747] ; [10.21686747  5.78313253],0
p2,1,0.248074,1.334118,[62  6] ; [13  3],[60.71428571  7.28571429] ; [14.28571429  1.71428571],0
a5,1,0.287274,1.132353,[55 13] ; [11  5],[53.42857143 14.57142857] ; [12.57142857  3.42857143],0
a6,1,0.295124,1.0961,[43 24] ; [8 8],[41.1686747 25.8313253] ; [9.8313253 6.1686747],0
n1,1,0.329114,0.952381,[8 6] ; [2 4],[7. 7.] ; [3. 3.],0
b2,1,0.35665,0.849654,[25 25] ; [6 3],[26.27118644 23.72881356] ; [4.72881356 4.27118644],0
b3,1,0.35665,0.849654,[25 25] ; [6 3],[26.27118644 23.72881356] ; [4.72881356 4.27118644],0
s4,1,0.357823,0.84552,[10 57] ; [ 1 15],[ 8.87951807 58.12048193] ; [ 2.12048193 13.87951807],0
r3,1,0.364836,0.821178,[63  4] ; [14  2],[62.15662651  4.84337349] ; [14.84337349  1.15662651],0
v1,1,0.396125,0.720058,[47 19] ; [9 6],[45.62962963 20.37037037] ; [10.37037037  4.62962963],0
b1,1,0.403354,0.698304,[29 39] ; [ 5 11],[27.52380952 40.47619048] ; [6.47619048 9.52380952],0
